device_id,job_filing_number,type_of_machine_break,hoist_direction,counter_weight_buffer_stroke,outdoor_escalator,counter_weight_safety_type,number_of_openings_side,escalator_energy_saving,hoist_rope_material,car_inside_width_inches,cwtgovernor_ropes_qty,machine_jack_type,hoist_rope_size,glass_or_transparent,escalator_step_width_feet,main_supply_power_type,hoist_rope_ultimate_strength,cargovernor_ropes_size,car_counterweight_ropes_1,counter_weight_buffer_2,glass_car,counter_weight_buffer_type,travel_to_floor,interlocks_type,cargovernor_ropes_qty,fire_emergency_phase,sized_for_stretcher,device_in_conjunction_with,hoist_manufacturer,car_opening,escalator_travel_to_floor
1P11287,M00099846-I1,Drum,Horizontal,2.0,,Gradual WC,0.0,,Steel,5.0,,,5/8,,,AC,23000,3/8,,,No,Oil,21,MO,1.0,Yes,No,No,GAL,Door,
1P25980,M00238766-I1,Drum,Horizontal,1.0,,,0.0,,Steel,7.0,1.0,,5/8'',,,AC,,3/8'',,YES,No,Oil,PH,M/O,1.0,Yes,No,No,GAL,Door,
3P7426,B00221513-I1,Emergency Brake,Horizontal,,,,0.0,,,2.0,,Dual Jack,,,,AC,,,,,No,,3,MO,,Yes,Yes,No,GAL,Door,
1P 2855,M00332113-I1,Drum,Horizontal,,,,0.0,,Steel,6.0,1.0,,5/8,,,AC,,3/8,,,No,,PH,MO,1.0,Yes,No,No,GAL,Door,
1P0996100,M00795749-I1,Emergency Brake,Horizontal,2.0,,,0.0,,Steel,5.0,,,16mm,,,AC,34800,9.5mm,,,No,Oil,34,AMD,1.0,Yes,Yes,No,Wittur,Door,
4P10596,Q00503279-I1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1P5075,M00491731-I1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
2C0992083,X00389166-I1,,Horizontal,,,,0.0,,,10.0,,,,,,AC,,,,,,,27/RF,,,,,,,,
1P41436,M00265320-I1,Disc,Horizontal,,,,0.0,,,6.0,,,,,,AC,,,,,No,,PH,MO,,Yes,No,No,GAL,Door,
1P47065,M00456084-I1,,,,,,,,Steel,,1.0,,5/8,,,,,3/8,,,,,3,,1.0,,,,,,
3P3241,B00431822-I1,,,,,,,,Steel,,1.0,,1/2,,,,,3/8,,,,,6,,1.0,,,,,,
1P0988841,M00079134-I1,Emergency Brake,Horizontal,,,,0.0,,Steel,4.0,,Single Jack,3/8'' 7X19,,,AC,"14,400",,,,No,,8,PORTA,,No,No,No,SAVARIA,Door,
1P36233,M00502761-I1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
1P45731,M00898726-I1,Drum,Horizontal,3.0,,,0.0,,Steel,8.0,,,1/2,,,AC,,3/8,Steel,,No,Oil,11,G,1.0,Yes,No,No,GAL,Door,
1P41550,M00433972-I1,Emergency Brake,Horizontal,2.0,,,0.0,,Steel,8.0,,,5/8,,,AC,,,,,No,Oil,21,double MOH,,Yes,No,No,GAL,Door,
4E0988244,Q00124030-I1,,,,No,,,Yes,,,,,,,2.0,,,,,,,,,,,,,No,,,
1P27707,M00186352-I1,Drum,Horizontal,2.0,,,0.0,,Steel,3.0,,,1/2'',,,AC,"14,500",3/8'',,YES,No,Other,27,MO,1.0,Yes,No,No,GAL,Door,
1P28098,M00235350-I1,Drum,Horizontal,2.0,,,0.0,,Steel,0.0,,,1//2,,,AC,"14,500",1/2,Iron,,No,Oil,12,MOH,1.0,Yes,No,No,GAL,Door,
1P0992628,M00422183-I1,Disc,Horizontal,2.0,,,0.0,,Steel,3.0,,,16MM,,,AC,27200,9.5MM,,Yes,No,Oil,17-25,H152,1.0,Yes,Yes,No,Sematic,Door,
4P3077,Q0030 5648-I1,Drum,Horizontal,0.0,,,0.0,,Steel,6.0,,,1/2,,,AC,14500,3/8,,,No,Spring,9,MO,1.0,Yes,No,No,GAL,Door,
4P5917,Q00889 875-I1,,Horizontal,,,,0.0,,,8.0,,Dual Jack,,,,AC,,,,,No,,5,mo,,Yes,No,No,gal,Door,
1P27891,M00168973-I1,Drum,Horizontal,1.0,,,0.0,,Steel,7.0,,,5/8,,,AC,23000,3/8,,YES,No,Oil,9,M/O,1.0,Yes,No,No,GAL,Door,
1P4901,M00403081-I1,Drum,Horizontal,,,Flexible Guide,0.0,,Iron,0.0,,,5/8,,,AC,23000,1/2,,,No,,12,MO,1.0,Yes,No,No,Gal,Gate,
3P3811,B00344276-I1,Drum,Horizontal,,,Instantaneous,0.0,,Steel,0.0,1.0,,1/2,,,AC,,716,,,No,,6,n,1.0,Yes,No,No,gal,Door,
1P37080,m00047252-i1,Emergency Brake,Horizontal,,,,0.0,,,2.0,,Single Jack,,,,AC,,,,,No,,2,MO,,Yes,No,No,GAL,Door,
2P3204,X00220538-I1,Drum,Horizontal,2.0,,,0.0,,Steel,4.0,,,1/2,,,AC,,1/2,,,No,Oil,7,GAL,1.0,Yes,Yes,No,GAL,Door,
1P31999,M00163565-I1,Drum,Horizontal,3.0,,Flexible Guide,0.0,,Steel,3.0,1.0,,5/8,,,AC,,1/2,,,No,Oil,29,ESS,1.0,Yes,No,No,WESTINGHOUSE,Door,
3W0997347,B00807906-I1,,Vertical,,,,0.0,,,8.0,,,,No,,AC,,,,,,,UL,,,,,No,,,
1P18574,M00766875-P1,Emergency Brake,Horizontal,4.0,,,0.0,,Steel,4.0,1.0,,5/8,,,AC,,1/2,,Oil,No,Oil,37,MOCPH,1.0,Yes,No,No,GAL,Door,
1P3256,M0 0547393-P2,Disc,Horizontal,0.0,,,0.0,,Steel,7.0,,,5/8,,,AC,23000,3/8,,,No,Oil,11,MOH,1.0,Yes,Yes,No,GAL,Door,
4P11770,Q00318425-I1,Drum,Horizontal,0.0,,,0.0,,Steel,10.0,,,1/2,,,AC,14500,3/8,,,No,Spring,8,MO,1.0,Yes,No,No,GAL,Door,
1P19021,M01,Drum,Horizontal,1.0,,,0.0,,Steel,6.0,,,5/8'',,,AC,"23,000",1/2,,Yes,No,Oil,80,NG,1.0,Yes,No,No,Otis,Door,
3P0987626,B00066828-P4,Disc,Horizontal,3.0,,,0.0,,Steel,8.0,,,5/8,,,AC,27200,3/8,,LB40,No,Oil,29,MOH,1.0,Yes,No,No,GAL,Door,
1P0999635,M00688136-Z6,Disc,Horizontal,1.0,,,0.0,,Steel,9.0,,,5/8'',,,AC,"9,736LBS",3/8'',,YES,No,Oil,18,MO,1.0,Yes,Yes,No,GAL,Door,
