queens_condominiums_comparable_properties_boro_block_lot,queens_condominiums_comparable_properties_year_built,comparable_rental_1_market_value_per_sqft,comparable_rental_2_building_classification,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_2_gross_sqft,comparable_rental_2_total_units,comparable_rental_1_gross_income_per_sqft,borough,comparable_rental_2_estimated_gross_income,comparable_rental_3_gross_income_per_sqft,latitude,queens_condominiums_comparable_properties_gross_sqft,comparable_rental_2_expense_per_sqft
4-05050-7503,2008.0,112.74,D3-ELEVATOR, ,39000.0,41.0,21.15,4,836000.0, ,,22982,7.5
4-03097-7506,1955.0,47.94,D1-ELEVATOR, ,59532.0,72.0,16.71,4,976920.0, ,,23172,8.37
4-11440-7501,1977.0,60.01,C1-WALK-UP, ,33800.0,42.0,14.07,4,446836.0, ,,52400,5.72
4-05062-7501,2003.0,112.74,D1-ELEVATOR, ,10168.0,12.0,21.15,4,211560.0, ,,15189,3.65
4-01775-7501,2005.0,103.65,C7-WALK-UP, ,7650.0,8.0,22.53,4,210135.0, ,,14000,4.85
4-01336-7501,1992.0,60.03,C1-WALK-UP,0.1,26468.0,42.0,15.15,4,469616.0,18.72,,45000,6.34
4-03057-7501,1987.0,54.58,D1-ELEVATOR, ,33276.0,85.0,15.65,4,513888.0, ,,31080,6.49
4-05045-7501,1974.0,62.4,D3-ELEVATOR, ,270499.0,284.0,17.31,4,4181556.0, ,,333006,7.08
4-00134-7501,2005.0,89.17,D1-ELEVATOR, ,33078.0,45.0,21.13,4,660316.0, ,,15610,6.1
4-02882-7501,1998.0,103.65,D1-ELEVATOR,1.39,68440.0,77.0,22.53,4,987403.0,13.38,,10770,5.24
4-00415-7501,2004.0,196.03,D1-ELEVATOR, ,103850.0,120.0,42.78,4,1472357.0, ,,66590,6.23
4-04414-7501,2006.0,122.25,D1-ELEVATOR, ,33490.0,49.0,20.81,4,538591.0, ,,18668,9.05
4-00577-7501,1963.0,55.99,D1-ELEVATOR, ,45126.0,58.0,14.25,4,788351.0, ,,99600,8.74
4-16226-7501,2005.0,140.94,D1-ELEVATOR, ,120278.0,152.0,33.54,4,2511633.0, ,40.578367,74400,11.86
4-00946-7501,1929.0,40.33,C1-WALK-UP,1.62,53248.0,63.0,13.69,4,794181.0,15.63,,83680,5.69
4-05062-7502,2008.0,80.3,D9-ELEVATOR,3.32,11399.0,22.0,21.22,4,308448.0,18.11,,13640,11.95
4-02313-7501,1998.0,69.03,C1-WALK-UP,1.88,15050.0,17.0,18.46,4,339038.0,21.45,,132550,8.35
4-00593-7501,2007.0,36.63,D3-ELEVATOR, ,30572.0,30.0,12.3,4,870833.0, ,,8320,10.36
4-01536-7502,1980.0,47.9,C7-WALK-UP, ,28500.0,16.0,14.43,4,381330.0, ,,27450,7.09
4-00160-7501,1930.0,63.18,D1-ELEVATOR,1.7,68440.0,77.0,14.08,4,987403.0,13.13,,69337,5.24
4-03068-7501,1987.0,109.45,C7-WALK-UP, ,28500.0,16.0,25.9,4,381330.0, ,,18696,7.09
4-09832-7501,2006.0,108.59,C1-WALK-UP, ,21668.0,30.0,27.19,4,325254.0, ,,10431,7.33
4-01518-7501,1954.0,38.13,D1-ELEVATOR,0,60000.0,60.0,14.03,4,862800.0,12.69,,144300,7.77
4-09177-7501,1959.0,60.8,C1-WALK-UP,0.15,34000.0,38.0,15.96,4,384764.0,14.72,,53790,5.67
4-11599-7501,1927.0,45.83,C1-WALK-UP,0.46,30000.0,48.0,13.22,4,347361.0,12.35,,19200,4.93
4-05893-7501,1983.0,78.2,D1-ELEVATOR,2.2,146525.0,121.0,17.98,4,2427510.0,16.51,,124491,7.02
4-05893-7501,1983.0,78.2,D1-ELEVATOR,2.2,66795.0,73.0,17.98,4,1017573.0,16.51,,13073,5.06
4-05050-7501,1988.0,54.16,D1-ELEVATOR,0.15,26522.0,37.0,15.94,4,461900.0,19.05,,25333,8.01
4-05333-7501,1991.0,58.61,C1-WALK-UP, ,13598.0,20.0,16.72,4,218697.0, ,,19460,5.95
4-05048-7501,1982.0,46.07,C1-WALK-UP, ,12768.0,20.0,14.47,4,216220.0, ,,34587,7.97
4-00769-7501,1910.0,130.35,D9-ELEVATOR, ,24464.0,25.0,28.48,4,611905.0, ,,194780,7.5
4-01910-7501,1961.0,59.28,D3-ELEVATOR, ,220000.0,233.0,14.71,4,3025800.0, ,,151162,6.7
4-09762-7501,2007.0,154.29,D6-ELEVATOR, ,54496.0,96.0,26.19,4,1515247.0, ,40.793864,78540,9.07
4-05185-7501,1958.0,56.13,D3-ELEVATOR, ,267554.0,287.0,14.87,4,4130856.0, ,,75600,7.03
4-00034-7501,2008.0,81.12,D9-ELEVATOR, ,24464.0,25.0,31.31,4,611905.0, ,,140166,7.5
4-05039-7503,2005.0,122.25,D3-ELEVATOR, ,39000.0,41.0,20.81,4,836000.0, ,,9008,7.5
4-09937-7501,2006.0,78.73,D1-ELEVATOR, ,38208.0,53.0,18.71,4,864272.0, ,,32317,6.56
4-01855-7501,1964.0,47.9,D9-ELEVATOR, ,12293.0,13.0,14.43,4,111375.0, ,,72000,5.71
4-00579-7502,1950.0,63.41,D1-ELEVATOR, ,61500.0,84.0,17.11,4,1016728.0, ,,55000,6.78
4-01266-7501,1939.0,48.05,D1-ELEVATOR, ,49800.0,48.0,14.82,4,684755.0, ,,50996,6.69
4-02796-7501,1989.0,47.9,C1-WALK-UP, ,15050.0,17.0,14.43,4,339038.0, ,,10170,8.35
4-03096-7501,1960.0,47.9,C1-WALK-UP,1.58,15050.0,17.0,14.43,4,339038.0,15.82,,26118,8.35
4-11417-7501,1966.0,68.29,D7-ELEVATOR, ,46200.0,52.0,14.85,4,730874.0, ,,202489,6.18
4-09668-7501,1990.0,53.59,D1-ELEVATOR,0.34,102500.0,138.0,15.66,4,1414952.0,13.53,,19000,5.82
4-00196-7501,1988.0,52.04,D1-ELEVATOR,0.05,58800.0,60.0,13.8,4,750317.0,12.48,,27636,4.51
4-05137-7503,1997.0,61.61,D1-ELEVATOR, ,129304.0,145.0,18.52,4,2475252.0, ,,77117,8.81
4-16113-7502,2005.0,140.94,D1-ELEVATOR, ,120278.0,152.0,33.54,4,2511633.0, ,40.589094,82862,11.86
4-16176-7501,2006.0,64.35,D1-ELEVATOR, ,55628.0,72.0,20.88,4,1150386.0, ,40.570817,53200,6.41
4-03081-7501,2001.0,109.45,C1-WALK-UP,1.04,15050.0,17.0,25.9,4,339038.0,14.43,,40000,8.35
4-01526-7501,1960.0,43.71,D1-ELEVATOR,0.1,111500.0,136.0,13.46,4,1770448.0,15.09,,115364,7.73
4-05013-7501,2005.0,54.58,D1-ELEVATOR, ,22000.0,13.0,25.0,4,572000.0, ,,21000,7.8
4-05598-7501,1982.0,48.34,C1-WALK-UP,1.27,13281.0,16.0,16.84,4,208754.0,15.46,,46800,7.49
4-01857-7501,2004.0,103.65,D3-ELEVATOR,1.34,22662.0,29.0,22.53,4,637733.0,25.9,,22536,7.42
4-00082-7501,1920.0,81.12,D1-ELEVATOR, ,97528.0,120.0,31.31,4,1482558.0, ,,310173,7.8
4-05598-7501,1982.0,48.34,C1-WALK-UP,1.31,13281.0,16.0,16.84,4,208754.0,16.33,,14400,7.49
4-03637-7501,1990.0,74.43,C9-WALK-UP, ,45040.0,52.0,18.39,4,826762.0, ,,58586,5.75
4-01773-7501,2007.0,103.65,C7-WALK-UP, ,7650.0,8.0,22.53,4,210135.0, ,,20329,4.85
4-03171-7502,1964.0,109.45,D8-ELEVATOR,0.92,12442.0,18.0,25.9,4,399283.0,18.5,,26930,10.75
4-05893-7501,1983.0,78.2,D1-ELEVATOR,2.2,114402.0,148.0,17.98,4,1961788.0,16.51,,89015,6.15
4-03321-7504,2005.0,120.44,D7-ELEVATOR,1.54,12905.0,18.0,30.74,4,230663.0,25.9,,52033,7.69
