queens_condominiums_comparable_properties_condo_section,comparable_rental_3_address,council_district,comparable_rental_1_building_classification,comparable_rental_1_year_built,comparable_rental_1_estimated_gross_income,longitude,comparable_rental_2_full_market_value,comparable_rental_3_building_classification,queens_condominiums_comparable_properties_total_units,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_2_address,comparable_rental_1_net_operating_income,comparable_rental_1_boro_block_lot,comparable_rental_3_gross_sqft,comparable_rental_1_expense_per_sqft,comparable_rental_3_estimated_gross_income,comparable_rental_3_market_value_per_sqft,comparable_rental_3_estimated_expense
0291-R1,40 HAMPTON STREET,,D1-ELEVATOR,1963,1293752,,2943000.0,D1-ELEVATOR,65,51.63,89772,40 HAMPTON STREET,696310,4-01505-0037,"57,000",6.66,"891,480",53.53,"445,740"
0238-R1,144 41 AVENUE,,D1-ELEVATOR,1969,1112655,,1801000.0,D1-ELEVATOR,24,67.91,58411,37 PARSONS BOULEVARD,709949,4-05024-0019,"107,761",6.89,"1,820,528",60.12,"598,242"
0472-R1, ,,D3-ELEVATOR,2004,836000,,7590000.0, ,30,112.74,39000,137 NORTHERN BOULEVARD,543400,4-04995-0050, ,7.5, , , 
0696-R1, ,,D6-ELEVATOR,2000,1201088,,3379000.0, ,34,149.1,52477,99 67 ROAD,859290,4-04977-0017, ,6.51, , , 
0538-R1, ,,C1-WALK-UP,1927,270453,,642000.0, ,16,48.34,13598,43 165 STREET,166671,4-05331-0001, ,7.63, , , 
0073-R1, ,,D1-ELEVATOR,1999,860400,,6761000.0, ,257,54.14,53860,23 CORPORAL KENNEDY STREE,596222,4-05182-0009, ,4.9, , , 
0458-R1, ,,D6-ELEVATOR,1990,939801,,7590000.0, ,50,112.74,43957,137 NORTHERN BOULEVARD,507704,4-05104-0027, ,9.83, , , 
0066-R1,75 35 AVENUE,,D1-ELEVATOR,1954,590323,,2871000.0,D1-ELEVATOR,57,30.22,60000,79 35 AVENUE,289521,4-01275-0012,"95,000",5.01,"1,039,368",29.33,"588,778"
0443-R1, ,,D1-ELEVATOR,2000,1423576,,6468000.0, ,66,82.42,67324,139 35 AVENUE,1049993,4-04977-0021, ,5.55, , , 
0503-R1, ,,D7-ELEVATOR,1962,1019005,,2134000.0, ,12,85.36,44218,73 73 STREET,619136,4-01485-0037, ,9.04, , , 
0539-R1, ,,D3-ELEVATOR,2004,836000,,7590000.0, ,24,112.74,39000,137 NORTHERN BOULEVARD,543400,4-04995-0050, ,7.5, , , 
0614-R1, ,,D1-ELEVATOR,2006,211560,,3758000.0, ,14,96.36,10168,34 146 STREET,174412,4-05193-0039, ,3.65, , , 
0640-R1, ,,C1-WALK-UP,1925,335402,,462000.0, ,16,47.97,13400,37 64 STREET,191218,4-01217-0020, ,10.76, , , 
0262-R1, ,,D1-ELEVATOR,1963,987403,,1560000.0, ,78,103.65,68440,46 88 STREET,628638,4-02474-0010, ,5.24, , , 
0394-R1, ,,C1-WALK-UP,2004,339038,,3278000.0, ,8,47.9,15050,51 VAN KLEECK STREET,213417,4-01584-0013, ,8.35, , , 
0220-R1, ,19.0,D1-ELEVATOR,1971,1578645,-73.75128,5593000.0, ,16,70.75,78474,139 35 AVENUE,913798,4-04994-0070, ,8.47, , , 
0360-R1, ,,C1-WALK-UP,2004,339038,,3278000.0, ,14,47.9,15050,51 VAN KLEECK STREET,213417,4-01584-0013, ,8.35, , , 
0324-R1, ,,C1-WALK-UP,2004,339038,,3278000.0, ,8,47.9,15050,51 VAN KLEECK STREET,213417,4-01584-0013, ,8.35, , , 
0210-R1, ,,D1-ELEVATOR,1963,987403,,1560000.0, ,10,103.65,68440,46 88 STREET,628638,4-02474-0010, ,5.24, , , 
0751-R1, ,,D6-ELEVATOR,2000,1201088,,3379000.0, ,36,149.1,52477,99 67 ROAD,859290,4-04977-0017, ,6.51, , , 
0153-R1, ,,C7-WALK-UP,2006,381330,,3278000.0, ,11,47.9,28500,51 VAN KLEECK STREET,179265,4-02716-0001, ,7.09, , , 
0576-R1,110 72 AVENUE,,D7-ELEVATOR,2002,518012,,3379000.0,D8-ELEVATOR,33,149.1,20000,99 67 ROAD,367671,4-03173-0022,"12,442",7.52,"399,283",159.06,"133,718"
0194-R1, ,,D1-ELEVATOR,2003,784534,,1706000.0, ,66,90.64,43099,142 84 DRIVE,625169,4-09669-0012, ,3.7, , , 
0721-R1, ,,D1-ELEVATOR,1951,3308472,,6130000.0, ,41,59.15,179072,141 85 ROAD,1924339,4-09712-0102, ,7.73, , , 
0683-R1,31 29 STREET,,D1-ELEVATOR,1928,640128,,1986000.0,D1-ELEVATOR,81,50.22,38400,31 29 STREET,313728,4-00614-0010,"39,549",8.5,"598,740",45.34,"283,856"
0134-R1, ,,D1-ELEVATOR,1971,1426642,,2816000.0, ,18,72.88,80241,140 34 AVENUE,697013,4-05022-0018, ,9.09, , , 
0130-R1, ,30.0,C7-WALK-UP,2006,381330,-73.904738,3278000.0, ,12,47.9,28500,51 VAN KLEECK STREET,179265,4-02716-0001, ,7.09, , , 
0093-R1, ,,D7-ELEVATOR,1931,1080532,,1603000.0, ,52,37.24,79830,43 45 STREET,685145,4-00160-0009, ,4.95, , , 
0240-R1,140 FRANKLIN AVENUE,,D1-ELEVATOR,1932,576889,,2398000.0,D1-ELEVATOR,56,47.1,38806,142 FRANKLIN AVENUE,393095,4-05185-0014,"119,185",4.74,"1,795,854",48.82,"536,838"
0413-R1, ,,D7-ELEVATOR,1973,1391839,,4499000.0, ,26,77.02,65292,144 38 AVENUE,872471,4-05025-0008, ,7.95, , , 
0161-R1,102 QUEENS BOULEVARD,,C1-WALK-UP,2004,339038,,3278000.0,D7-ELEVATOR,12,47.9,15050,51 VAN KLEECK STREET,213417,4-01584-0013,"20,000",8.35,"518,012",109.45,"150,341"
0103-R1,33 UNION STREET,19.0,D7-ELEVATOR,1987,699966,-73.75128,783000.0,C7-WALK-UP,15,143.14,38640,140 33 AVENUE,431520,4-04994-0041,"9,044",6.95,"171,764",59.49,"56,045"
0565-R1, ,,D3-ELEVATOR,1970,870833,,1117000.0, ,30,59.1,30572,23 31 AVENUE,554234,4-00575-0029, ,10.36, , , 
0598-R1, ,,C1-WALK-UP,1979,345108,,803000.0, ,7,86.63,13722,142 38 AVENUE,196773,4-05048-0013, ,10.81, , , 
0699-R1, ,,D6-ELEVATOR,2000,1201088,,3379000.0, ,14,149.1,52477,99 67 ROAD,859290,4-04977-0017, ,6.51, , , 
0722-R1,136 37 AVENUE,,D6-ELEVATOR,2000,1201088,,7590000.0,D6-ELEVATOR,16,112.74,52477,137 NORTHERN BOULEVARD,859290,4-04977-0017,"71,600",6.51,"1,412,993",106.03,"352,414"
0030-R1, ,,D1-ELEVATOR,1963,987403,,6209000.0, ,75,55.69,68440,42 80 STREET,628638,4-02474-0010, ,5.24, , , 
0060-R1,94 222 STREET,,C7-WALK-UP,1939,807394,,584000.0,C5-WALK-UP,179,47.95,51150,214 93 AVENUE,544292,4-06301-0016,"5,500",5.14,"87,839",48.18,"49,002"
0729-R1, ,,D7-ELEVATOR,1938,4430358,,2673000.0, ,546,48.34,312876,99 62 AVENUE,2506873,4-02102-0001, ,6.15, , , 
0068-R1, ,,D1-ELEVATOR,1980,1139374,,6043000.0, ,64,71.79,66962,103 68 DRIVE,678952,4-02098-0018, ,6.88, , , 
0337-R1, ,,D1-ELEVATOR,1963,987403,,1181000.0, ,67,166.06,68440,113 76 ROAD,628638,4-02474-0010, ,5.24, , , 
