queens_condominiums_comparable_properties_condo_section,queens_condominiums_comparable_properties_boro_block_lot,queens_condominiums_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,comparable_rental_3_total_units,comparable_rental_1_estimated_expense,comparable_rental_3_expense_per_sqft,comparable_rental_1_total_units,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_3_net_operating_income,queens_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_2_net_operating_income,bbl,queens_condominiums_comparable_properties_expense_per_sqft,nta,comparable_rental_3_neighborhood,bin,queens_condominiums_comparable_properties_neighborhood,community_board,comparable_rental_1_full_market_value,queens_condominiums_comparable_properties_building_classification,comparable_rental_1_address,comparable_rental_1_neighborhood
0184-R1,4-09177-7501,84 101 STREET,14.02,77,285742.0,6.13,52,0.45,"496,412",38.62,282529.0,,6.75,,RICHMOND HILL,,WOODHAVEN,,3043000,R2-CONDOMINIUM,84 109 STREET,RICHMOND HILL
0455-R1,4-03321-7502,83 117 STREET,17.87,21,145176.0,7.52,17,0.63,"367,671",95.81,131434.0,,12.0,,REGO PARK,,KEW GARDENS,,1650000,R4-CONDOMINIUM,84 CUTHBERT ROAD,KEW GARDENS
0175-R1,4-02784-7501,61 69 STREET,14.43, ,202065.0, ,16,1.31, ,57.11,628638.0,,5.24,, ,,MASPETH,,1189000,R2-CONDOMINIUM,64 GRAND AVENUE,MASPETH
0471-R1,4-05186-7502,140 CHERRY AVENUE,20.81, ,292600.0, ,41,0.1, ,98.24,174412.0,,7.74,, ,,FLUSHING-NORTH,,3758000,R4-CONDOMINIUM,34 146 STREET,FLUSHING-NORTH
0098-R1,4-01842-7501,87 JUSTICE AVENUE,13.38, ,358765.0, ,77,1.59, ,47.95,179265.0,,6.5,, ,,ELMHURST,,3278000,R4-CONDOMINIUM,51 VAN KLEECK STREET,ELMHURST
0597-R1,4-00016-7501,50 2 STREET,31.31, ,1343416.0, ,141,0.2, ,71.52,9124926.0,,6.88,, ,,LONG ISLAND CITY,,15682000,R4-CONDOMINIUM,41 CRESCENT STREET,LONG ISLAND CITY
0744-R1,4-00660-7502,30 38 STREET,25.01, ,316599.0, ,30,7.86, ,112.82,428343.0,,8.5,, ,,ASTORIA,,3985000,R4-CONDOMINIUM,27 27 STREET,ASTORIA
0043-R1,4-05893-7501,209 23 AVENUE,17.98,72,979445.0,6.76,152,0.36,"560,150",74.61,1717451.0,,6.35,,FLUSHING-NORTH,,BAYSIDE,,11660000,R4-CONDOMINIUM,16 BELL BOULEVARD,BAYSIDE
0536-R1,4-05181-7501,42 UNION STREET,20.81, ,292600.0, ,41,0.28, ,100.73,174412.0,,7.4,, ,,FLUSHING-NORTH,,3758000,R4-CONDOMINIUM,34 146 STREET,FLUSHING-NORTH
0354-R1,4-02264-7502,75 113 STREET,16.75,60,105428.0,5.91,39,0.12,"612,019",75.73,621476.0,,6.0,,FOREST HILLS,,FOREST HILLS,,1232000,R4-CONDOMINIUM,75 GRND CNTRL PARKWAY SR,FOREST HILLS
0423-R1,4-04952-7501,32 LINDEN PLACE,19.73,8,56045.0,4.85,13,0.33,"173,011",88.68,1060579.0,,6.6,,FLUSHING-NORTH,,FLUSHING-NORTH,,538000,R2-CONDOMINIUM,33 UNION STREET,FLUSHING-NORTH
0606-R1,4-09828-7501,89 175 STREET,22.62, ,473354.0, ,90,0.29, ,114.97,613512.0,,6.93,, ,,JAMAICA,,14995000,R4-CONDOMINIUM,89 162 STREET,JAMAICA
0025-R1,4-05010-7501,36 UNION STREET,15.78,109,606060.0,9.09,82,0.31,"697,013",55.54,345554.0,,7.5,,FLUSHING-NORTH,,FLUSHING-NORTH,,4146000,R4-CONDOMINIUM,36 BOWNE STREET,FLUSHING-NORTH
0100-R2,4-00946-7501,78 19 DRIVE,15.68, ,182036.0, ,32,1.62, ,46.22,162680.0,,7.1,, ,,JACKSON HEIGHTS,,1341000,R2-CONDOMINIUM,35 73 STREET,JACKSON HEIGHTS
0307-R1,4-01854-7501,90 53 AVENUE,14.4,12,131144.0,10.36,32,0.0,"111,836",54.35,86060.0,,5.0,,ELMHURST,,ELMHURST,,897000,R2-CONDOMINIUM,90 53 AVENUE,ELMHURST
0489-R1,4-01941-7501,102 LEWIS AVENUE,25.9, ,125621.0, ,17,1.15, ,114.38,367671.0,,8.5,, ,,CORONA,,1560000,R4-CONDOMINIUM,46 88 STREET,ELMHURST
0150-R1,4-05105-7501,132 AVERY AVENUE,15.7, ,263041.0, ,48,0.13, ,57.69,1083033.0,,7.6,, ,,FLUSHING-NORTH,,2508000,R4-CONDOMINIUM,41 FRAME PLACE,FLUSHING-NORTH
0172-R1,4-02186-7501,110 65 AVENUE,17.29, ,205713.0, ,28,0.1, ,54.45,227284.0,,7.61,, ,,FOREST HILLS,,1516000,R2-CONDOMINIUM,110 64 ROAD,FOREST HILLS
0586-R1,4-00047-7502,10 46 ROAD,25.01, ,1343416.0, ,141,0.25, ,123.53,428343.0,,8.0,, ,,LONG ISLAND CITY,,15682000,R4-CONDOMINIUM,41 CRESCENT STREET,LONG ISLAND CITY
0559-R1,4-04414-7503,31 UNION STREET,27.47, ,56045.0, ,13,0.67, ,113.16,173011.0,,7.0,, ,,FLUSHING-NORTH,,538000,R4-CONDOMINIUM,33 UNION STREET,FLUSHING-NORTH
0100-R5,4-00946-7501,76 DITMARS BOULEVARD,15.68, ,182036.0, ,32,1.5, ,46.15,162680.0,,7.1,, ,,JACKSON HEIGHTS,,1341000,R2-CONDOMINIUM,35 73 STREET,JACKSON HEIGHTS
0677-R1,4-00030-7502,5 47 ROAD,14.22,66,760870.0,5.63,120,1.43,"535,642",51.24,446558.0,,7.0,,LONG ISLAND CITY,,LONG ISLAND CITY,,4959000,R4-CONDOMINIUM,48 37 STREET,LONG ISLAND CITY
0529-R1,4-00531-7501,14 BROADWAY,22.36, ,395560.0, ,52,0.0, ,108.24,758910.0,4142340562.0,7.5,Lindenwood-Howard Beach                                                    , ,4296313.0,ASTORIA,10.0,5574000,R4-CONDOMINIUM,31 21 STREET,ASTORIA
0335-R1,4-00161-7501,43 45 STREET,14.22, ,760870.0, ,120,0.58, ,47.52,446558.0,,6.5,, ,,SUNNYSIDE,,4959000,R9-CONDOMINIUM,48 37 STREET,LONG ISLAND CITY
0010-R3,4-04981-7501,140 34 AVENUE,14.54,13,,6.2,8,0.19,"115,719",54.88,91224.0,,7.71,Douglas Manor-Douglaston-Little Neck                                       ,FLUSHING-NORTH,,FLUSHING-NORTH,11.0,783000,R4-CONDOMINIUM,140 33 AVENUE,FLUSHING-NORTH
0109-R1,4-06542-7501,152 MELBOURNE AVENUE,15.11,78,456580.0,7.79,60,1.23,"517,292",56.09,906639.0,,8.0,,BRIARWOOD,,FLUSHING-SOUTH,,2299000,R4-CONDOMINIUM,150 79 AVENUE,FLUSHING-SOUTH
0184-R2,4-09177-7501,84 101 STREET,14.02,77,285742.0,6.13,52,0.45,"496,412",38.4,282529.0,,7.0,,RICHMOND HILL,,WOODHAVEN,,3043000,R2-CONDOMINIUM,84 109 STREET,RICHMOND HILL
0618-R1,4-02476-7502,52 VAN LOON STREET,25.9, ,125621.0, ,17,1.71, ,117.99,367671.0,,8.0,, ,,ELMHURST,,1560000,R4-CONDOMINIUM,46 88 STREET,ELMHURST
0081-R1,4-05024-7502,38 147 STREET,17.42,137,402706.0,5.55,70,0.07,"1,222,286",63.1,249515.0,,8.01,,FLUSHING-NORTH,,FLUSHING-NORTH,,4499000,R4-CONDOMINIUM,144 38 AVENUE,FLUSHING-NORTH
0169-R1,4-03055-7502,71 METROPOLITAN AVENUE,14.43, ,202065.0, ,16,1.62, ,54.92,628638.0,,5.24,, ,,MIDDLE VILLAGE,,1189000,R2-CONDOMINIUM,64 GRAND AVENUE,MASPETH
0197-R1,4-00830-7501,21 33 STREET,13.13,10,255806.0,3.84,26,0.72,"245,767",56.29,97888.0,,7.5,,ASTORIA,,ASTORIA,,2857000,R9-CONDOMINIUM,28 ASTORIA BOULEVARD,ASTORIA
0212-R1,4-09046-7501,97 75 STREET,15.88, ,44674.0, ,18,0.91, ,54.1,311811.0,,7.0,, ,,OZONE PARK,,628000,R2-CONDOMINIUM,74 88 ROAD,WOODHAVEN
0420-R1,4-05039-7501,132 41 ROAD,21.15,12,432097.0,3.65,33,0.46,"174,412",96.87,1049993.0,,7.0,,FLUSHING-NORTH,,FLUSHING-NORTH,,3724000,R4-CONDOMINIUM,132 POPLE AVENUE,FLUSHING-NORTH
0261-R1,4-05027-7502,147 ROOSEVELT AVENUE,14.29,20,78808.0,7.97,16,0.26,"114,442",67.91,81336.0,,6.83,,FLUSHING-NORTH,,FLUSHING-NORTH,,636000,R2-CONDOMINIUM,144 38 AVENUE,FLUSHING-NORTH
0623-R1,4-00415-7502,41 UNKNOWN,25.01, ,1343416.0, ,141,0.96, ,127.03,428343.0,,7.5,, ,,LONG ISLAND CITY,,15682000,R4-CONDOMINIUM,41 CRESCENT STREET,LONG ISLAND CITY
0236-R1,4-03097-7503,64 WETHEROLE STREET,15.82, ,358765.0, ,77,1.45, ,53.36,41837.0,,7.0,, ,,REGO PARK,,3278000,R4-CONDOMINIUM,51 VAN KLEECK STREET,ELMHURST
0435-R1,4-03321-7503,83 116 STREET,19.13,21,99229.0,7.52,18,1.15,"367,671",80.16,790049.0,,7.5,,REGO PARK,,KEW GARDENS,,945000,R4-CONDOMINIUM,123 82 AVENUE,KEW GARDENS
0181-R1,4-05004-7501,35 147 STREET,17.78,37,463275.0,8.01,84,0.31,"249,515",66.29,697013.0,,7.0,,FLUSHING-NORTH,,FLUSHING-NORTH,,4587000,R4-CONDOMINIUM,144 35 AVENUE,FLUSHING-NORTH
0143-R1,4-02075-7501,92 QUEENS BOULEVARD,17.64, ,986700.0, ,150,0.63, ,57.64,1273996.0,,6.5,, ,,REGO PARK,,7283000,R4-CONDOMINIUM,64 SAUNDERS STREET,REGO PARK
0517-R1,4-04414-7502,140 31 DRIVE,27.47, ,56045.0, ,13,0.67, ,113.15,173011.0,,7.0,, ,,FLUSHING-NORTH,,538000,R4-CONDOMINIUM,33 UNION STREET,FLUSHING-NORTH
0609-R1,4-05039-7508,132 41 ROAD,21.44, ,37148.0, ,12,0.88, ,109.62,543400.0,,6.5,, ,,FLUSHING-NORTH,,1243000,R4-CONDOMINIUM,43 ROBINSON STREET,FLUSHING-NORTH
0325-R1,4-06797-7503,158 72 AVENUE,15.11,96,515249.0,7.83,112,1.13,"575,693",66.05,906639.0,,7.34,,BRIARWOOD,,FLUSHING-SOUTH,,3487000,R4-CONDOMINIUM,80 PARSONS BOULEVARD,HILLCREST
0104-R1,4-05134-7501,42 KISSENA BOULEVARD,15.54, ,1063020.0, ,157,0.12, ,55.56,1085142.0,,7.25,, ,,FLUSHING-NORTH,,9240000,R4-CONDOMINIUM,41 BOWNE STREET,FLUSHING-NORTH
0299-R1,4-01527-7502,42 82 STREET,13.68, ,327486.0, ,71,0.08, ,45.23,513301.0,,6.25,, ,,ELMHURST,,3234000,R9-CONDOMINIUM,80 BROADWAY,ELMHURST
0501-R1,4-05193-7502,43 UNION STREET,21.44, ,373583.0, ,71,0.87, ,105.64,543400.0,,6.23,, ,,FLUSHING-NORTH,,7590000,R4-CONDOMINIUM,137 NORTHERN BOULEVARD,FLUSHING-NORTH
0334-R1,4-02118-7501,99 66 ROAD,15.91,61,261496.0,6.38,62,0.19,"678,585",41.29,687393.0,,7.5,,REGO PARK,,REGO PARK,,3256000,R9-CONDOMINIUM,101 BOOTH STREET,REGO PARK
0590-R1,4-02220-7501,69 108 STREET,19.13, ,159365.0, ,42,1.81, ,58.67,790049.0,,9.0,, ,,FOREST HILLS,,4500000,R4-CONDOMINIUM,135 COOLIDGE AVENUE,BRIARWOOD
0734-R1,4-00570-7504,30 CRESCENT STREET,17.89,54,355709.0,8.6,66,0.18,"430,210",103.96,315710.0,,7.29,,ASTORIA,,ASTORIA,,3776000,R4-CONDOMINIUM,27 30 AVENUE,ASTORIA
0287-R1,4-01312-7501,41 73 STREET,17.26, ,112214.0, ,23,0.14, ,62.18,73615.0,,8.5,, ,,ELMHURST,,1067000,R2-CONDOMINIUM,70 WOODSIDE AVENUE,ELMHURST
0132-R1,4-09231-7501,83 LEFFERTS BOULEVARD,12.09,85,540619.0,6.91,90,0.09,"456,699",45.68,274755.0,,5.95,,KEW GARDENS,,KEW GARDENS,,5598000,R4-CONDOMINIUM,83 LEFFERTS BOULEVARD,KEW GARDENS
0431-R1,4-04958-7501,134 35 AVENUE,17.72, ,125204.0, ,20,0.12, ,71.94,53160.0,,6.2,Douglas Manor-Douglaston-Little Neck                                       , ,,FLUSHING-NORTH,11.0,629000,R2-CONDOMINIUM,134 35 AVENUE,FLUSHING-NORTH
0619-R1,4-00042-7501,10 JACKSON AVENUE,25.01, ,1343416.0, ,141,0.06, ,125.34,428343.0,,7.75,, ,,LONG ISLAND CITY,,15682000,R4-CONDOMINIUM,41 CRESCENT STREET,LONG ISLAND CITY
0700-R1,4-05039-7509,132 41 ROAD,21.44, ,373583.0, ,71,0.88, ,108.38,543400.0,,6.53,, ,,FLUSHING-NORTH,,7590000,R4-CONDOMINIUM,137 NORTHERN BOULEVARD,FLUSHING-NORTH
0560-R1,4-00192-7501,41 QUEENS BOULEVARD,25.01, ,316599.0, ,30,1.56, ,112.23,428343.0,,8.5,, ,,SUNNYSIDE,,3985000,R4-CONDOMINIUM,27 27 STREET,ASTORIA
0003-R1,4-03097-7501,94 64 ROAD,14.43,8,125621.0,9.94,17,1.29,"41,837",57.86,628638.0,,7.0,,FOREST HILLS,,REGO PARK,,1560000,R2-CONDOMINIUM,46 88 STREET,ELMHURST
0563-R1,4-04516-7501,150 12 AVENUE,18.03, ,37124.0, ,8,2.09, ,97.83,144446.0,,9.0,, ,,WHITESTONE,,1996000,R2-CONDOMINIUM,136 41 AVENUE,FLUSHING-NORTH
0072-R1,4-03115-7501,63 WOODHAVEN BOULEVARD,16.17, ,1273996.0, ,144,0.49, ,55.3,1069348.0,,7.59,, ,,REGO PARK,,9189000,R4-CONDOMINIUM,65 WETHEROLE STREET,REGO PARK
0367-R1,4-01955-7501,54 108 STREET,22.53,77,150341.0,5.24,21,1.19,"628,638",54.31,213417.0,,8.35,,ELMHURST,,CORONA,,2189000,R4-CONDOMINIUM,102 QUEENS BOULEVARD,REGO PARK
0193-R1,4-03347-7501,119 UNION TURNPIKE,17.27, ,159365.0, ,42,0.96, ,57.6,236322.0,,6.2,, ,,FOREST HILLS,,4500000,R4-CONDOMINIUM,135 COOLIDGE AVENUE,BRIARWOOD
0092-R1,4-00159-7502,41 42 STREET,15.11, ,395387.0, ,95,0.19, ,44.62,233147.0,,6.5,, ,,SUNNYSIDE,,3663000,R4-CONDOMINIUM,43 45 STREET,SUNNYSIDE
0100-R7,4-00946-7501,21 78 STREET,15.68, ,182036.0, ,32,1.49, ,46.2,162680.0,,7.1,, ,,JACKSON HEIGHTS,,1341000,R2-CONDOMINIUM,35 73 STREET,JACKSON HEIGHTS
