permitid,fullapplicationno,axle2weight,totalnoofaxle,axle3loadrating,loadindescription,axle4space,loadoutheight,vehicletype,loadoutdescription,overalllength,leasecompanyname,vehicletypeother,steeringnooftires
4418,con-2015112-1167,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3115,Eas1-20141217-1385,,,,,,,Tractor Trailer,,,,,
4259,Val-20151015-1008,29000.0,3.0,8800.0,,,,Other Single,,31.03,,,2.0
3538,Val-201542-377,29500.0,3.0,8800.0,,,,Other Single,,30.03,,CONCRETE MIXER,2.0
4295,NYC1-20151019-1044,,,,Raw Bulk Milk,,11.06,,Empty,,,,
3795,NYC1-201569-634,,,,Raw Bulk Milk,,12.03,,Empty,,,,
3240,New1-2015116-79,26100.0,2.0,,,,,,,38.02,,,
6500,con-2017109-608,23000.0,3.0,5750.0,,,,Other Single,,34.0,,utility,2.0
2037,con-2014320-307,22500.0,3.0,5625.0,,,,Other Single,,34.0,,,2.0
3442,LA 1-2015316-281,29500.0,3.0,9920.0,,,,Cement Truck,,31.0,,,2.0
2542,ARC-201488-812,26880.0,3.0,7610.0,,,,Other Single,,34.06,,ROLLOFF,2.0
2702,con-2014918-972,23000.0,3.0,5750.0,,,,Other Single,,34.0,,utility,2.0
3498,Wor-2015318-337,,,,Bulk Raw Milk,,11.06,,Empty,,,,
4222,SJ-2015101-971,28095.0,3.0,8800.0,,,,Other Single,,21.03,,,2.0
3483,Wor-2015318-322,,,,Bulk Raw Milk,,12.0,,Empty,,,,
2525,SMG-2014729-795,29000.0,3.0,8100.0,,,,Dump Truck,,20.11,,,2.0
4238,Mid-2015105-987,26000.0,3.0,26000.0,,,,Dump Truck,,35.0,,,2.0
3248,DEF1-2015119-87,35338.0,2.0,,,,,,,41.05,,,
3270,Cra-2015122-109,36700.0,2.0,,,,,,,41.05,,,
3555,Val-201546-394,29000.0,3.0,8800.0,,,,Other Single,,31.03,,CONCRETE MIXER,2.0
2960,Wor-20141125-1230,,,,Bulk Raw Milk,,12.03,,Empty,,,,
4371,con-20151029-1120,23000.0,3.0,5750.0,,,,Other Single,,34.0,,DUMP,2.0
3790,NYC1-201569-629,,,,Raw Bulk Milk,,12.03,,Empty,,,,
2420,A.-2014610-690,,,,,,,Tractor Trailer,,,,,
3397,KIN-201536-236,24680.0,3.0,8170.0,,,,Other Single,,35.0,,BOOM TRUCK,2.0
4120,Cas-2014107-1079,29500.0,3.0,8000.0,,,,Other Single,,29.0,,,2.0
4570,Mon-2015121-1319,,,,,,,Tractor Trailer,,,,,
2457,Wor-2014627-727,,,,Bulk Raw Milk,,12.03,,Empty,,,,
2706,con-2014919-976,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
2524,Ult-2014729-794,16006.0,3.0,,,,,,,35.08,,,
3186,NOR-201517-25,35330.0,2.0,,,,,,,41.02,,,
4531,Ecc1-20151118-1280,28640.0,3.0,28640.0,,,,Dump Truck,,27.0,,,2.0
2596,Wor-201492-866,,,,Bulk Raw Milk,,12.0,,Empty,,,,
3472,Wor-2015317-311,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2451,Wor-2014626-721,,,,Bulk Raw Milk,,12.03,,Empty,,,,
3766,NYC1-201562-605,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2955,Wor-20141125-1225,,,,Bulk Raw Milk,,12.03,,Empty,,,,
4432,con-2015112-1181,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
3512,CRA1-2015325-351,23300.0,4.0,,,5.05,,,,36.01,,,
2605,Wor-201492-875,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2943,Wor-20141125-1213,,,,Bulk Raw Milk,,11.06,,Empty,,,,
3451,Wor-2015317-290,,,,Bulk Raw Milk,,12.03,,Empty,,,,
4470,con-2015113-1219,23000.0,3.0,24020.0,,,,Other Single,,35.0,,DUMP,2.0
3144,C.-20141229-1414,,,,,,,Tractor Trailer,,,,,
4340,con-20151027-1089,22700.0,3.0,5675.0,,,,Other Single,,34.0,,1019utility,2.0
4450,con-2015112-1199,23000.0,3.0,5750.0,,,,Other Single,,34.0,,tank truck,2.0
3218,All-2015114-57,20907.0,3.0,,,,,,,36.06,,,
2713,con-2014919-983,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,,2.0
4180,LA 1-2015915-929,29500.0,3.0,9920.0,,,,Cement Truck,,33.0,,,2.0
3874,L.F-201572-713,16100.0,2.0,,,,,,,32.0,,,
4574,Eas-2015121-1323,23291.0,4.0,,,5.05,,,,41.01,,,
3054,A.-20141211-1324,,,,,,,Tractor Trailer,,,,,
3239,New1-2015116-78,36000.0,2.0,,,,,,,41.05,,,
4126,Yon-2015821-875,,,,,,,Tractor Trailer,,,,,
2954,Wor-20141125-1224,,,,Bulk Raw Milk,,12.03,,Empty,,,,
3383,PET-2015227-222,22000.0,3.0,9370.0,,,,Other Single,,32.04,,TANK TRUCK,2.0
3133,Mid-20141219-1403,22000.0,3.0,22000.0,,,,Dump Truck,,35.0,,,2.0
3484,Wor-2015318-323,,,,Bulk Raw Milk,,12.0,,Empty,,,,
4379,con-20151029-1128,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
2479,Wor-201477-749,,,,Raw Bulk Milk,,11.06,,Empty,,,,
2495,CAS1-2014715-765,28640.0,3.0,29500.0,,,,Cement Truck,,33.06,,,2.0
3579,Bar-2015414-418,,,,,,,Tractor Trailer,,,,,
3936,NYC1-2015720-775,,,,Raw Bulk Milk,,12.03,,Empty,,,,
4460,con-2015113-1209,23000.0,3.0,5750.0,,,,Other Single,,34.0,,utility,2.0
3134,NEW3-20141222-1404,29500.0,3.0,32400.0,,,,Dump Truck,,28.0,,,2.0
3455,Wor-2015317-294,,,,Bulk Raw Milk,,12.03,,Empty,,,,
3787,A.-201569-626,,,,,,,Tractor Trailer,,,,,
2466,ISL-201472-736,,,,,,,Tractor Trailer,,,,,
4467,con-2015113-1216,23000.0,3.0,5750.0,,,,Other Single,,34.0,,vACTOR,2.0
3656,Hal-2015430-495,,,,,,,Tractor Trailer,,,,,
3447,EIG-2015317-286,29500.0,3.0,9920.0,,,,Cement Truck,,23.09,,,2.0
2726,con-2014919-996,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
2969,Wor-20141125-1239,,,,Bulk Raw Milk,,11.06,,Empty,,,,
4366,con-20151029-1115,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
4534,CAS1-20151118-1283,,,,,,,Tractor Trailer,,,,,
2606,Wor-201492-876,,,,Bulk Raw Milk,,11.06,,Empty,,,,
2717,con-2014919-987,23000.0,3.0,5750.0,,,,Dump Truck,,34.0,,,2.0
4429,con-2015112-1178,23000.0,3.0,5750.0,,,,Other Single,,34.0,,UTILITY,2.0
4473,con-2015113-1222,23000.0,3.0,24020.0,,,,Other Single,,34.0,,Tank,2.0
6276,ABL-2017621-384,15500.0,4.0,,,2.09,,,,37.1,,,
4322,con-20151027-1071,22500.0,3.0,5625.0,,,,Dump Truck,,34.0,,,2.0
2901,Ene-2014113-1171,22000.0,3.0,7640.0,,,,Other Single,,25.02,,FUEL TANK,2.0
4216,SJ-2015101-965,26000.0,3.0,8800.0,,,,Other Single,,34.05,,,2.0
2688,con-2014918-958,22700.0,3.0,5675.0,,,,Other Single,,34.0,,UTILITY,2.0
4665,Bay-20151214-1414,26500.0,3.0,,,,,,,25.05,,,
3575,RAN-2015411-414,,,,,,,Tractor Trailer,,,,,
3400,SJ-201539-239,25750.0,3.0,8800.0,,,,Other Single,,32.06,,,2.0
4471,con-2015113-1220,23000.0,3.0,24020.0,,,,Other Single,,34.0,,Utility,2.0
3335,PET-2015216-174,32400.0,2.0,,,,,Other Single,,26.0,,TANK TRUCK,4.0
2777,con-2014925-1047,23000.0,3.0,5750.0,,,,Other Single,,34.0,,vACTOR,2.0
2599,Wor-201492-869,,,,Bulk Raw Milk,,11.06,,Empty,,,,
4131,con-2015826-880,23000.0,3.0,24020.0,,,,Other Single,,34.0,,UTILITY,2.0
