oldpermitno,loadinlength,industrytypename,applicationtypeother,state,axle2nooftires,loadinweight,permitservicecompany,applicationtypename,axle3space,wheelbase,axle3weight,model,permitfromdate,loadoutweight,axle5space,permittype,loadinheight,serialno
,,Special Hauling,,NY,,,New York Crane & Equipment,,,13.05,,RTC8040,2015-04-20T00:00:00.000,,,,,F7J47375
evwi-2014111-1002,,Other,,,4.0,,consolidated edison co. inc.,Transfer,4.06,22.06,23000.0,,2015-09-14T00:00:00.000,,,"Type 2, 3 to 4 axles",,
V278-2014212-142,,Construction,,,,,"Bove Industries,Inc",Renewal,,,,,2014-10-09T00:00:00.000,,,"Type 4, 6 axles",,
MHBS-201394-782,,Other,,,,,ISLAND TRANSPORTATION CORP,Renewal,,,,,2014-08-02T00:00:00.000,,,"Type 3, 5 axles",,
,,Special Hauling,,NY,,,Atlantic Crane(Lessee) TKO Crane (Lessor),,4.11,13.03,23293.0,LTC 1055,2018-01-18T00:00:00.000,,,,,056238
J1NZ-20131021-836,,Construction,,,4.0,,NEW YORK PAVING INC.,Renewal,5.0,17.09,29500.0,,2014-10-09T00:00:00.000,,,"Type 2, 3 to 4 axles",,
X7BE-2014109-946,,Cement,,,4.0,,Corona Ready Mix Inc,Renewal,4.04,21.01,23000.0,,2015-08-19T00:00:00.000,,,"Type 2, 3 to 4 axles",,
qjun-201342-329,,Other,,,4.0,,consolidated edison co. inc.,Other,13.04,18.0,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
K8LU-2013826-762,,Other,,,4.0,,The Green-Wood Cemetery,Renewal,4.09,17.09,25000.0,,2014-08-31T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,60.0,Bulk Transportation,,,,99000.0,NYC DOT bm,,,,,,2015-10-17T00:00:00.000,32200.0,,,11.06,
,58.06,Bulk Transportation,,,,98875.0,NYC DOT bm,,,,,,2015-07-24T00:00:00.000,33380.0,,,12.03,
vsr5-2013329-291,,Other,,,4.0,,consolidated edison co. inc.,Other,4.08,17.11,23000.0,,2014-11-01T00:00:00.000,,,"Type 2, 3 to 4 axles",,
,,Special Hauling,,NY,,,Long Island R & R Rigging Inc,,5.0,24.02,21505.0,38124SHL,2015-04-16T00:00:00.000,,,,,115583
