fullpermitno,year,axle2loadrating,axle2space,oldgrossvehicleweight,oldexpirationdate,make,industrytypeother,loadoutwidth,permittodate
CZ47-2015420-373,2004,,13.05,,,LINK-BELT,,,2015-12-31T00:00:00.000
ZVPY-2015914-788,2015,24020.0,18.0,,,Freightliner,,,2015-10-31T00:00:00.000
X7BE-2014109-961,2006,,,,,Peterbuilt,,,2015-07-31T00:00:00.000
GPQZ-201482-841,2010,,,,,FREIGHTLINER,FUEL TRANSPORTATION,,2015-06-30T00:00:00.000
TOYI-2018117-75,2005,,8.04,,,LIEBHERR,,,2018-12-31T00:00:00.000
X7BE-2014109-955,1985,26600.0,12.09,,2014-07-31T00:00:00.000,MACK,,,2015-07-31T00:00:00.000
TMFM-2015819-747,2007,5750.0,16.09,64000.0,2015-07-31T00:00:00.000,MACK,,,2016-07-31T00:00:00.000
EVWI-2014111-1081,2012,5750.0,4.08,,,freig,,,2015-10-31T00:00:00.000
GPQZ-201482-862,1986,7660.0,13.0,70000.0,2014-08-31T00:00:00.000,Volvo White,Cemetery,,2015-08-31T00:00:00.000
RLB6-2016114-111,2012,,,,,PETERBILT,,8.0,2016-01-16T00:00:00.000
D82K-2015723-677,2012,,,,,Mack,,8.0,2015-10-16T00:00:00.000
EVWI-2014111-1057,2009,5750.0,13.03,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
ZUBW-2015416-357,2005,,14.08,,,MANITEX,,,2015-12-31T00:00:00.000
HMQ7-2014117-1123,2001,32400.0,14.04,,2014-09-30T00:00:00.000,MACK,,,2015-09-30T00:00:00.000
GMEJ-2015722-655,2016,,18.08,,,KENWORTH,,,2015-12-31T00:00:00.000
HMQ7-2014117-1132,1988,8800.0,15.07,73300.0,2014-08-31T00:00:00.000,AUTOCAR,FUEL OIL,,2015-09-30T00:00:00.000
ANU2-2015324-217,2007,,12.04,,,GROVE,,,2015-12-31T00:00:00.000
C8VW-2015817-710,2012,,,,,PETERBILT,,8.0,2015-10-16T00:00:00.000
FG5G-2015930-850,2008,28640.0,17.03,,,VOLVO,,,2016-08-31T00:00:00.000
SL64-2015320-156,2012,,,,,Mack,,8.0,2015-04-16T00:00:00.000
B2GR-20151122-1060,2010,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
EVWI-2014111-1062,2009,5750.0,13.0,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
V7G8-20151123-1100,2013,5750.0,15.06,,,Freightliner,,,2016-10-31T00:00:00.000
W946-2015410-298,2009,,12.05,,,TADANO,,,2015-12-31T00:00:00.000
RIE1-2014917-900,2012,,,,,Mack,,8.0,2014-10-16T00:00:00.000
V7G8-20151123-1086,2013,5750.0,13.03,,,freig,,,2016-10-31T00:00:00.000
G87G-2014126-1194,2012,,,,,Mack,,8.0,2015-01-16T00:00:00.000
PWXH-2015821-755,2001,,,120000.0,2014-06-30T00:00:00.000,Mack,,,2016-06-30T00:00:00.000
B2GR-20151122-1068,2015,24020.0,18.05,,,freightliner,,,2016-10-31T00:00:00.000
DE7L-2014108-934,2008,8800.0,16.09,78000.0,2014-08-31T00:00:00.000,MACK,Concrete Supply,,2015-08-31T00:00:00.000
T8QG-20141218-1269,2014,24020.0,18.05,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
LE2R-20161024-780,2000,,,,,Mack,,,2017-04-30T00:00:00.000
EVWI-2014111-1000,2005,5675.0,13.04,,,freightliner,,,2015-10-31T00:00:00.000
Z72R-2015423-406,2013,8800.0,16.09,78000.0,2015-04-30T00:00:00.000,MACK,Concrete Supply,,2016-04-30T00:00:00.000
GMEJ-2015722-660,2006,8100.0,18.07,78980.0,2015-06-30T00:00:00.000,Mack,,,2016-06-30T00:00:00.000
XQAD-20141222-1294,2001,,,120000.0,2014-11-30T00:00:00.000,PETERBILT,,,2015-11-30T00:00:00.000
D82K-2015723-681,2015,,,,,International,,8.0,2015-10-16T00:00:00.000
TILC-2015224-25,2002,6610.0,12.04,64000.0,2014-12-31T00:00:00.000,Freightliner,,,2015-12-31T00:00:00.000
G87G-2014126-1188,2010,,,,,Peterbuilt,,8.0,2015-01-16T00:00:00.000
KUPW-2015711-595,2004,9920.0,16.08,79000.0,2015-04-30T00:00:00.000,MACK,,,2016-04-30T00:00:00.000
H5DJ-2015319-136,2010,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
TMFM-2015819-749,1989,33500.0,14.06,,2015-01-31T00:00:00.000,gmc,,,2016-01-31T00:00:00.000
LMWS-2018111-33,2018,,20.1,,,Kenworth,,,2018-12-31T00:00:00.000
FJVQ-20151020-892,2004,6720.0,20.0,72220.0,2015-03-31T00:00:00.000,Mack,,,2016-03-31T00:00:00.000
EVWI-2014111-1096,2013,5750.0,13.03,,,freig,,,2015-10-31T00:00:00.000
EVWI-2014111-992,1987,,,,,volvo,,,2015-10-31T00:00:00.000
EVWI-2014111-988,1993,,,,,MACK,,,2015-06-30T00:00:00.000
FG5G-2015930-823,2013,,,120000.0,2015-05-31T00:00:00.000,PETERBUILT,,,2016-05-31T00:00:00.000
S8W5-2015421-382,2015,24020.0,18.05,,,Freightliner,,,2015-10-31T00:00:00.000
RLB6-2016114-117,2015,,,,,International,,8.0,2016-01-16T00:00:00.000
ANU2-2015324-215,2000,,11.05,,,LINK BELT,,,2015-12-31T00:00:00.000
WZ8O-2017124-179,2003,,12.05,,,TADANO,,,2017-12-31T00:00:00.000
FG5G-2015930-825,2015,,,,2015-04-30T00:00:00.000,Mack,,,2016-04-30T00:00:00.000
RIE1-2014917-912,2011,,,,,Peterbuilt,,8.0,2014-10-16T00:00:00.000
V7G8-20151123-1108,2016,24020.0,18.05,,,Freightliner,,,2016-10-31T00:00:00.000
Z72R-2015423-408,1995,8820.0,13.0,,,Crane Carrier,,,2016-03-31T00:00:00.000
RIE1-2014917-883,2010,,,,,Peterbuilt,,8.0,2014-10-16T00:00:00.000
RLB6-2016114-114,2013,,,,,PETERBILT,,8.0,2016-01-16T00:00:00.000
EVWI-2014111-1007,2005,5675.0,14.05,,,freghtliner,,,2015-10-31T00:00:00.000
RLB6-2016114-132,2016,,,,,PETERBILT,,8.0,2016-01-16T00:00:00.000
PMHA-20151019-885,2005,28665.0,17.03,73330.0,2015-09-30T00:00:00.000,VOLVO,,,2016-09-30T00:00:00.000
T65Q-2015530-484,2008,8800.0,16.09,78000.0,2015-05-31T00:00:00.000,MACK,Concrete Supply,,2016-05-31T00:00:00.000
RWNQ-2015929-810,1985,26600.0,12.09,,2015-07-31T00:00:00.000,MACK,,,2016-07-31T00:00:00.000
H5DJ-2015319-108,2012,,,,,Mack,,8.06,2015-04-16T00:00:00.000
T65Q-2015530-481,2005,8800.0,16.08,77460.0,2015-05-31T00:00:00.000,MACK,Concrete Supply,,2016-05-31T00:00:00.000
XCN5-201558-453,2005,,24.01,,,national,,,2015-05-31T00:00:00.000
FG5G-2015930-835,2008,7610.0,15.03,73600.0,2015-09-30T00:00:00.000,MACK,,,2016-09-30T00:00:00.000
VO5Z-2015827-785,2008,,,,,Peterbilt,,,2016-06-30T00:00:00.000
V7G8-20151123-1105,2015,24020.0,18.05,,,Freightliner,,,2016-10-31T00:00:00.000
X3KY-20151023-921,2013,29500.0,11.01,79000.0,2015-03-31T00:00:00.000,VOLVO,,,2016-03-31T00:00:00.000
D82K-2015723-687,2012,,,,,PETERBILT,,8.0,2015-10-16T00:00:00.000
ANU2-2015324-218,2007,,12.04,,,GROVE,,,2015-12-31T00:00:00.000
AZI4-2015818-733,1999,,,,,Mack,,,2016-07-31T00:00:00.000
EG3X-2015108-867,2016,,19.05,,,PETE,,,2015-12-31T00:00:00.000
KUPW-2015711-598,1999,8000.0,13.11,76000.0,2015-04-30T00:00:00.000,MACK,,,2016-04-30T00:00:00.000
ZPME-2015120-2,2013,24020.0,18.05,,2013-10-31T00:00:00.000,FREIGHTLINER,,,2015-10-31T00:00:00.000
EVWI-2014111-1022,2006,5675.0,14.05,,,freightliner,,,2015-10-31T00:00:00.000
PMHA-20151019-878,2016,24020.0,18.05,,,FREIGHTLINER,,,2015-10-31T00:00:00.000
RIE1-2014917-911,2011,,,,,Peterbuilt,,8.0,2014-10-16T00:00:00.000
FG5G-2015930-842,1999,29500.0,17.03,,,PETER,,,2016-08-31T00:00:00.000
T65Q-2015530-482,2007,8800.0,16.08,77460.0,2015-05-31T00:00:00.000,MACK,Concrete Supply,,2016-05-31T00:00:00.000
V7G8-20151123-1089,2013,5750.0,13.03,,,freig,,,2016-10-31T00:00:00.000
KUPW-2015711-594,2004,9920.0,16.08,,2015-04-30T00:00:00.000,MACK,,,2016-04-30T00:00:00.000
H5DJ-2015319-114,2013,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
Y3H2-20151121-1022,2009,5750.0,12.08,,,freightliner,,,2016-10-31T00:00:00.000
RIE1-2014917-898,2012,,,,,Peterbuilt,,8.0,2014-10-16T00:00:00.000
H5DJ-2015319-124,2013,,,,,Peterbuilt,,8.06,2015-04-16T00:00:00.000
CZ47-2015420-367,2001,,13.05,,,LINK-BELT,,,2015-12-31T00:00:00.000
B2GR-20151122-1036,2009,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
Y3H2-20151121-1005,2006,5675.0,13.03,,,STERLING,,,2016-10-31T00:00:00.000
V6T3-2015714-624,2002,,,,,Kenworth,,,2016-04-30T00:00:00.000
W3SX-2016516-387,2011,,12.05,,,TADANO,,,2016-12-31T00:00:00.000
X7BE-2014109-938,2008,8800.0,16.09,,,MACK,Concrete Supply,,2015-08-31T00:00:00.000
TMFM-2015819-752,1998,,,120000.0,2014-05-31T00:00:00.000,Mack,,,2016-05-31T00:00:00.000
Y3H2-20151121-1032,2009,5750.0,13.03,,,FREIGHTLINER,,,2016-10-31T00:00:00.000
H5DJ-2015319-138,2011,,,,,Peterbuilt,,8.0,2015-04-16T00:00:00.000
