comparable_rental_1_expense_per_sqft,comparable_rental_1_boro_block_lot,staten_island_condominiums_comparable_properties_year_built,census_tract,comparable_rental_2_distance_from_condo_in_miles,postcode
6.12,5-00589-0035,1986.0,75,0.51,10301
6.68,5-02102-0045,1989.0,27702,1.1,10314
7.09,5-02102-0028,1989.0,27702,6.0,10314
6.32,5-02893-0001,1987.0,6,1.11,10305
7.16,5-03983-0065,1965.0,14606,1.71,10306
