cfmc_case_id,qsharetravelcode06,qtripplanning7,gfocusaa1_qfocusaa5_ma5,gcarreduce1_qcarreduce2_ma,gfocusaa1_qfocusaa1_ma4,qtemphigh_append,qsharetravelcode02,qtripplanning2,qusetravelcode15,qagegender,qusetravelcode25,qagecode_final2,qridehail8,qdisability3,qtimehome4,qschooltravelcode02,qziptravel8,qschooltravelcode18,qemployment,qsharepurpose08,qridehail7,qzipwork3,qschooltransitfrom7,gfocusaa1_qfocusaa1_ma8,qshare5,qpreridehailcode09,qbenefits10,gfocusaa1_qfocusaa5b_ma6,weekend_number_of_trips,qschooltransitfrom5,gfocusaa1_qfocusaa5b_ma3,gfreight1_qfreight4_ma,qbikestore1,qschooltransitfrom4,qpreridehailcode12,qschooltravelcode03,qsharetravelcode08,gfocusaa1_qfocusaa6_ma1,qtimehome5,agegenwt,qpreridehailcode20,qbiketype2,qbiketype5,qtemplow_append,qridehailpurpose02,qschooltravelcode22,gfocusaa1_qfocusaa4_ma7,qreachtravel4,qziptravel_other7,qusetravelcode18,gfocusaa1_qfocusaa2_ma2,qbikestore5,qridehailpurpose10,qbikestore9,qwpsurveyzone06,qshare3,qbenefits01,qbikestore_other7,qsharetravelcode03,qwpsurveyzone02,qpreridehailcode10,gfocusaa1_qfocusaa2_ma4,qborough2,qnocitibike5,gimprove1_qimprove5_ma,qshare4,qbenefits08,filt_number_of_trips,gcarincrease1_qcarincrease2_ma,qpreridehailcode21,gfocusaa1_qfocusaa5b_ma4,gcarreduce1_qcarreduce5_ma,qsharetravelcode07,gcarincrease1_qcarincrease6_ma,qschooltravelcode26,qsharepurpose04,qtimehome2,qdisability2,qridehailpurpose_other9,qschooltravelcode04,gfocusaa1_qfocusaa2_ma8,eduwt,qpreridehailcode23,starttime_est,qcarmiles,qbenefits_other11,qcarpark2,gfocusaa1_qfocusaa2_ma6,qpreridehailcode03,weekday_filt_trips,qchildrenschoolzip4,gfocusaa1_qfocusaa4_ma2,qlanguageoe,qborough3,gfocusaa1_qfocusaa1_ma3,qsharepurpose05,qtripplanning1,qtripplanning5,qrace_other6,qpreridehailcode06,qsharepurpose06,qusetravelcode10,qschooltravelcode23,qbikestore2,qusetravelcode04,qnumber_of_trips_taken,qsharetravelcode04,gfocusaa1_qfocusaa5_ma3,qridehail_freq,gfocusaa1_qfocusaa3_ma2,qprecipitation_append,qtimehome6,qridehailpurpose01,qnocitibike6,qsharetravelcode25,qridehailpurpose03,gfocusaa1_qfocusaa4_ma5,qridehailpurpose08,gfreight1_qfreight2_ma,qbiketype1,qbenefits06,gfocusaa1_qfocusaa2_ma3,qnocitibike7,qschooltravelcode09,qsafety6,qbenefits12,qnocitibike4,gfocusaa1_qfocusaa3_ma8,qschooltransitfrom3,qbikestore3,qziptravel6,qusetravelcode13,boroughwt,qtimework3,qage,qborough4,qwelfare2,qemployment_other10,gfocusaa1_qfocusaa1_ma1,qpreridehailcode24,qbikestore7,qschooltravelcode25,qziptravel3,gfocusaa1_qfocusaa6_ma3,qrent,qsharepurpose03,qschooltransitto_other5,qusetravelcode23,qtimehome1,qusetravelcode02,qsharetravelcode10,qagecode_final5,gcarincrease1_qcarincrease5_ma,gcarreduce1_qcarreduce6_ma,qpreridehailcode15,qzipcmb,gfocusaa1_qfocusaa5b_ma1
10001353, ,0,0, ,0,94, ,0,0,10,0,0,0,0, , , , ,3, ,0, , ,0,0, , ,0, , ,0,5, , , , , ,0, ,5, , , ,77, , ,0, , ,0,0, , , , ,0, , , , , ,0,0,1,2,0, , , , ,0, , , , , , ,0, , ,0,1, ,2017-06-14T00:00:00.000, , , ,0, , , ,0,1,1,0, ,0,1, , , ,0, , ,0,0.0, ,0, ,0,0.01, , ,0, , ,0, ,4, , ,0,0, , , ,0,0, , , ,0,3, ,40,0,0, ,0, , , , ,0,2.0, , ,0, ,1, ,0, , , ,11418,0
10001172, ,0,0, ,0,85, ,0,0,9,0,1,0,0,700,0, ,0,2, ,0, ,0,0,0, ,0,0,1,0,0,6,0,0, ,0, ,1, ,4, ,0,0,66, ,0,0, , ,0,0,0, ,0,0,0,0, , ,0, ,0,1,0,1,0,0,1, , ,0, , , ,0, , ,0, ,1,0,1, ,2017-06-11T00:00:00.000, , , ,0, , , ,0,2,0,0, ,1,0, , , ,0,0,1,0,1.0, ,1, ,0,0.0, , ,0, , ,0, ,6,1,0,1,1,0, ,0,0,0,0,0, ,0,1, ,32,0,0, ,1, ,0,0, ,0,, , ,0, ,1, ,0, , , ,10009,0
10000525,0,0,1, ,1,79,0,0,1,11,0,0,0,0, , ,0, ,1,0,0, , ,0,0, ,0,1, , ,0,5, , , , ,0,0, ,5, , , ,59, , ,0, , ,0,1, , , ,1,1,0, ,0,0, ,1,1,1,4,0,0,4, , ,0, ,0, , ,0, ,0, , ,0,2, ,2017-06-02T00:00:00.000, , , ,1, ,4, ,1,1,0,1,0,0,1, , ,0,0, , ,0,4.0,0,0, ,0,0.01, , ,0,0, ,1, ,5, ,0,1,0, , ,1,0,0, , ,0,0,1, ,51,0,0, ,1, , , ,1,1,1.0,0, ,0,06:30 pm,1,0,0, , , ,10025,1
10000967, ,0,1, ,0,58, ,0,0,2,0,1,0,0,2:30pm,0, ,0,2, ,0, , ,0,0, ,0,0, , ,0,5,1, , ,0, ,0, ,1, ,0,0,52, ,0,0, , ,0,0,0, ,0,0,0,0, , ,0, ,0,0,0,3,0,0,2, , ,0, , , ,0, , ,0, ,0,0,1, ,2017-06-07T00:00:00.000, , , ,0, ,2, ,0,1,0,0, ,0,1, , , ,0,0,0,0,2.0, ,0, ,0,0.06, , ,0, , ,0, ,5,1,0,1,0,0, ,0,0,0, ,0, ,0,2, ,30,0,1, ,0, ,0,1, ,0,1.0, , ,0, ,0, ,0, , , ,11219,1
10000421, ,0,0, ,1,69, ,0,1,12,0,0,0,0, , , , ,5, ,0, , ,0,0,0, ,0, , ,0,3,0, ,0, , ,0, ,6,0,0,0,56,0, ,0, , ,1,0,0,0,0, ,0, , , , ,0,0,1,0,2,0, ,2, ,0,0, , , , , , ,0, , ,0,2,0,2017-05-24T00:00:00.000,2, ,0,0,0,2, ,0,1,0,1, ,1,0, ,0, ,0, ,0,0,2.0, ,0,2,0,0.0, ,0,0, ,0,0,0,6,1, ,1,0, ,1, ,0,0, ,1, ,0,1, ,60,0,0, ,1,0,0, , ,0,2.0, , ,0, ,1, ,1, , ,1,10014,1
10001326, ,0,0, ,1,94, ,0,0,9,0,1,0,0, ,0, ,0,3, ,0, , ,0,0, , ,1, , ,0,6, , , ,0, ,0, ,4, , , ,77, ,0,0, , ,0,0, , , ,1,0, , , ,0, ,1,0,0,3,0, , , , ,0, , , ,0, , ,0, ,0,0,1, ,2017-06-14T00:00:00.000, , , ,0, , , ,0,19,0,0, ,0,1, , , ,0,0, ,0,0.0, ,0, ,0,0.01, , ,0, , ,0, ,6, , ,0,0,0, , ,1,0, , , ,0,2, ,33,0,1, ,0, , ,1, ,0,1.0, , ,0, ,0, ,0, , , ,11219,0
10001227, ,0,0, ,1,90, ,0,0, ,0,0,0,0, , , , ,1, ,0, , ,0,0, ,0,0,0, ,0,6, , , , , ,0, ,8, , , ,72, , ,1, , ,0,1, , , ,0,0,0, , ,0, ,0,1,0,4,0,0, , , ,0, , , , , , ,0, , ,0,2, ,2017-06-12T00:00:00.000, , , ,0, , , ,0,2,0,0, ,0,1, , , ,0, , ,1,0.0, ,0, ,0,0.0, , ,0, , ,0, ,6, ,0,0,0, , ,0,1,0, , , ,0,1, ,35,0,0, ,1, , , , ,0,1.0, , ,0,7pm,1, ,0, , , ,10032,0
10000770,0,0,0, ,1,73,0,0,0,11,0,0,0,0, ,0,0,0,1,0,0, , ,0,0, ,0,0,4, ,1,4,0, , ,0,0,0, ,5, ,0,0,55, ,0,0, , ,0,0,0, ,0,0,0,0, ,0,0, ,0,0,1,2,0,0,4, , ,0, ,0, ,0,0, ,0, ,0,0,2, ,2017-06-04T00:00:00.000, , , ,0, , , ,0,1,0,0,1,1,0, , ,0,0,0,1,1,4.0,0,0, ,0,0.01, , ,0,0, ,0, ,5,1,0,1,0,0, ,0,0,0, ,0,0,0,4, ,45,0,0, ,0, ,0,0,0,0,1.0,0, ,0,4:30pm,0,0,0, , , ,10462,0
10001285, ,0,1, ,0,93, ,0,0,9,0,1,0,0,1:30PM,0, ,0,2, ,0, ,0,0,0,0,0,0, ,0,1,6,1,0,0,1, ,0, ,4,0,0,0,76,0,0,0, , ,0,0,0,0,0,0,0,0, , ,0,0,1,0,0,1,0,0,2, ,0,0, , , ,0, , ,0, ,0,0,1,0,2017-06-13T00:00:00.000, , , ,0,0,2, ,0,1,0,0, ,0,1, ,0, ,0,0,0,0,2.0, ,1,3,0,0.0, ,0,0, ,0,0,0,5,1,0,0,0,0, ,0,1,0,0,0, ,0,2, ,32,0,1, ,0,0,0,0, ,1,1.0, , ,0, ,0, ,0, , ,0,11219,0
10001209, ,0,0, ,0,90, ,0,0,11,0,0,0,0,4pm,0, ,0,2, ,0, , ,0,0,0,0,0,0, ,0,3, , ,0,0, ,0, ,5,0, , ,72,0,0,0, , ,0,0, ,0, ,0,0,0, , ,0,0,1,0,0,2,0,0, ,3,0,0, , ,2,0, , ,0, ,0,0,1,0,2017-06-12T00:00:00.000,7, ,0,0,0, , ,0,1,0,0, ,1,0, ,0, ,0,0, ,0,0.0, ,0,5,0,0.0, ,0,0, ,0,0,0,4, ,0,0,0,0,2,0,1,0, , , ,0,2, ,48,0,0, ,1,0, ,0, ,0,1.0, , ,0, ,1, ,0,3, ,0,11225,1
