brooklyn_condominiums_comparable_properties_condo_section,comparable_rental_1_building_classification,brooklyn_condominiums_comparable_properties_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_1_neighborhood,comparable_rental_2_net_operating_income,comparable_rental_2_neighborhood,brooklyn_condominiums_comparable_properties_market_value_per_sqft,comparable_rental_3_boro_block_lot,comparable_rental_3_estimated_gross_income,comparable_rental_3_address,comparable_rental_3_expense_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_1_estimated_expense,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_2_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_1_distance_from_condo_in_miles,comparable_rental_3_full_market_value,comparable_rental_2_gross_sqft
1325-R1,D9-ELEVATOR,3-06578-7501,2428000.0,BENSONHURST,336772.0,CONEY ISLAND,77.81,, , , ,64.24,51419, ,555180,2.36,673921.0,3218000,0.62, ,37797.0
1883-R1,C1-WALK-UP,3-06171-7501,914000.0,BENSONHURST,124616.0,BENSONHURST,86.5,, , , ,84.63,9600, ,90815,0.58,229581.0,538000,0.46, ,10800.0
2058-R1,D1-ELEVATOR,3-00974-7504,4287000.0,PARK SLOPE,585336.0,PARK SLOPE,102.29,3-00928-0013,"816,178",564 PACIFIC STREET,13.31,104.27,35310,0.72,327122,0.59,903286.0,2702000,0.51,"2,332,000",41113.0
0305-R1,C1-WALK-UP,3-01104-7503,1092000.0,PARK SLOPE SOUTH,150142.0,PARK SLOPE SOUTH,102.06,, , , ,103.92,6720, ,89450,0.15,255501.0,842000,0.25, ,10508.0
0441-R1,D9-ELEVATOR,3-00320-7502,4497000.0,BROOKLYN HEIGHTS,614045.0,DOWNTOWN-FULTON MALL,76.65,3-02108-0021,"525,261",25 LAFAYETTE AVENUE,8.35,113.08,21040,1.21,195029,0.83,875152.0,1529000,0.56,"2,142,000",39770.0
1979-R1,D1-ELEVATOR,3-02340-7501,5194000.0,DOWNTOWN-FULTON MALL,710752.0,WILLIAMSBURG-EAST,93.3,3-02418-0040,"1,451,589",145 SOUTH 3 STREET,13.71,77.75,242752,0.51,2762431,0.99,1515024.0,26305000,2.45,"3,690,000",66800.0
2344-R1,C1-WALK-UP,3-01893-7501,1165000.0,CLINTON HILL,161484.0,CLINTON HILL,81.66,, , , ,122.37,10060, ,108270,0.46,260690.0,1128000,0.88, ,9520.0
1144-R1,C1-WALK-UP,3-02521-7501,1238000.0,GREENPOINT,171434.0,GREENPOINT,86.81,, , , ,112.55,27309, ,296303,0.7,296806.0,2853000,0.15, ,11000.0
2255-R1,D9-ELEVATOR,3-00304-7501,3001000.0,FORT GREENE,417651.0,FORT GREENE,70.35,3-01042-0059,"311,116",257 15 STREET,8.48,68.13,27144,1.73,226573,1.56,827639.0,2142000,1.18,"915,000",44046.0
1661-R1,D9-ELEVATOR,3-02893-7502,934000.0,WILLIAMSBURG-SOUTH,203057.0,WILLIAMSBURG-SOUTH,92.81,3-02424-0035,"503,375",347 SOUTH 3 STREET,11.74,48.89,28800,0.77,388575,0.73,431273.0,1276000,0.73,"1,059,000",19104.0
