address_1,national_median_energy_star_score,medical_office_number_of_mri_machines,annual_maximum_demand_kw,estimated_data_flag_natural_gas,number_of_active_energy_meters_not_used_to_compute_metrics,financial_office_gross_floor_area_ft,source_eui_kbtu_ft,estimated_data_flag_fuel_oil_no_1,supermarket_grocery_number_of_walk_in_refrigeration_freezer_units,egrid_output_emissions_rate_kgco2e_mbtu,electricity_use_grid_purchase_kwh,alert_data_center_issue_with_estimates_it_configuration_or_it_meter,parking_completely_enclosed_parking_garage_size_ft,council_district,third_party_certification_date_achieved,estimated_data_flag_fuel_oil_no_2,hotel_gym_fitness_center_floor_area_ft,office_number_of_workers_on_main_shift,default_values,courthouse_gross_floor_area_ft,retail_store_number_of_open_or_closed_refrigeration_freezer_units,financial_office_number_of_computers,green_power_onsite_kwh,year_ending,percent_of_recs_retained,total_ghg_emissions_intensity_kgco2e_ft,parking_open_parking_lot_size_ft,distribution_center_gross_floor_area_ft,data_center_it_source_energy_kbtu,water_use_all_water_sources_kgal,property_gfa_calculated_parking_ft,pre_school_daycare_gross_floor_area_ft,wholesale_club_supercenter_exterior_entrance_to_the_public,national_median_site_eui_kbtu_ft,senior_living_community_living_unit_density_number_per_1_000_sq_ft,direct_ghg_emissions_metric_tons_co2e,restaurant_worker_density_number_per_1_000_sq_ft,last_modified_date_non_electric_non_gas_energy_meters,college_university_gross_floor_area_ft,laboratory_gross_floor_area_ft,multifamily_housing_percent_that_can_be_cooled,alert_property_has_no_uses,data_center_ups_output_meter_kwh,avoided_emissions_offsite_green_power_metric_tons_co2e,office_percent_that_can_be_cooled
1695 Seward Avenue,50,Not Available,174.4,No,0,Not Available,86.2,Not Available,Not Available,79.5,323040,Ok,Not Available,18.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.7,Not Available,231.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
9115 5th Avenue,50,Not Available,260,No,0,Not Available,99.1,Not Available,Not Available,79.5,545599.9,Ok,Not Available,43.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,5.3,Not Available,Not Available,Not Available,427.1,Not Available,Not Available,Not Available,83.6,Not Available,468.5,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
2944 Pitkin Avenue,50,Not Available,126,No,0,Not Available,61.9,Not Available,Not Available,79.5,261200,Ok,Not Available,37.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.7,Not Available,Not Available,Not Available,365.9,Not Available,Not Available,Not Available,85.1,Not Available,207.1,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
420 Beach 51st Street,50,Not Available,214.6,No,0,Not Available,74.2,Not Available,Not Available,79.5,421920,Ok,Not Available,31.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,2.9,Not Available,Not Available,Not Available,299.2,Not Available,Not Available,Not Available,72.4,Not Available,183.7,Not Available,12/18/2018 10:08 AM EST,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1375 Mace Avenue,50,Not Available,113.6,No,0,Not Available,103.7,Not Available,Not Available,79.5,289120,Ok,Not Available,13.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.9,Not Available,163.3,Not Available,03/23/2021 09:36 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
1071 Fifth Avenue,50,Not Available,Not Available,No,0,Not Available,506.9,Not Available,Not Available,79.5,3064978.2,Ok,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,20.7,Not Available,Not Available,Not Available,14655.9,Not Available,Not Available,Not Available,64.7,Not Available,4.9,Not Available,04/19/2021 04:56 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
639 St Ann's Avenue,50,Not Available,8,Not Available,0,Not Available,6.1,Not Available,Not Available,79.5,8400,Ok,Not Available,17.0,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,0.2,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,46.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
27-01 QUEENS PLAZA NORTH,50,Not Available,Not Available,No,0,Not Available,112.4,Not Available,Not Available,222.9,8570248.6,Ok,Not Available,26.0,Not Available,Not Available,Not Available,854.97,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,7.3,Not Available,Not Available,Not Available,6028.5,Not Available,Not Available,Not Available,73.1,Not Available,305.6,0.60256,03/29/2018 03:44 PM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,100
681 Kelly Street,50,Not Available,204,No,0,Not Available,72.6,Not Available,Not Available,79.5,538799.9,Ok,Not Available,17.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,3.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,85.8,Not Available,487.7,Not Available,03/23/2021 09:38 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
188 Rochester Avenue,50,Not Available,216,No,0,Not Available,86.4,Not Available,Not Available,79.5,583599.9,Ok,Not Available,36.0,Not Available,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2020-12-31T00:00:00.000,Not Available,4.4,Not Available,Not Available,Not Available,105.4,Not Available,Not Available,Not Available,83.2,Not Available,410.4,Not Available,03/23/2021 09:37 AM EDT,Not Available,Not Available,Not Available,Ok,Not Available,0,Not Available
