property_id,address_1,natural_gas_use_therms,last_modified_date_gas_meters,data_center_energy_estimates_applied,supermarket_grocery_number_of_open_or_closed_refrigeration_freezer_units,district_chilled_water_use_kbtu,hospital_general_medical_surgical_licensed_bed_capacity,data_center_pdu_input_meter_kwh,estimated_data_flag_district_steam,multifamily_housing_government_subsidized_housing,hospital_general_medical_surgical_number_of_staffed_beds,third_party_certification_date_anticipated,hospital_general_medical_surgical_mri_density_number_per_1_000_sq_ft,social_meeting_hall_gross_floor_area_ft,office_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,property_gfa_self_reported_ft,office_percent_that_can_be_heated,senior_living_community_gross_floor_area_ft,fuel_oil_4_use_kbtu,nyc_borough_block_and_lot_bbl,number_of_active_it_meters,weather_normalized_source_eui_kbtu_ft,generation_date,food_service_gross_floor_area_ft,data_center_gross_floor_area_ft,medical_office_weekly_operating_hours,hotel_gross_floor_area_ft,green_power_onsite_and_offsite_kwh,energy_star_score,data_center_ups_system_redundancy,other_gross_floor_area_ft,hospital_general_medical_surgical_laboratory,multifamily_housing_gross_floor_area_ft,municipally_supplied_potable_water_total_use_all_meter_types_kgal,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,financial_office_number_of_workers_on_main_shift,estimated_values_energy,weather_normalized_site_electricity_kwh,occupancy,electricity_use_generated_from_onsite_renewable_systems_kwh,multifamily_housing_number_of_laundry_hookups_in_common_area_s,restaurant_gross_floor_area_ft,fuel_oil_1_use_kbtu,outdoor_water_use_all_water_sources_kgal,latitude,weather_normalized_source_energy_use_kbtu,ambulatory_surgical_center_gross_floor_area_ft,_3rd_largest_property_use_type,source_energy_use_kbtu,data_center_it_equipment_input_meter_kwh,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kwh,construction_status,property_gfa_calculated_buildings_ft,district_steam_use_kbtu,medical_office_number_of_computers,estimated_data_flag_electricity_grid_purchase,third_party_certification,longitude,retail_store_number_of_walk_in_refrigeration_freezer_units
1633931,360 East 168th Street,10016.00006,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,103300,Not Available,Not Available,Not Available,2024350075,0,104.7,2021-05-28T17:12:50.000,Not Available,Not Available,Not Available,Not Available,0.0,77,Not Available,Not Available,Not Available,Not Available,41.1,74.5,77.7,Not Available,No,433840.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.832866,10812231.8,Not Available,Not Available,10464978.0,Not Available,Not Available,Existing,103300.0,Not Available,Not Available,No,Not Available,-73.911418,Not Available
1633372,800 Bushwick Avenue,5772.000093,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,123600,Not Available,Not Available,Not Available,3032410037,0,65.3,2021-05-28T17:13:00.000,Not Available,Not Available,Not Available,Not Available,0.0,85,Not Available,Not Available,Not Available,Not Available,707.4,45.3,46,Not Available,No,376160.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.694921,8071078.7,Not Available,Not Available,7976939.9,Not Available,Not Available,Existing,123600.0,Not Available,Not Available,No,Not Available,-73.927931,Not Available
1634339,4210 Arthur Kill Road,4577.000066,04/12/2021 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21660,Not Available,Not Available,Not Available,5073150007,0,65.8,2021-05-28T17:12:17.000,Not Available,Not Available,Not Available,Not Available,0.0,97,Not Available,Not Available,Not Available,Not Available,Not Available,38.8,40.8,Not Available,No,84000.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.539795,1425932.9,Not Available,Not Available,1380653.4,Not Available,Not Available,Existing,21660.0,Not Available,Not Available,No,Not Available,-74.237549,Not Available
1633917,4600 Broadway,530.999992,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,210000,Not Available,Not Available,4964000,1021720016,0,64.6,2021-05-28T17:11:50.000,Not Available,Not Available,Not Available,Not Available,0.0,92,Not Available,Not Available,Not Available,Not Available,2414.4,38.3,38.3,Not Available,No,889599.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.86079,13568277.7,Not Available,Not Available,13568277.7,Not Available,Not Available,Existing,210000.0,Not Available,Not Available,No,Not Available,-73.930672,Not Available
1633852,101-23 124th Street,21754.99915,04/12/2021 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,103280,Not Available,Not Available,Not Available,4094910001,0,102.6,2021-05-28T17:11:59.000,Not Available,Not Available,Not Available,Not Available,0.0,57,Not Available,Not Available,Not Available,Not Available,545.2,50.8,53.5,Not Available,No,804399.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.690812,10595726.4,Not Available,Not Available,10303870.2,Not Available,Not Available,Existing,103280.0,Not Available,Not Available,No,Not Available,-73.82166,Not Available
1633555,800 Gates Avenue,3.99999993,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,205200,Not Available,Not Available,Not Available,3016360001,0,90.6,2021-05-28T17:13:34.000,Not Available,Not Available,Not Available,Not Available,147180.0,77,Not Available,Not Available,Not Available,Not Available,307.1,49.6,52.6,Not Available,No,1260183.5,100,147363.6,Not Available,Not Available,Not Available,Not Available,40.68832,18596503.9,Not Available,Not Available,17967951.7,Not Available,147180,Existing,205200.0,Not Available,Not Available,No,Not Available,-73.932275,Not Available
1836532,110 Shafter Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14400,Not Available,Not Available,Not Available,5046300013,0,127.6,2021-05-28T17:11:59.000,Not Available,Not Available,Not Available,Not Available,0.0,89,Not Available,Not Available,Not Available,Not Available,Not Available,38.0,45.6,Not Available,No,192359.3,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.554532,1837723.8,Not Available,Not Available,1532502.3,Not Available,Not Available,Existing,14400.0,Not Available,Not Available,No,Not Available,-74.148018,Not Available
1634273,415 89th Street,42789.00087,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62180,Not Available,Not Available,Not Available,3060650043,0,177,2021-05-28T17:13:48.000,Not Available,Not Available,Not Available,Not Available,0.0,28,Not Available,Not Available,Not Available,Not Available,534.9,107.2,104.5,Not Available,No,699999.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.619931,11002916.5,Not Available,Not Available,11180365.2,Not Available,Not Available,Existing,62180.0,Not Available,Not Available,No,Not Available,-74.028086,Not Available
1634753,28-04 41st Avenue,3364.999848,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12710,Not Available,Not Available,Not Available,4004170016,0,82.6,2021-05-28T17:12:47.000,Not Available,Not Available,Not Available,Not Available,0.0,93,Not Available,Not Available,Not Available,Not Available,52.4,43.2,50.8,Not Available,No,62280.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.751331,1050107.7,Not Available,Not Available,948323.2,Not Available,Not Available,Existing,12710.0,Not Available,Not Available,No,Not Available,-73.937434,Not Available
1261466,200 Liberty Street,2145.990304,03/26/2021 01:14 PM EDT,100% Yes,Not Available,Not Available,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,1412074,Not Available,1485610,100,Not Available,Not Available,1-00016-0120,6,159.2,2021-04-16T13:38:17.000,Not Available,73536,Not Available,Not Available,0.0,75,N+1,Not Available,Not Available,Not Available,8814.6,68.0,70.7,Not Available,Yes,20235305.4,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.711425,236551676,Not Available,Parking,231774067.6,0,Not Available,Existing,1485610.0,31776721.3,Not Available,No,Not Available,-74.015442,Not Available
