grade_06_1,total_consented_students,missing_race_ethnicity_1,american_indian_or_alaska,grade_03,american_indian_or_alaska_1,lep_1
,272,S,,,,S
S,131,,,17,,S
,154,S,S,,S,S
,225,,S,38,S,S
,115,,S,26,S,S
,235,,S,52,S,S
,335,S,S,,S,S
S,275,,S,,S,S
,154,,S,25,S,S
,758,S,S,158,S,S
S,270,,S,,S,S
S,135,S,,,,S
,912,,S,168,S,S
,376,S,S,65,S,S
,36,,S,,S,S
,118,S,,T,,S
,173,S,S,,S,S
,194,S,S,,S,S
,72,,S,S,S,S
,317,,S,57,S,S
S,85,,,,,S
S,185,,T,,S,S
,251,,S,49,S,S
S,229,S,S,,S,S
,68,S,S,,S,S
,153,,S,33,S,S
S,201,,S,,S,S
S,86,S,S,,S,S
,41,S,S,,S,S
S,597,S,S,103,S,S
,441,,T,84,S,S
,34,,,8,,S
S,173,,,,,S
,335,,S,60,S,S
,71,S,S,,S,S
S,139,,S,14,S,S
,115,,S,17,S,S
,123,S,S,,S,S
,260,S,S,61,S,S
,173,,,29,,S
S,192,,S,,S,S
,212,,,T,,S
,283,,S,44,S,S
,191,,6,39,S,S
,349,,S,69,S,S
,89,S,S,,S,S
,171,S,S,,S,S
,455,S,S,97,S,S
,234,S,7,39,S,S
,111,S,S,,S,S
,190,S,S,,S,S
,100,,S,,S,S
,128,S,S,,S,S
S,120,,S,,S,S
,150,S,,31,,S
,192,S,S,,S,S
,121,S,S,,S,S
,303,,S,53,S,S
,174,,S,T,S,S
,299,,,72,,S
S,89,,S,,S,S
S,220,S,,,,S
S,190,,S,,S,S
,54,,S,9,S,S
S,185,,S,12,S,S
,90,,S,,S,S
S,152,S,S,,S,S
,297,,S,53,S,S
,113,S,S,,S,S
S,67,,S,,S,S
,122,S,S,14,S,S
S,249,,S,,S,S
,27,S,S,,S,S
,50,S,S,,S,S
,58,,S,8,S,S
,219,S,S,,S,S
,191,S,S,,S,S
,177,,S,38,S,S
,209,,S,41,S,S
,81,S,S,13,S,S
,155,,,27,,S
,298,S,S,67,S,S
,323,,S,,S,S
,393,,S,84,S,S
,129,,S,27,S,S
S,409,,S,57,S,S
S,91,,S,,S,S
,241,S,S,51,S,S
S,431,,S,,S,S
S,126,,S,,S,S
,197,S,S,37,S,S
S,110,,S,,S,S
S,343,,S,53,S,S
,181,S,S,39,S,S
,64,,S,12,S,S
,268,,S,70,S,S
S,129,,S,,S,S
,97,,S,20,S,S
,140,S,S,,S,S
S,163,S,S,,S,S
,322,,,63,,S
,151,S,S,,S,S
,251,S,S,,S,S
,75,,,18,,S
S,196,,S,,S,S
,152,,S,26,S,S
,54,S,,T,,S
,113,S,S,,S,S
,97,,,,,S
,83,S,S,16,S,S
,170,S,,32,,S
S,136,S,S,,S,S
S,237,,S,18,S,S
S,96,,S,,S,S
,107,,,T,,S
S,69,,S,,S,S
,309,,S,53,S,S
S,73,,S,T,S,S
,215,,S,38,S,S
,428,,,93,,S
,126,S,S,,S,S
,76,,,T,,S
S,200,,S,,S,S
,306,,S,60,S,S
,473,S,S,105,S,S
,333,,S,64,S,S
,287,S,S,54,S,S
,290,S,S,60,S,S
,262,S,S,41,S,S
S,269,S,,,,S
S,254,S,S,22,S,S
,188,S,S,39,S,S
,107,S,S,,S,S
,59,S,S,,S,S
,56,,S,9,S,S
,51,S,S,,S,S
,82,,S,10,S,S
,227,S,S,,S,S
,166,S,S,34,S,S
,370,,S,76,S,S
S,387,S,S,,S,S
,532,S,T,T,S,S
,378,S,S,83,S,S
,283,,S,67,S,S
,1130,S,S,,S,S
,302,S,S,,S,S
S,167,,6,,S,S
,40,,S,,S,S
,69,S,S,,S,S
,92,,S,17,S,S
,197,S,S,41,S,S
,186,,S,T,S,S
,178,,,T,,S
,96,,,T,,S
S,171,S,T,,S,S
,166,,S,22,S,S
S,68,,,,,S
,218,,S,T,S,S
,438,S,S,,S,S
,243,,S,56,S,S
,88,,S,,S,S
,97,,S,17,S,S
S,104,,,,,S
,244,,S,50,S,S
,96,,S,,S,S
,71,,S,,S,S
S,214,S,S,,S,S
,139,,S,T,S,S
,89,S,S,,S,S
,54,S,S,,S,S
,79,,S,,S,S
,148,,,34,,S
,836,S,S,,S,S
,191,,S,38,S,S
,92,,S,,S,S
S,381,S,S,54,S,S
S,387,,S,,S,S
,180,,S,39,S,S
S,380,S,S,53,S,S
,240,,S,,S,S
,9,,S,,S,S
,122,,S,T,S,S
,85,,S,13,S,S
,327,,S,66,S,S
,137,,S,36,S,S
