two_or_more_races_1,grade_07_1,total_consents_withdrawn,grade_11,sth_not_shelter_1,grade_05_1,grade_10_1,grade_01_1
S,,S,71,S,,S,
,S,S,,S,S,,S
S,,S,42,S,,S,
,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,71,S,,S,
S,S,S,,S,,,
,,S,,S,S,,S
S,,S,,S,S,,S
,S,S,,S,,,
,S,S,,S,,,
S,,S,,,S,,S
S,,S,,S,S,,S
S,,S,11,S,,S,
,,S,,S,S,,S
S,,S,33,S,,S,
S,,S,25,S,,S,
,,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,,S,,,
,S,S,,S,,,
S,,S,,S,S,,S
S,S,S,15,S,,S,
S,,S,S,S,,S,
S,,S,,S,S,,S
S,S,S,,S,,,
S,S,S,,S,,,
S,,S,S,S,,S,
S,S,S,,S,S,,S
,,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,,S,,,
S,,S,,S,S,,S
S,,S,S,S,,S,
S,S,S,,S,S,,S
S,,S,,S,S,,S
,,S,29,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,,S,,,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
,,S,S,S,,S,
S,,S,42,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,24,S,,S,
S,S,S,,S,,,
S,S,S,,S,,,
S,,S,,S,S,,S
,,S,17,S,,S,
S,,S,,S,S,,S
,,S,17,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,16,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
,,S,,S,,,S
S,S,S,,S,S,,S
S,,S,13,S,,S,
S,S,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,S,S,,S,
S,S,S,,S,,,
,S,S,,S,S,,S
S,S,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
,,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,,S,,,
,,S,S,S,,S,
S,,S,,,S,,S
S,,S,,S,S,,S
S,,S,,,S,,S
,S,S,,S,S,,S
S,S,S,,S,,,
S,S,S,,S,S,,S
S,S,S,,S,,,
,S,S,,S,,,
,,S,44,S,,S,
S,S,S,,S,,,
S,,S,95,S,,S,
,,S,58,S,,S,
S,,S,,S,S,,S
,,S,,S,S,,S
S,S,S,,S,,,
S,,S,,S,S,,S
S,,S,,,S,,S
S,,S,72,S,,S,
S,,S,,S,S,,S
S,S,S,9,S,,S,
,,S,44,S,,S,
S,,S,,S,S,,S
,,S,,S,S,,S
S,,S,9,S,,S,
S,,S,S,S,,S,
S,S,S,,S,S,,S
,,S,,S,S,,S
S,S,S,,S,S,,S
S,S,S,,S,,,
S,,S,S,S,,S,
S,S,S,,S,S,,
S,,S,T,S,,S,
S,S,S,23,S,,S,
S,,S,,S,S,,S
S,,S,13,S,,S,
S,,S,25,S,,S,
S,,S,13,S,,S,
S,,S,46,S,,S,
S,,S,,S,S,,S
S,S,S,,S,S,,S
S,S,S,,S,,,
S,,S,29,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
,,S,29,S,,S,
S,,S,,S,S,,S
S,S,S,48,S,,S,
S,,S,S,S,,S,
S,S,S,,S,,,
,,S,22,S,,S,
,S,S,,S,,,
S,,S,22,S,,S,
S,S,S,21,S,,S,
S,S,S,,S,,,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
,S,S,,S,,,
S,,S,10,S,,S,
S,S,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,13,S,,S,
,,S,T,S,,S,
S,,S,71,S,,S,
,S,S,13,S,,S,
S,S,S,,S,,,
S,,S,,S,S,,S
,,S,S,S,,S,
S,,S,12,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,92,S,,S,
S,,S,24,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
,,S,8,S,,S,
S,S,S,,S,S,,S
S,S,S,,S,,,
S,,S,27,S,,S,
S,S,S,,S,,,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,18,S,,S,
,,S,35,S,,S,
,,S,S,S,,S,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,S,S,,S,,,
S,,S,32,S,,S,
S,S,S,,S,S,,S
,S,S,,S,S,,S
S,,S,,S,S,,S
S,,S,60,S,,S,
S,,S,97,S,,S,
,,S,,S,,,
S,,S,,S,S,,S
S,,S,,S,S,,S
S,,S,107,S,,S,
S,,S,,S,S,,S
,,S,,S,,,S
S,S,S,12,S,,S,
S,,S,29,S,,S,
S,,S,,,S,,S
,S,S,,S,,,
S,,S,,S,S,,S
S,,S,77,S,,S,
