_fivetran_synced,created_at,name,id-project_id
2021-03-22 14:21:03,2019-09-21 22:25:26,05a821cdf4370ff1dd2fc1d4465fb23e,1140999344898860-2417304153254
2021-03-22 14:21:03,2019-09-21 22:25:04,453486c410b442f5df1143816d2fa52f,1145638605769770-2417304153254
2021-03-22 14:21:04,2019-09-21 22:25:04,453486c410b442f5df1143816d2fa52f,1145638605769770-2693467581098
2021-03-22 14:21:06,2019-09-21 22:25:14,453486c410b442f5df1143816d2fa52f,1140999344898860-2724895544714
2021-03-22 14:21:08,2019-09-21 22:25:21,453486c410b442f5df1143816d2fa52f,1145638605769770-3931050316709
2021-03-22 14:21:11,2019-09-21 22:25:21,453486c410b442f5df1143816d2fa52f,1140999423455392-3944161162427
2021-03-22 14:21:11,2019-09-21 22:25:27,453486c410b442f5df1143816d2fa52f,1140999424217513-4021281497638
2021-03-22 14:21:14,2019-09-21 22:25:31,453486c410b442f5df1143816d2fa52f,1140999307427051-4388687446288
2021-03-22 14:21:14,2019-09-21 22:25:36,98f770b0af18ca763421bac22b4b6805,1140999307646897-4388687446288
2021-03-22 14:21:15,2019-09-21 22:25:35,453486c410b442f5df1143816d2fa52f,1140999307646896-4404698904438
2021-03-22 14:21:16,2019-09-21 22:25:39,453486c410b442f5df1143816d2fa52f,1140999307926262-4428993261541
2021-03-22 14:21:18,2019-09-21 22:26:19,23ce0eb7d180f3dc8391d4af48572d21,1140999428608188-28303577354184
2021-03-22 14:21:18,2019-09-21 22:26:02,453486c410b442f5df1143816d2fa52f,1140999427143974-28303577354184
