block,owner_s__phone__,special_dist_name,professional_cert,efiling_filed,sign_height_roof,job_status_descrp,community___board,fully_permitted,non_profit,zoning_distr_2,zoning_distr_3,zoning_distr_1,approved
1105,2122576600,CL    ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,104,2017-10-11T00:00:00.000,,,,C4-7        ,2017-10-11T00:00:00.000
6731,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,407,,,R4-1        ,,R5B         ,
1171,2124881645,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,107,2017-09-12T00:00:00.000,,,,C4-7        ,2017-09-12T00:00:00.000
1171,2124881645,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,107,2017-09-12T00:00:00.000,,,,C4-7        ,2017-09-12T00:00:00.000
7702,6099242262,SRD   ,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,503,2017-08-30T00:00:00.000,,,,R3X         ,2017-08-30T00:00:00.000
1272,6469653616,MID   ,Y,Y,0,PLAN EXAM - APPROVED                    ,105,,,C5-P        ,,C5-3        ,2017-07-28T00:00:00.000
6284,7182254740,,Y,Y,0,PLAN EXAM - APPROVED                    ,411,,,,,R6B         ,2017-09-15T00:00:00.000
499,2122161796,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,102,2017-08-18T00:00:00.000,,,,M1-5A       ,2017-08-18T00:00:00.000
1166,2128770028,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,107,2017-10-12T00:00:00.000,,,,C4-6A       ,2017-10-12T00:00:00.000
3962,6306238437,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,305,2017-09-14T00:00:00.000,,,,C8-2        ,2017-09-14T00:00:00.000
284,7189377150,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,402,2017-08-02T00:00:00.000,,,,M2-1        ,2017-08-02T00:00:00.000
1020,7183662974,MID   ,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,105,,,,,C6-7T       ,
2400,7185680914,,Y,Y,0,PERMIT ISSUED - ENTIRE JOB/WORK         ,502,2017-10-13T00:00:00.000,,,,C4-1        ,2017-10-13T00:00:00.000
687,6467674598,,Y,Y,0,APPLICATION PROCESSED - ENTIRE          ,104,,,,,M1-5        ,
3865,5163265353,,,Y,0,APPLICATION PROCESSED - ENTIRE          ,405,,,,,R5          ,
