gispropnum,gisobjid,global_id,pip_ratabl,department,commission,eapply,parentid
B443,100004185,{33360BD1-214F-4530-A7B8-BE6DC751C1F4},No,B-05,20100106000000.0,Atkins Gardeners,B-05
M033,100005068,{D00C4E51-80F2-4CA2-8928-93161F8C15A8},Yes,M-03,20100106000000.0,Hamilton Fish Park,M-03
Q512,100042695,{429A04BA-3FC8-42D6-A301-9A41B661AB04},No,Q-12,,,Q-12
Q464,100000421,{1AEAE35B-1374-45AC-8866-7035922C15F1},No,Q-14,20090423000000.0,Brant Point Wildlife Sanctuary,Q-14
B533,100003834,{AD2ED4D0-A6E0-4F5E-ABBE-A732A0935378},No,B-16,20100106000000.0,Abib Newborn Garden,B-16
M406,100036981,{7338ADD9-84F0-426C-A952-EA4AD20A0B7C},,M-10,,,M-10
R088,100004808,{F92F99BD-A37C-4B40-89DD-0989C91D6F7C},No,R-02,,High Rock Park,R-02
R132,100004989,{CE57A32B-7860-4EA4-8505-5CAD00DEA7AC},No,R-03,20100106000000.0,Bunker Ponds Park,R-03
B431,100005143,{B27DA744-13D8-4E86-B199-F97F8D2A484A},No,B-02,20100106000000.0,Brooklyn Bridge Park (THIS IS HANDLED DIRECTLY BY BROOKLYN BRIDGE PARK),B-02
X296,100005098,{F8075B8C-CBF6-4787-8286-015F5D19C353},No,X-04,20100106000000.0,Taqwa Community Farm,X-04
B278,100007077,{C44EEDAC-2650-420C-938D-7CA6564F6688},Yes,B-05,20110712000000.0,Sam Leggio Triangle,B-05
X064,100003725,{D29B3FF6-7056-49CF-A2D6-F4C1B74A33CC},Yes,X-02,20100106000000.0,Bryant Triangle,X-02
B385,100003886,{BF0FA841-10C0-4707-B313-9A3930A9A6EE},Yes,B-01,20100106000000.0,WNYC Transmitter Park,B-01
Q066H,100000149,{4CFA9421-3D04-46C8-A0BE-9C8080CDD298},Yes,Q-01,20090423000000.0,Chappetto Square,Q-01
Q340,100000087,{AECF1315-55D2-4882-A227-DD20B3B95DAC},Yes,Q-02,20090423000000.0,Torsney Playground,Q-02
B223R,100004394,{A2C79C14-76FA-4457-A54E-C505B7FB6076},Yes,B-01,20100106000000.0,Jaime Campiz Playground,B-01
X096,100005204,{5704558E-8032-48AC-8004-73DBDF775568},Yes,X-13,20100106000000.0,Rita Ley Triangle,X-12
Q100A,100000158,{4A48662F-0062-42F0-A485-3F0BE8B11A8A},Yes,Q-07,20090423000000.0,Daniel Carter Beard Mall,Q-07
M130,100003730,{26B901CA-AE06-4CFE-B1C8-F6C58567E5BB},No,M-06,20100106000000.0,Recreation Center 54,M-06
X154,100004886,{36C1A3DB-2755-46E6-A13C-2642A1EC8FD0},Yes,X-01,20100106000000.0,Melrose Playground,X-01
