property_id,property_name,address_1,percent_of_recs_retained,weather_normalized_site,propane_use_kbtu,electricity_use_grid_purchase,last_modified_date_water,municipally_supplied_potable_1,hospital_general_medical,retail_store_walk_in,weather_normalized_site_energy,national_median_source_eui,fuel_oil_4_use_kbtu,year_built,movie_theater_gross_floor,alert_property_has_no_uses,data_center_it_energy,hotel_worker_density_number,restaurant_worker_density,hospital_general_medical_2,difference_from_national,hospital_general_medical_3,metered_areas_energy,water_use_all_water_sources,weather_normalized_site_1,self_storage_facility_gross,council_district,nyc_building_identification,manufacturing_industrial,avoided_emissions_onsite,green_power_offsite_kwh,data_center_pue,weather_normalized_source_1,financial_office_gross_floor,restaurant_weekly_operating,other_computer_density_number,data_center_ups_output_meter,senior_care_community_living,parent_property_id,estimated_data_flag_fuel_2,hospital_general_medical_7,mailing_center_post_office,hospital_general_medical_11,property_gfa_calculated_2,multifamily_housing_number_2,data_center_it_equipment
1457889,330 Madison Avenue,330 Madison Avenue,Not Available,18.2,Not Available,50523406.2,04/24/2019 08:35 PM EDT,Not Available,Not Available,0,67184916,263.6,Not Available,1963,Not Available,Ok,Uninterruptible Power Supply (UPS) supports only IT Equipment (preferred),Not Available,Not Available,Not Available,-24.3,Not Available,Whole Building,11166,Not Available,Not Available,4.0,1035348,Not Available,Not Available,0,Not Available,161028118.6,Not Available,Not Available,Not Available,276063,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0
1633628,Q040-0400037,109-20 Union Hall Street,Not Available,5.2,Not Available,2257379.2,Not Available,Not Available,Not Available,Not Available,9768746,107.0,Not Available,1931,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,5.3,Not Available,Whole Building,Not Available,0.5,Not Available,28.0,4263341,Not Available,Not Available,0,Not Available,14163983.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633738,X368-0201322,2975 Tibbett Avenue,Not Available,11.4,Not Available,6662954,Not Available,Not Available,Not Available,Not Available,13645608,153.7,Not Available,1971,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,5.3,Not Available,Whole Building,Not Available,0.4,Not Available,11.0,2112838,Not Available,Not Available,0,Not Available,25331364,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633974,K131-0300138,4305 Fort Hamilton Parkway,Not Available,4.7,Not Available,1639124.9,Not Available,Not Available,Not Available,Not Available,7862542.3,126.7,5928797.4,1901,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-18.7,Not Available,Whole Building,Not Available,0,Not Available,39.0,3136085,Not Available,Not Available,0,Not Available,10877462.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633496,M833-0101333,100 Trinity Place,Not Available,11.4,Not Available,4461531.2,Not Available,Not Available,Not Available,Not Available,15750935.6,125.4,Not Available,1958,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,80.5,Not Available,Whole Building,Not Available,0,Not Available,1.0,1001037,Not Available,Not Available,0,Not Available,26066757.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633498,M089-0101413,201 Warren Street,Not Available,10.4,Not Available,4080751.7,Not Available,Not Available,Not Available,Not Available,Not Available,130.3,Not Available,1997,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,10.1,Not Available,Whole Building,Not Available,0.4,Not Available,1.0,1085459,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633856,Q499-0401536,148-20 Reeves Avenue,Not Available,10.4,Not Available,5022463.7,Not Available,Not Available,Not Available,Not Available,9649719.6,124.2,Not Available,1991,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,11.9,Not Available,Whole Building,Not Available,0.3,Not Available,24.0,4467571,Not Available,Not Available,0,Not Available,18634556,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633016,X125-0200168,1111 Pugsley Avenue,Not Available,3.1,Not Available,1879329.6,Not Available,Not Available,Not Available,Not Available,10163522.3,116.3,7921960.5,1951,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-34.5,Not Available,Whole Building,Not Available,0,Not Available,18.0,2025717,Not Available,Not Available,0,Not Available,13632357.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1634606,M070-0100079,333 West 17th Street,100,3.5,Not Available,2129088,Not Available,Not Available,Not Available,Not Available,10603539.7,122.0,8064748.1,1966,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-33.4,Not Available,Whole Building,Not Available,0,Not Available,3.0,1079152,Not Available,63.6,0,Not Available,14518921.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1633223,X132-0200175,1245 Washington Avenue,Not Available,3.9,Not Available,1579346.5,Not Available,Not Available,Not Available,Not Available,8501076.8,106.8,6746090.8,1961,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,-10.2,Not Available,Whole Building,Not Available,0,Not Available,16.0,2001619,Not Available,Not Available,0,Not Available,11415469.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
