bin,geometry,citycouncil,boroughcode
5021099.0,POINT(-74.13102204411233 40.60128403498094),49.0,Staten Island
5055492.0,POINT(-74.11330582291524 40.56113240299107),50.0,Staten Island
,POINT(-73.8597984565339 40.877462155538886),12.0,Bronx
5109676.0,POINT(-74.11562751874507 40.562545622841796),50.0,Staten Island
5146219.0,POINT(-74.19959361238105 40.52773017445136),51.0,Staten Island
5033920.0,POINT(-74.13387034324204 40.598860458231755),50.0,Staten Island
4293481.0,POINT(-73.84951207365086 40.6543790196147),32.0,Queens
5055480.0,POINT(-74.11412222024394 40.561493974753674),50.0,Staten Island
5055411.0,POINT(-74.11525904675699 40.56151704421786),50.0,Staten Island
4155141.0,POINT(-73.7792804673344 40.73186615419869),23.0,Queens
5056429.0,POINT(-74.11121105102922 40.55921612180123),50.0,Staten Island
5055471.0,POINT(-74.11364396072682 40.56041697683005),50.0,Staten Island
5108840.0,POINT(-74.07737610190178 40.62435055876708),49.0,Staten Island
5053757.0,POINT(-74.08910665456217 40.58224373973968),50.0,Staten Island
5113450.0,POINT(-74.11738366190983 40.56252990017468),50.0,Staten Island
5013908.0,POINT(-74.07730413396833 40.623602652571186),49.0,Staten Island
5109698.0,POINT(-74.11621350055815 40.563660955901476),50.0,Staten Island
5015231.0,POINT(-74.09279130749073 40.621846193103714),49.0,Staten Island
4616756.0,POINT(-73.7805349993451 40.784313104774775),19.0,Queens
5013941.0,POINT(-74.07837380056175 40.62407653943668),49.0,Staten Island
4063714.0,POINT(-73.88984767680486 40.72287223776529),30.0,Queens
5052936.0,POINT(-74.09007158123723 40.582865452122995),50.0,Staten Island
5109700.0,POINT(-74.11647195913373 40.56343176959949),50.0,Staten Island
3154345.0,POINT(-74.02354099907215 40.61842771396618),43.0,Brooklyn
5015227.0,POINT(-74.09222328356509 40.62296826624403),49.0,Staten Island
4165995.0,POINT(-73.73656089256534 40.73694285000424),23.0,Queens
5019599.0,POINT(-74.13088024029413 40.60672684318438),49.0,Staten Island
5109648.0,POINT(-74.11633848286635 40.561997250264916),50.0,Staten Island
4311383.0,POINT(-73.9043721242937 40.74435840812778),26.0,Queens
5013935.0,POINT(-74.07883520391414 40.624033313147685),49.0,Staten Island
5056396.0,POINT(-74.11103422602064 40.55995928315075),50.0,Staten Island
