refno,int_c_code,adjtypecd,c_code,empname-db_entity_start
R0071838,,,IND,"God's Battalion of Prayer-10/1/2014""  ""12\:00\:00 AM"
R0090178,,2.0,IND,nan-nan
R0085905,,,IND,"National Black Leadership Comm-8/31/2012""  ""12\:00\:00 AM"
R0002326,,2.0,IND,nan-nan
R0086423,,,IND,"Lakhani& Jordan Engineers-5/1/2009""  ""12\:00\:00 AM"
R0048417,,,IND,"The DOE Fund, Inc.-12/18/2015""  ""12\:00\:00 AM"
R0088789,,,IND,"Velez Organization-12/1/2015""  ""12\:00\:00 AM"
R0057753,,2.0,IND,nan-nan
R0048014,IND,,IND,"Con Edision-10/1/2015""  ""12\:00\:00 AM"
R0044120,,2.0,IND,nan-nan
R0086009,,,IND,"The D & F Development Group-1/29/2011""  ""12\:00\:00 AM"
R0086305,,,IND,"Chairman-1/29/2015""  ""12\:00\:00 AM"
R0068617,,,IND,"FPWA-8/31/2010""  ""12\:00\:00 AM"
R0007453,,,IND,"Coastal Supply Group-5/31/2014""  ""12\:00\:00 AM"
R0044724,,,IND,"Borah Goldstein P.C.-5/1/2015""  ""12\:00\:00 AM"
R0073805,,,IND,"Madelaine chocolate-7/31/2008""  ""12\:00\:00 AM"
R0020112,,,IND,"SELF-10/31/2009""  ""12\:00\:00 AM"
R0002624,,,IND,"Pride Capital Partners-8/1/2013""  ""12\:00\:00 AM"
R0007363,,,IND,"Student-1/30/2016""  ""12\:00\:00 AM"
R0003975,IND,,IND,"Jaros Baum & Bolles-10/1/2015""  ""12\:00\:00 AM"
R0007044,,,IND,"Walter & Samuels Inc.-3/6/2009""  ""12\:00\:00 AM"
R0000214,,,IND,"Xaverian High School-5/31/2016""  ""12\:00\:00 AM"
R0003705,,,IND,"nan-1/30/2012""  ""12\:00\:00 AM"
R0080936,,,IND,"NYC-12/1/2011""  ""12\:00\:00 AM"
R0002328,,2.0,IND,nan-nan
R0005068,IND,,IND,"Lilker Associates-5/7/2012""  ""12\:00\:00 AM"
R0071947,,,IND,"Apollo Theater Foundation-12/16/2015""  ""12\:00\:00 AM"
