printedschoolname,selectioncriteria3_prog1,weekendprogram,geseats_prog4,schoolday,electiveclasses,activities,selectioncriteria1_prog3
M.S.898,,Yes,.,8:20am-2:38pm,"Music, Visual Art","Student Ambassadors, Student Government, Chess Club, Robotics, Dance, Science Club, Math Club. More to be offered based on community input.",.
J.H.S. 190 Russell Sage,,No,.,8:10am-2:30pm,"Art, Chorus, Dance, Drama, English as a New Language After-School Support, Portfolio Development, Specialized High School Test Preparation, Vocal",Computer Club; Computers; Debate Team; Geometry Prep; Honors Program; Math Team; NJHS; Science Olympia; SHSAT Prep; Student Council; Yearbook Club,
MS 593,,No,,8:20am-2:40pm,"Eighth Grade Science Assessments, Specialized High School Preparation Classes in seventh and eight grades, Visual Art, Dance, STEM, Regents prep in Earth Science, Algebra Advisory","LEAP Program, Dance, Visual and Performing Arts, Step, Leadership, Fitness, Chess Club. The after school academic programs include Homework assistance, Math and ELA remediation.",
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",,No,.,8:10am-2:30pm,"Art, Drama, Library, Music, Foreign Language, Technology",Academic Field Trips; Dance; National Junior Honor Society; Robotics; Theater,
Wadleigh Secondary School for the Performing & Visual Arts,Final 4th Grade Report Card,Yes–Saturday program for academic support and enrichment.,.,8am-3:36pm,"Culinary Arts (Cooking and Baking), Foreign Language, Performing Arts (Vocal Music, Instrumental Music, Drama, Dance), Regents Common Core Algebra (high school level course), Regents Living Environment (high school level course), Technology, Visual Arts (Painting, Drawing, Sketching, Photography, Ceramics)","21st Century Leadership; Advisory; Band & Percussion; Basketball; Chess Club; College For Every Student (CFES); Community Service Learning; Culinary Arts; Dance Workshop; Extended Learning Time; Fun STEM (Science, Technology, Engineering, and Math) Club; Glee Club; Musical Theater; Peer Mentoring; Pep Rally; Robotics Club; Student Government; Track and Field",
West Bronx Academy for the Future,,Yes,,8:15am-3:05pm,"Art, Music, Technology, Drama",Arts; Cheerleading; Dance; Drama; Girls Talk; Project-Based Learning; Technology Program: Mobile Computer Labs; Voices and Choices; Writing Matters,
School of Authors (P.S./M.S. 108 ),,No,.,8:10am-2:30pm,"Crew (Advisory), Health, Music, Technology (iPad for every student), Physical Education, Technology, Visual Art",Art; Band; Book Clubs; Boys Basketball; Chorus; Community Service; Cooking; Double Dutch; Flag Football; GOAL Program; Girls Basketball; Music; Robotics; Soccer; Step Team; Student Government; Technology/Movie Making; Thurgood Marshall Mock Trial Program; Urban Advantage; Digital Storytelling; Young Runners’ Club,
M.S. 224 Manhattan East School for Arts & Academics,Attendance,No,.,8am-2:20pm,"Chorus, Concert Band, Dance, Drama, Jazz Ensemble, Rooftop Gardening with the NY Horticultural Society, Studio Art, Tennis Instruction at John McEnroe's Tennis Center on Randall's Island, Yearbook","Flag Football, Soccer, and Basketball through Asphalt Green; Global Kids After-School Program; Nature’s Classroom; Queens College Honor Band; Rooftop Gardening with the NY Horticultural Society",
Richard S. Grossley (J.H.S. 8),,Yes–Saturday program for academic support and enrichment.,.,8am-3:20pm,"Foreign Language Studies (Korean & Spanish), New-Leroy Comrie Science Lab (science enrichment), New Prep Scholars, Specialized High Schools Prep Course, Talents & Arts (Art, Band)","Achieve 3000; ARISTA/NJHS; Band; Chorus; Dance; Drumline; English as a New Language After-School/Saturday Programs; Field Trips: High Schools, Colleges, Washington, DC; Flocabulary; Girls Empowered and Motivated for Success; Junior Deans Program; Program Partners: UFT, Teacher Center, Sports & Arts in Schools Foundation; Project BOOST; Student Government; Substance Abuse Prevention and Intervention; Young Men’s Initiative",
Urban Assembly Academy for Future Leaders,,Yes—Saturday program for academic support and enrichment.,.,8:20am-2:40pm,"College 101, Computer Coding, Foreign Language Lab, Global Scholarship, LEGO Robotics, Media and Technology Studies, Regents Algebra, STEAM Education Electives, Wood Shop, Visual Arts",Advisory; Cartooning and Fashion Design; Chess; Dance; Drama; Engineering and Business; Fine Arts: Sketching; Music Theory; Performing Arts; Photography; Production; Robotics; Sculpting; Step; Video Game Animation,
East Side Middle School,,No,.,9am-3:20pm,"For electives students can chose among a wide variety of academic, arts, cultural, and athletic eight-week courses. Sixth grade advisory includes: Anti-Bullying, Cursive, Diversity Education, Resiliency Education, Time Management, Intensive classes in the seventh and eighth grade include: Anti-Bullying, Art History, Ballroom Dancing, Financial Literacy, Literature, Math/Math Technology, Resiliency, and Sex Ed","Students may work with a teacher to develop and teach their own elective or extracurricular activity. Some classes that have been offered in the past are knitting, computer game design, Braille, American Sign language, film-making, whiffle ball, cooking, fashion design, the history of comic film, and Zumba.",
Columbia Secondary School,Final 4th Grade Report Card,No,.,8am-2:30pm,"Art, Engineering, Latin, Philosophy, Physical Education, Spanish","Biking; Board Games Club; Creative Writing; Extended Day Program (Academic, Arts, and Sports Electives); Fashion Design; Field Trips; Knitting; Music Band; Neuroscience; Newspaper; Robotics; Student Government; Theater Performances; Tinker’s Workshop; Visual Arts",
J.H.S. 194 William Carr,,Yes,.,8:05am-2:25pm,"Concert Band, Chorus, Dance, Film and Media, Fine Art, Photography (Seventh and Eighth Grade), Public Speaking/Debate (Sixth Grade), Theater",Boys and Girls Basketball; Chess Club Friends of Rachel; Citizen Science Club; Culture Club; Dance Team; Film Club; Jazz Band; LEGO Robotics; Math Team; Peer Tutoring; Ukulele Club; Volleyball; Yearbook Club,
The Bronx School of Young Leaders,,Yes–Saturday program for academic support and enrichment,,8am-2:20pm,"Art, Dance, Digital Literacy, Gym, Health, Spanish as a Foreign Language, In eighth grade we will offer Regents Science","Computer; Dance; Extensive After-School and Saturday Sports, Tutoring, and Arts Classes; Four Super Scholar trips Per Year Including: Snow Tubing, Horseback Riding, Six Flags (special trips for students who score an 85% or higher in four classes, pass all of their classes with at least 70%, and have read the required amount of independent books); Mentoring in Medicine; Mock Trial; Perfect Attendance Classes; Sign Language; Spelling Bee; Thanksgiving Turkey Bowl; Winter Talent Show",
Professional Performing Arts School,Audition,No,.,8:15am-2:46pm,"Creative Writing, English and Math Enhancement, Independent Reading, Social Psychology, Spanish beginning in grade seven","Free After-School Program in partnership with Manhattan Youth, including classes in STEM, Visual Arts, Physical Activity, and Sports.",
Baychester Middle School,,Yes,,8:15am-2:35pm,"Accelerated: Algebra I, Living Environment, US History, Elective: Dance, Film Studies, Foreign Language, Theater","After-School Clubs: Blogging, Breakdancing, Chess, Cooking, Regents Prep, Student Council, Theater, Web Design; School Trips to: Boston, MA, Broadway, Mini-Golf, Museums, Rock Climbing, Sporting Events, Washington DC",
