school_name,website,number_programs,category,count,avg_value,total_value,max_value
Beacon High School,www.beaconschool.org,1,large,1,1276.0,1276.0,1276.0
Frederick Douglass Academy VII High School,http://schools.nyc.gov/schoolportals/23/K514,1,small,1,328.0,328.0,328.0
High School for Violin and Dance,www.hsvd.org,1,small,1,378.0,378.0,378.0
PROGRESS High School for Professional Careers,www.progresshighschool.org,4,large,1,1083.0,1083.0,1083.0
Bronx Leadership Academy II High School,www.BronxleadershipAcademy2.org,1,medium,1,515.0,515.0,515.0
Richard R. Green High School of Teaching,http://schools.nyc.gov/schoolportals/02/M580,2,medium,1,593.0,593.0,593.0
Mott Haven Village Preparatory High School,http://schools.nyc.gov/schoolportals/07/X473,1,small,1,344.0,344.0,344.0
Bronx Envision Academy,www.BronxEnvision.org,1,small,1,239.0,239.0,239.0
Francis Lewis High School,www.francislewishs.org,5,large,1,4058.0,4058.0,4058.0
Validus Preparatory Academy: An Expeditionary Learning School,www.validusprep.org,1,small,1,374.0,374.0,374.0
Martin Van Buren High School,www.mvbhigh.com,5,large,1,2096.0,2096.0,2096.0
Brooklyn Lab School,www.brooklynlabschool.org,1,small,1,364.0,364.0,364.0
Thurgood Marshall Academy for Learning and Social Change,http://schools.nyc.gov/schoolportals/05/M670,1,medium,1,572.0,572.0,572.0
Herbert H. Lehman High School.,www.LehmanHS.com,3,large,1,2059.0,2059.0,2059.0
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,www.laguardiahs.org,6,large,1,2730.0,2730.0,2730.0
Brooklyn Preparatory High School,www.brooklynprephs.org,1,small,1,489.0,489.0,489.0
Pelham Lab High School,http://schools.nyc.gov/schoolportals/08/X320,1,small,1,95.0,95.0,95.0
Institute for Health Professions at Cambria Heights,www.ihpch.org,1,small,1,82.0,82.0,82.0
"Science, Technology and Research Early College High School at Erasmus",www.starec.org,1,medium,1,532.0,532.0,532.0
