dbn,programname,programtype,address,phonenumber,t5_address,extendedhoursallschools,rank,dense_rank
20KBJO,"Yeled V'Yalda ECC, Inc.",Half Day Programs,600 Mcdonald Avenue,718-514-8980,600 Mcdonald Avenue,Contact Program,1,1
20KBIS,"Yeled V'Yalda ECC, Inc.",Half Day Programs,600 Mcdonald Avenue,718-514-8980,600 Mcdonald Avenue,Contact Program,1,1
09XAOK,Seventh Avenue Center for Family Services,NYCEEC,1646 Montgomery Avenue,718-901-0140,1646 Montgomery Avenue,,1,1
08XAGF,Manida (Center #1),NYCEEC,711 Manida Street,718-542-7590,711 Manida Street,,1,1
03MAZI,Cathedral Parkway Towers Preschool,NYCEEC,125 West 109 Street,212-749-0291,125 West 109 Street,PM,1,2
06MATP,LSSMNY: Early LIFE Childrens Center 14,NYCEEC,510-16 West 145 Street,646-449-0814,510-16 West 145 Street,AM/PM,1,2
06MAXS,Washington Heights DCC,NYCEEC,610-614 West 175 Street,212-781-6910,610-614 West 175 Street,PM,1,2
21KABE,Bais Yaakov D'Chassidei Gur,NYCEEC,1975 51 Street,718-338-5600,1975 51 Street,Contact Program,1,2
20KAJD,St. Anselm Catholic Academy,NYCEEC,365 83 Street,718-745-7643,365 83 Street,AM/PM,1,2
20KBAI,Guild for Exceptional Children,NYCEEC,1273 57 Street,718-435-2554,1273 57 Street,AM/PM,1,2
14KBKF,Williamsburg CCC,NYCEEC,110 Taylor Street,347-943-7682,110 Taylor Street,Contact Program,1,2
04MASX,Pequenos Souls Day Care Center,NYCEEC,114 East 122 Street,212-427-7644,114 East 122 Street,Contact Program,1,2
02MANH,Imagine Early Learning Center at East 97th Street,NYCEEC,60-62 East 97 Street,212-410-2077,60-62 East 97 Street,AM/PM,1,2
11XAPX,Williamsbridge NAACP Early Childhood Education Center,NYCEEC,670 East 219 Street,718-798-1262,670 East 219 Street,PM,1,2
11XAEW,The Learning Tree,NYCEEC,801 Bartholdi Street,718-944-0958,801 Bartholdi Street,Contact Program,1,2
11XAWG,"All Seasons Day Care, LLC",NYCEEC,1701 Nereid Avenue,718-324-8300,1701 Nereid Avenue,AM/PM,1,2
16KBKK,Friends of Crown Heights 29,NYCEEC,1435 Prospect Place,718-778-1498,1435 Prospect Place,PM,1,2
10XAPN,1199 Future of America Learning Center,NYCEEC,2500 Creston Avenue,718-562-2915,2500 Creston Avenue,,1,2
10XALT,Riverdale Nursery School And Family Center,NYCEEC,3816 Waldo Avenue,718-884-3950,3816 Waldo Avenue,AM/PM,1,2
08XAKR,Prospect Early Childhood Center,NYCEEC,730 Kelly Street,718-617-6100,730 Kelly Street,PM,1,2
08XAEO,Saint Theresa,NYCEEC,2872 Saint Theresa Avenue,718-792-3688,2872 Saint Theresa Avenue,AM/PM,1,2
19KBVE,Urban Strategies 3,NYCEEC,1152 Elton Street,718-348-9349,1152 Elton Street,,1,2
19KBPG,HELP I,NYCEEC,515 Blake Avenue,718-498-4002,515 Blake Avenue,AM/PM,1,2
19KCLM,Trey Whitfield School,NYCEEC,17 Hinsdale Street,718-342-7722,17 Hinsdale Street,AM/PM,1,2
20Z073,District 20 Pre-K Center at 7415 Fort Hamilton Parkway,Pre-K Center,7415 Fort Hamilton Parkway,718-567-4220,7415 Fort Hamilton Parkway,,1,1
07Z028,Learning Through Play Pre-K Center at 105 Willis Avenue,Pre-K Center,105 Willis Avenue,718-401-0510,105 Willis Avenue,,1,1
