violation_location_borough,compliance_status,total,average,count
QUEENS,All Terms Met,5000.0,2500.0,2
BROOKLYN,Penalty Due,0.0,0.0,24
BRONX,Penalty Due,0.0,0.0,2
QUEENS,Penalty Due,0.0,0.0,8
