managing_city_agency,material,total,count,average
Department of Parks and Recreation,Stone,116175.0,60,1936.25
Department of Parks and Recreation,Bronze,62283.0,32,1946.34375
Department of Parks and Recreation,Marble,38725.0,20,1936.25
Department of Parks and Recreation,"Bronze, cast stone",38725.0,20,1936.25
Department of Parks and Recreation,"Bronze, granite",22702.0,12,1891.8333333333333
Department of Parks and Recreation,Granite,19539.0,10,1953.9
Department of Transportation,Bronze,12075.0,6,2012.5
Department of Parks and Recreation,"Iron, bronze, granite",9630.0,5,1926.0
Department of Design and Construction,Bronze,6042.0,3,2014.0
Queens Borough Public Library,Bronze,6021.0,3,2007.0
New York City Economic Development Corporation,Bronze,5982.0,3,1994.0
Department of Transportation,"Steel, stone, concrete, wood, trees, and plants.",4025.0,2,2012.5
Department of Transportation,"Cast iron, welded steel",4025.0,2,2012.5
Department of Transportation,Granite,4025.0,2,2012.5
Department of Transportation,Brick,4025.0,2,2012.5
Department of Transportation,Mixed media,4025.0,2,2012.5
Department of Transportation,"Bronze, marble, granite",4025.0,2,2012.5
Department of Transportation,Cast concrete,4025.0,2,2012.5
Department of Transportation,"LEDS, structural steel, stainless steel, reflectors",4025.0,2,2012.5
Department of Transportation,"Stainless steel, iron",4025.0,2,2012.5
Department of Transportation,Vermilion granite,4025.0,2,2012.5
Department of Transportation,Ceramic tile,4025.0,2,2012.5
Department of Transportation,"Stucco substrate, commercial exterior latex paint",4025.0,2,2012.5
Department of Transportation,"Terra cotta tile, orange grout",4025.0,2,2012.5
Department of Transportation,Bluestone Pavers,4025.0,2,2012.5
Department of Transportation,"Paving, concrete, terrazzo",4025.0,2,2012.5
Department of Transportation,"Stainless steel, tempered glass",4025.0,2,2012.5
Department of Parks and Recreation,Vermilion granite,3986.0,2,1993.0
Department of Parks and Recreation,"LEDS, structural steel, stainless steel, reflectors",3986.0,2,1993.0
Department of Parks and Recreation,Cast concrete,3986.0,2,1993.0
Department of Parks and Recreation,"Bronze, marble, granite",3986.0,2,1993.0
Department of Parks and Recreation,"Stucco substrate, commercial exterior latex paint",3986.0,2,1993.0
Department of Parks and Recreation,Brick,3986.0,2,1993.0
Department of Parks and Recreation,Ceramic tile,3986.0,2,1993.0
Department of Parks and Recreation,"Cast iron, welded steel",3986.0,2,1993.0
Department of Parks and Recreation,Mixed media,3986.0,2,1993.0
Department of Parks and Recreation,"Stainless steel, iron",3986.0,2,1993.0
Department of Parks and Recreation,"Terra cotta tile, orange grout",3986.0,2,1993.0
Department of Parks and Recreation,"Stainless steel, tempered glass",3986.0,2,1993.0
Department of Parks and Recreation,"Paving, concrete, terrazzo",3986.0,2,1993.0
Department of Parks and Recreation,Bluestone Pavers,3986.0,2,1993.0
Department of Parks and Recreation,"Steel, stone, concrete, wood, trees, and plants.",3986.0,2,1993.0
Department of Parks and Recreation,"Granite, bronze",3929.0,2,1964.5
