facgroup,factype,total,average,count
PARKS AND PLAZAS,PLAYGROUND,2968072.809763,989357.6032543333,3
YOUTH SERVICES,SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP) (AGES 14-15),1009466.35533,1009466.35533,1
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",INDOOR PARKING GARAGE,1027074.0422,1027074.0422,1
SCHOOLS (K-12),ELEMENTARY SCHOOL - PUBLIC,1022878.09539,1022878.09539,1
HUMAN SERVICES,NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE EXPANSION,999401.070575,999401.070575,1
DAY CARE AND PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,996177.151165,996177.151165,1
HEALTH CARE,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,1010545.78958,1010545.78958,1
DAY CARE AND PRE-KINDERGARTEN,SCHOOL BASED CHILD CARE - PRESCHOOL,931211.179126,931211.179126,1
TRANSPORTATION,COMMERCIAL GARAGE & PARKING LOT,1992262.82424,996131.41212,2
DAY CARE AND PRE-KINDERGARTEN,DAY CARE,3074911.00198,1024970.3339933334,3
YOUTH SERVICES,CITY COUNCIL AWARDS,2006777.813614,1003388.906807,2
CHILD SERVICES AND WELFARE,SUMMER ONLY FEEDING SITE,5107396.9118800005,1021479.382376,5
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",VEHICLE MAINTENANCE,1009437.09271,1009437.09271,1
HUMAN SERVICES,SOUP KITCHEN,0.0,0.0,10
CHILD SERVICES AND WELFARE,FEEDING SITE,1018414.5727,1018414.5727,1
CULTURAL INSTITUTIONS,"MULTI-DISCIPL, PERF & NON-PERF",988168.217475,988168.217475,1
TRANSPORTATION,RAIL LINE,945255.011588,945255.011588,1
HUMAN SERVICES,SENIOR CENTER,1030996.28004,1030996.28004,1
TRANSPORTATION,SCHOOL BUS DEPOT,1960057.799938,980028.899969,2
SOLID WASTE,TEXTILES,992291.916144,992291.916144,1
"OFFICES, TRAINING, AND TESTING",OFFICE,986784.035099,986784.035099,1
YOUTH SERVICES,SCHOOL'S OUT NEW YORK CITY (SONYC),4969906.885326,993981.3770652,5
HEALTH CARE,820 REHAB AND REINTEGRATION,997783.783439,997783.783439,1
CULTURAL INSTITUTIONS,FILM/VIDEO/AUDIO,997114.855347,997114.855347,1
CULTURAL INSTITUTIONS,THEATER,982777.961974,89343.45108854545,11
JUSTICE AND CORRECTIONS,COURTHOUSE,988279.124764,988279.124764,1
SCHOOLS (K-12),K-8 SCHOOL - CHARTER,1002063.30782,1002063.30782,1
HEALTH CARE,OUTPATIENT MENTAL HEALTH,991620.127887,991620.127887,1
HEALTH CARE,HOSPITAL EXTENSION CLINIC,990116.972199,990116.972199,1
HEALTH CARE,DIAGNOSTIC AND TREATMENT CENTER,977617.655349,977617.655349,1
HEALTH CARE,ADULT DAY HEALTH CARE PROGRAM - OFFSITE,1011726.03699,1011726.03699,1
SCHOOLS (K-12),ELEMENTARY SCHOOL - NON-PUBLIC,1022837.00187,1022837.00187,1
