queens_condominium_property_neighborhood,queens_condominium_property_condo_section,total,count,average
ELMHURST,129-R3,4080186.0,1,4080186.0
BRIARWOOD,215-R1,3288946.0,1,3288946.0
ELMHURST,281-R1,2357640.0,1,2357640.0
FLUSHING-NORTH,42-R1,1829232.0,1,1829232.0
FLUSHING-NORTH,164-R1,1373700.0,1,1373700.0
FLUSHING-NORTH,199-R1,1232500.0,1,1232500.0
REGO PARK,56-R1,928536.0,1,928536.0
HOWARD BEACH,292-R1,759800.0,1,759800.0
FLUSHING-NORTH,49-R2,702000.0,1,702000.0
LONG ISLAND CITY,533-R1,648450.0,1,648450.0
COLLEGE POINT,534-R1,633885.0,1,633885.0
FLUSHING-NORTH,398-R1,324896.0,1,324896.0
CORONA,469-R1,294000.0,1,294000.0
BRIARWOOD,251-R1,285000.0,1,285000.0
WOODSIDE,279-R1,273577.0,1,273577.0
ELMHURST,211-R1,177548.0,1,177548.0
