block,filing_count,longitude,latitude,longitude_1,block_1
1261,2,-73.979704,40.756306,-73.979704,1261
1273,1,-73.974633,40.763255,-73.974633,1273
2110,1,-73.8567,40.732567,-73.8567,2110
3087,1,-73.887656,40.853559,-73.887656,3087
424,1,-73.98843,40.681104,-73.98843,424
1015,1,-73.990245,40.670237,-73.990245,1015
1261,2,-73.980332,40.755774,-73.980332,1261
1142,1,-73.955825,40.67764,-73.955825,1142
15572,1,-73.74585,40.603379,-73.74585,15572
1234,1,-73.97605,40.788817,-73.97605,1234
498,1,-73.997987,40.724013,-73.997987,498
2238,1,-73.94929,40.704171,-73.94929,2238
500,1,-73.999791,40.724491,-73.999791,500
1382,1,-73.966649,40.768937,-73.966649,1382
6705,1,-73.964407,40.627282,-73.964407,6705
3699,1,-74.101284,40.574661,-74.101284,3699
585,1,-74.00551,40.732429,-74.00551,585
829,1,-73.989354,40.744747,-73.989354,829
5309,1,-73.982606,40.644331,-73.982606,5309
5933,1,-73.908539,40.90873,-73.908539,5933
14260,1,-73.766948,40.653478,-73.766948,14260
1892,1,-73.968045,40.802454,-73.968045,1892
5469,1,-73.817241,40.833576,-73.817241,5469
961,1,-73.982923,40.675166,-73.982923,961
646,1,-74.007975,40.741827,-74.007975,646
5111,1,-73.951048,40.648083,-73.951048,5111
1786,1,-73.944804,40.690637,-73.944804,1786
778,1,-73.993302,40.747333,-73.993302,778
1720,1,-73.948449,40.699963,-73.948449,1720
1549,1,-73.878281,40.737942,-73.878281,1549
867,1,-73.979858,40.749137,-73.979858,867
1068,1,-74.132743,40.640342,-74.132743,1068
4355,1,-73.883508,40.660605,-73.883508,4355
2411,1,-73.954656,40.710618,-73.954656,2411
632,2,-74.007152,40.734375,-74.007152,632
3357,2,-73.919081,40.688967,-73.919081,3357
85,1,-73.94526,40.745242,-73.94526,85
3641,1,-73.862976,40.821409,-73.862976,3641
11086,1,-73.746443,40.712648,-73.746443,11086
3611,1,-73.898806,40.709562,-73.898806,3611
9756,1,-73.799838,40.703492,-73.799838,9756
684,1,-74.003781,40.655754,-74.003781,684
2449,1,-73.916024,40.831785,-73.916024,2449
1390,1,-73.932864,40.669831,-73.932864,1390
1249,1,-73.978018,40.789844,-73.978018,1249
1290,1,-73.975295,40.761131,-73.975295,1290
1014,1,-73.988648,40.75676,-73.988648,1014
2582,1,-73.905272,40.81244,-73.905272,2582
1089,1,-73.998477,40.760884,-73.998477,1089
1211,1,-73.976908,40.783454,-73.976908,1211
