work_permit,work_permit_1,job_filing_number,job_filing_number_1,work_type,filing_reason,total_estimated_job_costs,permit_status
M01248246-I1-EW-SP,M01248246-I1-EW-SP,M01248246-I1,M01248246-I1,Sprinklers,Initial Permit,20000.0,Signed-off
Q00546535-I1-SH,Q00546535-I1-SH,Q00546535-I1,Q00546535-I1,Sidewalk Shed,Renewal Permit Without Changes,61600.0,Signed-off
X00868217-I1-SF,X00868217-I1-SF,X00868217-I1,X00868217-I1,Supported Scaffold,Initial Permit,30000.0,Signed-off
M01280587-I1-PL,M01280587-I1-PL,M01280587-I1,M01280587-I1,Plumbing,Initial Permit,34000.0,Permit Issued
S01239048-I1-GC-CX,S01239048-I1-GC-CX,S01239048-I1,S01239048-I1,Foundation,Initial Permit,0.0,Permit Issued
M01160464-I1-GC,M01160464-I1-GC,M01160464-I1,M01160464-I1,General Construction,Renewal Permit Without Changes,700000.0,Signed-off
S01275316-I1-SL,S01275316-I1-SL,S01275316-I1,S01275316-I1,Solar,Initial Permit,52650.0,Signed-off
B01204250-I1-GC,B01204250-I1-GC,B01204250-I1,B01204250-I1,General Construction,Initial Permit,75335.0,Signed-off
M01287862-I1-SC,M01287862-I1-SC,M01287862-I1,M01287862-I1,Suspended Scaffold,Initial Permit,0.0,Permit Issued
B01048332-S2-PL,B01048332-S2-PL,B01048332-S2,B01048332-S2,Plumbing,Renewal Permit Without Changes,13500.0,Signed-off
X00927718-I1-GC,X00927718-I1-GC,X00927718-I1,X00927718-I1,General Construction,Initial Permit,0.0,Permit Issued
X00795971-S3-ST,X00795971-S3-ST,X00795971-S3,X00795971-S3,Structural,Renewal Permit Without Changes,2000.0,Signed-off
X00868217-I1-SF,X00868217-I1-SF,X00868217-I1,X00868217-I1,Supported Scaffold,Renewal Permit Without Changes,60000.0,Signed-off
B01109630-I1-SF,B01109630-I1-SF,B01109630-I1,B01109630-I1,Sidewalk Shed,Initial Permit,40000.0,Signed-off
M00607019-I1-FN,M00607019-I1-FN,M00607019-I1,M00607019-I1,Construction Fence,Renewal Permit Without Changes,5000.0,Permit Issued
M01216287-S1-MS,M01216287-S1-MS,M01216287-S1,M01216287-S1,Mechanical Systems,Initial Permit,329000.0,Permit Issued
X01201226-S7-SE,X01201226-S7-SE,X01201226-S7,X01201226-S7,Support of Excavation,Initial Permit,0.0,Signed-off
S00490341-I1-FN,S00490341-I1-FN,S00490341-I1,S00490341-I1,Construction Fence,Initial Permit,8000.0,Signed-off
M00657367-I1-PL,M00657367-I1-PL,M00657367-I1,M00657367-I1,Plumbing,Renewal Permit Without Changes,37470.0,Signed-off
M01201556-I1-GC,M01201556-I1-GC,M01201556-I1,M01201556-I1,General Construction,Initial Permit,73000.0,Signed-off
B01239721-I1-FN,B01239721-I1-FN,B01239721-I1,B01239721-I1,Construction Fence,Initial Permit,160.0,Permit Issued
Q01168295-I1-SL,Q01168295-I1-SL,Q01168295-I1,Q01168295-I1,Solar,Initial Permit,59043.0,Signed-off
M01157659-S2-MS,M01157659-S2-MS,M01157659-S2,M01157659-S2,Mechanical Systems,Initial Permit,2000.0,Permit Issued
X01004429-S1-ST,X01004429-S1-ST,X01004429-S1,X01004429-S1,Structural,Initial Permit,1000.0,Signed-off
M00657367-I1-PL,M00657367-I1-PL,M00657367-I1,M00657367-I1,Plumbing,Initial Permit,37470.0,Signed-off
B01145087-I1-SH,B01145087-I1-SH,B01145087-I1,B01145087-I1,Sidewalk Shed,Initial Permit,7000.0,Signed-off
S01134832-I1-GC,S01134832-I1-GC,S01134832-I1,S01134832-I1,General Construction,Initial Permit,4440.0,Signed-off
B00629993-S8-MS,B00629993-S8-MS,B00629993-S8,B00629993-S8,Mechanical Systems,Renewal Permit Without Changes,1000.0,Signed-off
B00485579-I1-GC-CX,B00485579-I1-GC-CX,B00485579-I1,B00485579-I1,General Construction,Renewal Permit Without Changes,18900000.0,Permit Issued
S01239048-I1-GC-CX,S01239048-I1-GC-CX,S01239048-I1,S01239048-I1,General Construction,Initial Permit,0.0,Permit Issued
M01113791-I1-SC,M01113791-I1-SC,M01113791-I1,M01113791-I1,Suspended Scaffold,Renewal Permit Without Changes,0.0,Permit Issued
S01239048-I1-GC-CX,S01239048-I1-GC-CX,S01239048-I1,S01239048-I1,Structural,Initial Permit,0.0,Permit Issued
M01218691-S2-PL,M01218691-S2-PL,M01218691-S2,M01218691-S2,Plumbing,Initial Permit,42715.0,Permit Issued
M08019018-I1-SF,M08019018-I1-SF,M08019018-I1,M08019018-I1,Supported Scaffold,Renewal Permit Without Changes,50000.0,Permit Issued
X00868217-I1-SF,X00868217-I1-SF,X00868217-I1,X00868217-I1,Sidewalk Shed,Renewal Permit Without Changes,120000.0,Signed-off
B01109630-I1-SF,B01109630-I1-SF,B01109630-I1,B01109630-I1,Construction Fence,Initial Permit,40000.0,Signed-off
M01031771-I1-MS,M01031771-I1-MS,M01031771-I1,M01031771-I1,Mechanical Systems,Renewal Permit Without Changes,121000.0,Signed-off
B01204961-S1-PL,B01204961-S1-PL,B01204961-S1,B01204961-S1,Plumbing,Initial Permit,7500.0,Signed-off
B00202585-I1-ST,B00202585-I1-ST,B00202585-I1,B00202585-I1,Structural,Renewal Permit with Changes,92000.0,Signed-off
M01160464-I1-GC,M01160464-I1-GC,M01160464-I1,M01160464-I1,General Construction,Initial Permit,700000.0,Signed-off
Q00546535-I1-SH,Q00546535-I1-SH,Q00546535-I1,Q00546535-I1,Sidewalk Shed,Initial Permit,61600.0,Signed-off
M00912754-I1-GC,M00912754-I1-GC,M00912754-I1,M00912754-I1,General Construction,Initial Permit,25000.0,Permit Issued
B01048332-S2-PL,B01048332-S2-PL,B01048332-S2,B01048332-S2,Plumbing,Initial Permit,13500.0,Signed-off
B00629993-S8-MS,B00629993-S8-MS,B00629993-S8,B00629993-S8,Mechanical Systems,Renewal Permit Without Changes,2000.0,Permit Issued
Q01286799-I1-SL,Q01286799-I1-SL,Q01286799-I1,Q01286799-I1,Solar,Initial Permit,31208.2,Signed-off
B01130089-I1-GC,B01130089-I1-GC,B01130089-I1,B01130089-I1,General Construction,Initial Permit,34600.0,Signed-off
M01030189-I1-SC,M01030189-I1-SC,M01030189-I1,M01030189-I1,Suspended Scaffold,Renewal Permit Without Changes,0.0,Signed-off
Q01159580-I1-SF,Q01159580-I1-SF,Q01159580-I1,Q01159580-I1,Supported Scaffold,Initial Permit,12000.0,Permit Issued
