previouspermitnumber,sidewalkshortdesc,permitnumberofzones,boroughname,permitlocationcomments,permithousenumber,permitlinearfeet
B012025177B79,,18.0,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,5280.0
B012025177B90,,18.0,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,5280.0
B012025177B86,,18.0,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,5280.0
B012025177B60,,18.0,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,5280.0
B012025177B60,,18.0,BROOKLYN,"Please Include 0204, Street Storage Permit. Thank You.",,5280.0
,,,MANHATTAN,svso,15,
,,,MANHATTAN,STEAM,,
,,,MANHATTAN,MH,,
,,,MANHATTAN,SEA T/OFF,46,
,,,MANHATTAN,MH,,
,,,QUEENS,,107-19,
