location_type,complaint_count,intersection_street_2,location,location_1
Street/Sidewalk,1,PARK AVENUE,"{'type': 'Point', 'coordinates': [-73.905784, 40.835724]}","{'type': 'Point', 'coordinates': [-73.905784, 40.835724]}"
Street/Sidewalk,1,14 ROAD,"{'type': 'Point', 'coordinates': [-73.85065, 40.785297]}","{'type': 'Point', 'coordinates': [-73.85065, 40.785297]}"
Street/Sidewalk,1,CARLTON AVENUE,"{'type': 'Point', 'coordinates': [-73.973753, 40.680824]}","{'type': 'Point', 'coordinates': [-73.973753, 40.680824]}"
Street/Sidewalk,2,35 AVENUE,"{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}","{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}"
Street/Sidewalk,1,143 STREET,"{'type': 'Point', 'coordinates': [-73.801942, 40.686371]}","{'type': 'Point', 'coordinates': [-73.801942, 40.686371]}"
Street/Sidewalk,2,9 AVENUE,"{'type': 'Point', 'coordinates': [-73.999831, 40.644453]}","{'type': 'Point', 'coordinates': [-73.999831, 40.644453]}"
Street/Sidewalk,4,BEAVER STREET,"{'type': 'Point', 'coordinates': [-74.013749, 40.704036]}","{'type': 'Point', 'coordinates': [-74.013749, 40.704036]}"
Street/Sidewalk,1,NORFOLK STREET,"{'type': 'Point', 'coordinates': [-73.987291, 40.71759]}","{'type': 'Point', 'coordinates': [-73.987291, 40.71759]}"
Street/Sidewalk,24,WILLIAMS AVENUE,"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}","{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}"
Street/Sidewalk,1,ST NICHOLAS AVENUE,"{'type': 'Point', 'coordinates': [-73.914455, 40.703003]}","{'type': 'Point', 'coordinates': [-73.914455, 40.703003]}"
Street/Sidewalk,1,35 AVENUE,"{'type': 'Point', 'coordinates': [-73.796759, 40.767047]}","{'type': 'Point', 'coordinates': [-73.796759, 40.767047]}"
Street/Sidewalk,1,EAST 47 STREET,"{'type': 'Point', 'coordinates': [-73.978975, 40.756657]}","{'type': 'Point', 'coordinates': [-73.978975, 40.756657]}"
Street/Sidewalk,1,FORT WASHINGTON AVENUE,"{'type': 'Point', 'coordinates': [-73.940272, 40.84313]}","{'type': 'Point', 'coordinates': [-73.940272, 40.84313]}"
Street/Sidewalk,2,24 STREET,"{'type': 'Point', 'coordinates': [-73.937722, 40.755517]}","{'type': 'Point', 'coordinates': [-73.937722, 40.755517]}"
Street/Sidewalk,1,BORDEN AVENUE,"{'type': 'Point', 'coordinates': [-73.905579, 40.725646]}","{'type': 'Point', 'coordinates': [-73.905579, 40.725646]}"
Street/Sidewalk,1,CARLTON AVENUE,"{'type': 'Point', 'coordinates': [-73.973806, 40.681815]}","{'type': 'Point', 'coordinates': [-73.973806, 40.681815]}"
Street/Sidewalk,1,EAST 67 STREET,"{'type': 'Point', 'coordinates': [-73.96552, 40.767241]}","{'type': 'Point', 'coordinates': [-73.96552, 40.767241]}"
Street/Sidewalk,630,72 AVENUE,"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}","{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}"
Street/Sidewalk,1,LEFFERTS AVENUE,"{'type': 'Point', 'coordinates': [-73.96183, 40.661566]}","{'type': 'Point', 'coordinates': [-73.96183, 40.661566]}"
Street/Sidewalk,1,ROCKEFELLER PLAZA,"{'type': 'Point', 'coordinates': [-73.979545, 40.757637]}","{'type': 'Point', 'coordinates': [-73.979545, 40.757637]}"
Street/Sidewalk,1,EAST172 STREET,"{'type': 'Point', 'coordinates': [-73.87801, 40.831133]}","{'type': 'Point', 'coordinates': [-73.87801, 40.831133]}"
