ellprograms,admissionsmethod_prog10,total,count,average
English as a New Language,,1340.0,15,89.33333333333333
English as a New Language;Transitional Bilingual Education: Spanish,,243.0,3,81.0
English as a New Language;Dual Language: Spanish,,194.0,2,97.0
English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Spanish,,92.0,1,92.0
English as a New Language;Dual Language: Spanish;Dual Language: Haitian Creole;Transitional Bilingual Education: Spanish;Transitional Bilingual Education: Haitian Creole,,83.0,1,83.0
