programname,programaddress,programcity,total,count,average
JASA QUEENS HOME DELIVERED MEALS (46G),131 BEACH   19 STREET,FAR ROCKAWAY,70146.0,6,11691.0
JASA BROOKLYN HOME DELIVERED MEALS (29E),1201 PENNSYLVANIA AVENUE,BROOKLYN,67434.0,6,11239.0
MIDDLE VILLAGE ADULT CENTER (4AT),69-10 75th St.,FLUSHING,22758.0,2,11379.0
JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),161 Corbin Place,BROOKLYN,22470.0,2,11235.0
RISEBORO - CMA - BK01 03 04 (2MP),1175 Gates Avenue,BROOKLYN,22442.0,2,11221.0
EAST SIDE HOUSE - HDM - BX1-6 (11S),805 E. 139TH STREET,BRONX,20908.0,2,10454.0
EAST SIDE HOUSE INC. (11V),337 ALEXANDER AVENUE,BRONX,20908.0,2,10454.0
OCEAN BAY CDC OLDER ADULT CENTER (C53),57-17 Shore Front Parkway,FAR ROCKAWAY,11693.0,1,11693.0
CCNS SEASIDE OAC (C17),320 Beach 94th Street,FAR ROCKAWAY,11693.0,1,11693.0
BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),2164 Ralph Avenue,BROOKLYN,11234.0,1,11234.0
COPO (2TT),1081 Coney Island Avenue,BROOKLYN,11230.0,1,11230.0
ALBANY OAC (C35),196 Albany Avenue,BROOKLYN,11213.0,1,11213.0
WAYSIDE OUT TILDEN SENIOR CENTER (C90),630 Mother Gaston Blvd,BROOKLYN,11212.0,1,11212.0
BETANCES (W16),401 St Anns Avenue,BRONX,10454.0,1,10454.0
POLO GROUNDS SATELLITE (MN10) (C26),2965 Frederick Douglass Blvd,NEW YORK,10039.0,1,10039.0
HMH – CITYWIDE (6K1),100 Gold Street Lower Level,NEW YORK,10038.0,1,10038.0
CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),150 East 121st Street,NEW YORK,10035.0,1,10035.0
GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),593 Columbus Avenue,NEW YORK,10024.0,1,10024.0
LIFELONG LEARNING CENTER @ ENCORE WEST (W14),755 10th Avenue,NEW YORK,10019.0,1,10019.0
ENCORE HOME DELIVERED MEALS (36G),239 WEST   49 STREET,NEW YORK,10019.0,1,10019.0
NYFSC MOTT STREET OLDER ADULT CENTER (C51),180 Mott Street,NEW YORK,10012.0,1,10012.0
CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),55 Chrystie Street,NEW YORK,10002.0,1,10002.0
GREENWICH HOUSE GMH MN 1-8 (6G8),122 WEST   27 STREET,NEW YORK,10001.0,1,10001.0
