fullpermitno,category,count,avg_value,total_value,max_value
J3SK-2023929-30747,Very Heavy,1,164380.0,164380.0,164380
TB62-2022324-9936,Standard,1,41950.0,41950.0,41950
Q5KC-2021929-27557,Standard,1,53080.0,53080.0,53080
I1CU-202323-5111,Standard,1,41000.0,41000.0,41000
D47Q-2023320-11995,Standard,1,53080.0,53080.0,53080
VTMI-2023518-19927,Heavy,1,158400.0,158400.0,158400
EED7-2022321-9153,Standard,1,40000.0,40000.0,40000
Z6EV-202247-11952,Standard,1,78520.0,78520.0,78520
QZLL-202255-16199,Standard,1,33000.0,33000.0,33000
FMUU-2022110-642,Standard,1,67000.0,67000.0,67000
I55I-202182-20226,Standard,1,24350.0,24350.0,24350
D82U-2022322-9444,Standard,1,44197.0,44197.0,44197
GIMG-2022711-24778,Standard,1,47000.0,47000.0,47000
C2DA-202263-19861,Heavy,1,158400.0,158400.0,158400
YI5V-20231117-35022,Standard,1,74500.0,74500.0,74500
NDC9-20221214-46660,Heavy,1,151400.0,151400.0,151400
AEG7-2022929-35916,Heavy,1,156664.0,156664.0,156664
SW1M-2023316-11502,Standard,1,58000.0,58000.0,58000
PADY-202214-88,Standard,1,55000.0,55000.0,55000
LJEN-202352-18003,Standard,1,98566.0,98566.0,98566
C6BC-20221130-44313,Standard,1,32000.0,32000.0,32000
PN4J-2023922-30114,Standard,1,117950.0,117950.0,117950
DPAP-2021122-34871,Standard,1,56834.0,56834.0,56834
IUB4-2021816-22014,Very Heavy,1,161660.0,161660.0,161660
L9H2-2022930-36228,Standard,1,117950.0,117950.0,117950
ZK8W-2022627-23142,Standard,1,42000.0,42000.0,42000
C54X-2022117-41529,Standard,1,27500.0,27500.0,27500
GRF3-2022511-16870,Standard,1,110800.0,110800.0,110800
E56Q-2023126-36397,Standard,1,35000.0,35000.0,35000
WIU1-2022128-45817,Standard,1,63300.0,63300.0,63300
WN4W-2023511-19012,Standard,1,65100.0,65100.0,65100
UYFE-2021107-28563,Standard,1,40000.0,40000.0,40000
KEUA-2023913-29281,Standard,1,110800.0,110800.0,110800
KH1Q-20211116-33290,Standard,1,45000.0,45000.0,45000
UAQ4-2023119-2323,Standard,1,79000.0,79000.0,79000
DTYG-202347-14628,Standard,1,35000.0,35000.0,35000
FYZP-2021917-26079,Standard,1,49100.0,49100.0,49100
E6PC-2023410-14796,Standard,1,50000.0,50000.0,50000
SRUX-2022104-36582,Standard,1,49000.0,49000.0,49000
YY6Z-2023124-3254,Standard,1,75000.0,75000.0,75000
KO4Z-2021720-19005,Standard,1,57000.0,57000.0,57000
TG9X-202331-9129,Standard,1,36500.0,36500.0,36500
TEN7-202351-17825,Standard,1,49000.0,49000.0,49000
H2XS-2023428-17638,Standard,1,119000.0,119000.0,119000
FZZ3-2023315-11314,Standard,1,78000.0,78000.0,78000
MGO1-20221012-37888,Standard,1,70000.0,70000.0,70000
