gradespan,ellprograms,total,average,count
PK-8,English as a New Language;Dual Language: Spanish,86.0,86.0,1
PK-8,English as a New Language,401.0,80.2,5
K-8,English as a New Language,191.0,95.5,2
6-8,English as a New Language;Dual Language: Spanish,91.0,91.0,1
6-12,English as a New Language,95.0,95.0,1
6-8,English as a New Language,979.0,89.0,13
,English as a New Language,,,1
