org_title,total_vol_requests
NYC Service,225.0
  Brooklyn Center for Quality Life (BCQL),5.0
Catchafire,31680.0
Children's Museum Of The Arts,30.0
Queens Satellite High School for Opportunity,15.0
Friends of Van Cortlandt Park,1440.0
Stuyvesant Cove Park,20.0
ARTs East New York Inc.,60.0
Turtle Bay Music School,2.0
"Services for the UnderServed, Inc.",27.0
Gorman Park Volunteers,2.0
The Fresh Air Fund,30.0
WorldofMoney.org,8.0
Street Project,750.0
New York City Department of Parks & Recreation,680.0
Learning Leaders,40.0
"Cents Ability, Inc.",100.0
"""I Have a Dream"" Foundation - NY: Ravenswood Program",10.0
Rubin Museum Of Art,4.0
Metropolitan Council on Jewish Poverty,150.0
Project Mentor Development Council Inc. ,8.0
Chhaya Community Development Corporation,6.0
Habitat-NYC,10.0
Jewish Association for Services for the Aged (JASA),240.0
The Neighborhood Work Play Kids Theater,12.0
"Going Coastal, Inc.",3.0
Bronx ESL Program,5.0
The Grace Children's Foundation,100.0
