device_id,total_travel_feet_sum,elevator_doorfeatures,elevator_type
1P27261,120.0,Interlocks,Passenger
1P28681,385.0,Interlocks,Passenger
4P1877,74.0,Interlocks,Passenger
4P15525,11.6,Interlocks,Passenger
1P26912,10.0,Interlocks,Passenger
1P15372,,,Passenger
2P10367,,,Passenger
1P21006,30.0,Locks & Contacts,Passenger
1P11985,139.0,Interlocks,Passenger
1P28868,167.0,Interlocks,Passenger
4P3077,80.0,Interlocks,Passenger
3P11459,49.0,Interlocks,Passenger
4P5917,60.0,Interlocks,Passenger
1P37080,13.0,Interlocks,Passenger
3P13796,60.0,Interlocks,Passenger
5P0997182,12.2,Interlocks,Passenger
1P35609,60.0,Interlocks,Passenger
1P20419,60.0,Interlocks,Passenger
1P19799,118.0,Interlocks,Passenger
2P1813,84.0,Interlocks,Passenger
1P19021,960.0,Interlocks,Passenger
1P3256,300.0,Interlocks,Passenger
1P26568,117.7,Interlocks,Passenger
1P1000467,43.0,Interlocks,Passenger
3P7312,30.0,Interlocks,Passenger
3P12156,70.0,Interlocks,Passenger
1P43008,65.0,Vision Panel,Passenger
1P45731,162.0,Interlocks,Passenger
1P46370,76.0,Interlocks,Passenger
1P24315,100.0,Interlocks,Passenger
1P371,160.0,Interlocks,Passenger
1P718,280.0,Interlocks,Passenger
3P12779,45.0,Interlocks,Passenger
3P13822,48.0,Interlocks,Passenger
4P11428,50.0,Interlocks,Passenger
1P47939,0.0,Interlocks,Passenger
3P0995329,93.08,Interlocks,Passenger
4P10596,,,Passenger
1P47065,,,Passenger
1P1809,65.0,Locks & Contacts,Passenger
4E6067,,,Escalator
1P25582,332.0,Interlocks,Passenger
2P4966,60.0,Interlocks,Passenger
3W0997347,2.07,Self Closing,
1P40720,350.0,Interlocks,Passenger
