issuance,city_council_district,total,average,count
Pending Review,35,14.0,14.0,1
Pending Review,30,10.0,10.0,1
Pending Review,11,9.0,9.0,1
Pending Review,2,18.0,9.0,2
Pending Review,10,18.0,18.0,1
Pending Review,1,14.0,7.0,2
Pending Review,7,5.0,5.0,1
Pending Review,13,4.0,4.0,1
Issued,3,14.0,14.0,1
Pending Review,24,12.0,12.0,1
Pending Review,6,14.0,7.0,2
Pending Review,3,30.0,15.0,2
