block,total_balance_due
3076.0,0.0
4944.0,0.0
3097.0,0.0
15966.0,0.0
1087.0,0.0
8172.0,0.0
9057.0,0.0
1255.0,0.0
1542.0,0.0
7154.0,0.0
1532.0,0.0
2215.0,0.0
15817.0,0.0
1616.0,0.0
5691.0,0.0
3794.0,0.0
10715.0,0.0
1227.0,0.0
5046.0,0.0
1661.0,0.0
6184.0,0.0
511.0,0.0
1689.0,0.0
4095.0,0.0
2786.0,0.0
11627.0,0.0
3925.0,0.0
13154.0,0.0
202.0,0.0
8180.0,0.0
2007.0,0.0
3843.0,0.0
1544.0,0.0
1705.0,0.0
3199.0,0.0
683.0,0.0
2132.0,0.0
2145.0,0.0
10490.0,0.0
8036.0,0.0
655.0,0.0
6071.0,0.0
7970.0,0.0
544.0,0.0
8075.0,0.0
1283.0,0.0
3942.0,0.0
13463.0,0.0
1627.0,0.0
11655.0,0.0
