block,job_filing_number,latitude,longitude,total,count,average
4355,B00539229-I1,40.660605,-73.883508,1574865.0,1,1574865.0
3641,X00798868-S1,40.821409,-73.862976,999758.48,1,999758.48
2582,X01080570-I1,40.81244,-73.905272,216750.0,1,216750.0
500,M08055458-P1,40.724491,-73.999791,203626.0,1,203626.0
2110,Q00343274-P1,40.732567,-73.8567,162500.0,1,162500.0
1549,Q08050705-P1,40.737942,-73.878281,158730.0,1,158730.0
2449,X00283191-I1,40.831785,-73.916024,150000.0,1,150000.0
3357,B00977968-I1,40.688967,-73.919081,114876.0,2,57438.0
646,M00640994-I1,40.741827,-74.007975,110000.0,1,110000.0
1273,M01026719-I1,40.763255,-73.974633,101372.6,1,101372.6
1234,M00305208-I1,40.788817,-73.97605,100000.0,1,100000.0
961,B08010802-I1,40.675166,-73.982923,95000.0,1,95000.0
1261,M00470686-P3,40.756306,-73.979704,77700.0,2,38850.0
1089,M00584280-I1,40.760884,-73.998477,70000.0,1,70000.0
867,M01106860-I1,40.749137,-73.979858,68250.0,1,68250.0
3699,S01168848-I1,40.574661,-74.101284,50000.0,1,50000.0
1142,B01056267-S1,40.67764,-73.955825,37500.0,1,37500.0
2238,B00379523-I1,40.704171,-73.94929,32500.0,1,32500.0
1211,M00888070-I1,40.783454,-73.976908,30000.0,1,30000.0
684,B00833568-I1,40.655754,-74.003781,20000.0,1,20000.0
498,M00676209-I1,40.724013,-73.997987,20000.0,1,20000.0
632,M00731506-P3,40.734375,-74.007152,18000.0,2,9000.0
1014,M01088431-P1,40.75676,-73.988648,14700.0,1,14700.0
1068,S00574757-P1,40.640342,-74.132743,12000.0,1,12000.0
5111,B01162336-I1,40.648083,-73.951048,10000.0,1,10000.0
5309,B00889442-I1,40.644331,-73.982606,10000.0,1,10000.0
5469,X01298560-I1,40.833576,-73.817241,10000.0,1,10000.0
5933,X01025944-P1,40.90873,-73.908539,10000.0,1,10000.0
1261,M00068081-I1,40.755774,-73.980332,8000.0,2,4000.0
1249,M00877136-I1,40.789844,-73.978018,7700.0,1,7700.0
1786,B00089492-I1,40.690637,-73.944804,7000.0,1,7000.0
6705,B00854112-S1,40.627282,-73.964407,6000.0,1,6000.0
585,M01078574-S1,40.732429,-74.00551,6000.0,1,6000.0
3087,X00615227-I1,40.853559,-73.887656,6000.0,1,6000.0
11086,Q00852378-I1,40.712648,-73.746443,5250.0,1,5250.0
9756,Q01064741-S1,40.703492,-73.799838,5000.0,1,5000.0
1892,M00525359-I1,40.802454,-73.968045,5000.0,1,5000.0
1390,B00009242-I1,40.669831,-73.932864,4000.0,1,4000.0
1720,B00463611-I1,40.699963,-73.948449,1800.0,1,1800.0
14260,Q00175843-I1,40.653478,-73.766948,1150.0,1,1150.0
85,Q00501883-A1,40.745242,-73.94526,1000.0,1,1000.0
1382,M00345500-I1,40.768937,-73.966649,1000.0,1,1000.0
3611,Q08019869-S1,40.709562,-73.898806,1000.0,1,1000.0
1015,B00247826-I1,40.670237,-73.990245,500.0,1,500.0
778,M01232291-I1,40.747333,-73.993302,200.0,1,200.0
2411,B00854125-I1,40.710618,-73.954656,100.0,1,100.0
1290,M00772350-I1,40.761131,-73.975295,1.0,1,1.0
