fact_column,total_dimension1,average_dimension2,decision_location_borough,compliance_status,scheduled_hearing_location
SANITATION POLICE,0.0,4000.0,,All Terms Met,
SANITATION VENDOR ENFORCEMENT,100.0,0.0,,Penalty Due,BRONX
SANITATION OTHERS,75.0,0.0,,Penalty Due,
DEPT OF TRANSPORTATION,26400.0,0.0,,Penalty Due,BROOKLYN
SANITATION VENDOR ENFORCEMENT,0.0,1000.0,,All Terms Met,QUEENS
SANITATION VENDOR ENFORCEMENT,75.0,0.0,,Penalty Due,
DEPT. OF BUILDINGS,3500.0,0.0,,Penalty Due,
