si_req_debris_insects,meet_standards,nys_certified,inspection_by_firm,category,count,avg_value,total_value,max_value
Y,Y,Y,ISSEKS BROS LLC,small_tank,1,1.0,1.0,1
Y,Y,Y,ISSEKS BROS INC,small_tank,1,1.0,1.0,1
Y,Y,Y,Rosenwach Tank Co. LLC,small_tank,11,1.0,11.0,1
