indoor_water_use_intensity,water_use_intensity_all_water,total,count,average
Not Available,Not Available,28.299999999999994,15,1.8866666666666663
19.02,19.02,7.2,1,7.2
13.89,13.89,5.4,1,5.4
4.78,4.78,5.3,1,5.3
6.67,6.67,5.1,1,5.1
157.39,157.39,4.9,1,4.9
14.2,14.2,3.9,1,3.9
139.22,139.22,3.6,1,3.6
0,0,3.4000000000000004,2,1.7000000000000002
78.61,78.61,2.7,1,2.7
155.88,155.88,2.3,1,2.3
69.37,69.37,2.2,1,2.2
48.4,48.4,2.1,1,2.1
79.24,79.24,1.6,1,1.6
23056.02,23056.02,1.5,1,1.5
12.82,12.82,1.5,1,1.5
0.81,0.81,1.4,1,1.4
278.45,278.45,1.4,1,1.4
125.74,125.74,1.4,1,1.4
10.9,10.9,1.3,1,1.3
51.67,51.67,1.3,1,1.3
72.25,72.25,1.3,1,1.3
160.11,160.11,1.3,1,1.3
85.03,85.03,1.3,1,1.3
14.23,14.23,1.3,1,1.3
56.88,56.88,1.3,1,1.3
194.09,194.09,1.3,1,1.3
136.94,136.94,1.2,1,1.2
67.21,67.21,1.2,1,1.2
41.17,41.17,1.1,1,1.1
0.04,0.04,1.1,1,1.1
51.92,51.92,1.0,1,1.0
222.27,222.27,1.0,1,1.0
88.12,88.12,1.0,1,1.0
