dbn,school_name,fax_number,seats9swd5,college_career_rate,grade9geapplicantsperseat8,rank,dense_rank
29Q259,Pathways College Preparatory School: A College Board School,718-454-4892,,0.63499999,,1,1
10X565,High School for Energy and Technology,718-733-3085,,,,1,1
31R605,Staten Island Technical High School,718-987-5872,,0.910000026,,1,1
31R605,Staten Island Technical High School,718-987-5872,,0.910000026,,1,1
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",718-277-1873,,0.374000013,,1,1
26Q415,Benjamin N. Cardozo High School,718-631-7880,,0.768999994,,1,1
02M260,"Clinton School Writers & Artists, M.S. 260",212-524-4365,,,,1,1
10X546,Bronx Theatre High School,718-329-0433,,0.515999973,,1,1
09X276,Leadership Institute,718-299-7496,,0.256999999,,1,1
03M417,Frank McCourt High School,212-362-5926,,0.836000025,,1,1
28Q505,Hillcrest High School,718-739-5137,10.0,0.632000029,,1,1
31R047,CSI High School for International Studies,718-370-6915,,0.910000026,,1,1
12X248,"Metropolitan High School, The",718-542-7294,,0.381000012,,1,1
12X521,The Metropolitan Soundview High School,718-860-8232,,,,1,1
17K531,The School for Human Rights,718-771-4815,,0.462000012,,1,1
24Q296,Pan American International High School,718-271-4041,,0.257999986,,1,1
07X221,South Bronx Preparatory: A College Board School,718-292-2172,,0.647000015,,1,1
05M369,Urban Assembly School for the Performing Arts,212-234-4975,,0.614000022,,1,1
02M308,Lower Manhattan Arts Academy,212-674-8021,,0.646000028,,1,1
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-9117,,0.675999999,,1,1
02M605,Humanities Preparatory Academy,212-929-4445,,,,1,1
24Q520,Middle College High School at LaGuardia Community College,718-392-3315,,0.69599998,,1,1
10X353,World View High School,718-601-0821,,,,1,1
