general_liability_company,total_billable_work_fee,filing_type,existing_meters,gis_nta_name,license_type,job_description
TRAVELERS PROPERTY CASUAL,1745.0,PAA,3,Midtown-Midtown South,Electrician,Replacement of service equipment in electric room
TRISURA SPECIALTY INSURAN,929.0,PAA,0,Crown Heights South,Electrician,Temp. device number: B00934506-741 (19) Temp. device number: B00934506-535 (19) Temp. device number: B00934506-507 (19) Temp. device number: B00934506-266 (2) this permit covers elevator control and load side wiring only
TRISURA SPECIALTY INSURAN,929.0,PAA,0,Crown Heights South,Electrician,Wiring for 20' of sidewalk shed lighting. Not responsible for power feed or maintaining lights.
PELEUS INSURANCE COMPANY,837.5,PAA,0,Marble Hill-Inwood,Electrician,ELECTRICAL POWER AND LIGHTING FOR COMMERCIAL FRANCHISE RESTAURANT APPLEBEES
TRAVELERS INSURANCE,358.5,PAA,4,Flatbush,Electrician,Electrical service upgrade. Wiring upgrade for 2nd and 3rd floors. Commercial space -6 recept; 10 lights
TRISURA SPECIALTY INSURAN,923.5,New Job Filing,0,West Farms-Bronx River,Electrician,Entire
SOUTHWEST MARINE INS,136.0,New Job Filing,2,Kensington-Ocean Parkway,Electrician,ELECTRICAL PERMIT TO INSTALL 8 360 WATT PANELS 1 STRING OF 8 PANELS SIZE 10 FEEDERS CONNECTING TO SMA 3800 WATT INVERTER SIZE 10 FEEDERS CONNECTING TO 2POLE 40 AMPS BREAKER IN MAIN SERVICE PANEL. PERMIT TO ALSO INCLUDE RELACING 2 FEDERAL PACIFIC SERVICE PANELS WITH TWO NEW EATON 100A MAIN BREAKER PANELS
HARLEYSVILLE WORCESTER IN,131.0,New Job Filing,0,Greenpoint,Electrician,"Power and lights for the Laundry, 12 Dryers, 26 Washers. 6 ceiling fans."
TRAVELERS CASUALTY INS,107.0,New Job Filing,0,Carroll Gardens-Columbia Street-Red Hook,Electrician,Removal for Objections attached to Permit Number B072010.
ACCEPTANCE IND INS CO,85.0,New Job Filing,0,East Concourse-Concourse Village,Electrician,Connect the solar system to the main service via line side tap with micro inverters
