location_name,location_code,t3_location_code,t4_location_name,fiscal_year,category,count,avg_value,total_value,max_value
P.S. 140 Nathan Straus,M140,M140,P.S. 140 Nathan Straus,2019,Large,1,310100010140.0,310100010140.0,310100010140
Bronx Charter School for Excellence 3,X589,X589,Bronx Charter School for Excellence 3,2019,Large,1,321100861115.0,321100861115.0,321100861115
P.S. 115 Alexander Humboldt,M115,M115,P.S. 115 Alexander Humboldt,2019,Large,1,310600010115.0,310600010115.0,310600010115
P.S. 155 William Paca,M155,M155,P.S. 155 William Paca,2019,Large,1,310400010155.0,310400010155.0,310400010155
P.S. 123 Mahalia Jackson,M123,M123,P.S. 123 Mahalia Jackson,2019,Large,1,310500010123.0,310500010123.0,310500010123
P.S. 008 Isaac Varian,X008,X008,P.S. 008 Isaac Varian,2019,Large,1,321000010008.0,321000010008.0,321000010008
WHIN Music Community,M338,M338,WHIN Music Community,2019,Large,1,310600861111.0,310600861111.0,310600861111
"H.E.R.O. High (Health, Education, and Research Occ",X259,X259,"H.E.R.O. High (Health, Education, and Research Occ",2019,Large,1,320700011259.0,320700011259.0,320700011259
P.S. 276 Louis Marshall,K276,K276,P.S. 276 Louis Marshall,2019,Large,1,331800010276.0,331800010276.0,331800010276
J.H.S. 080 The Mosholu Parkway,X080,X080,J.H.S. 080 The Mosholu Parkway,2019,Large,2,321000010080.0,642000020160.0,321000010080
The Laboratory School of Finance and Technology: X,X223,X223,The Laboratory School of Finance and Technology: X,2019,Large,1,320700010223.0,320700010223.0,320700010223
The Science And Medicine Middle School,K366,K366,The Science And Medicine Middle School,2019,Large,1,331800010366.0,331800010366.0,331800010366
DREAM Charter School,M382,M382,DREAM Charter School,2019,Large,1,310400860919.0,310400860919.0,310400860919
Mott Hall High School,M304,M304,Mott Hall High School,2019,Large,1,310500011304.0,310500011304.0,310500011304
New Directions Secondary School,X350,X350,New Directions Secondary School,2019,Large,1,320900011350.0,320900011350.0,320900011350
P.S. 115 Daniel Mucatel School,K115,K115,P.S. 115 Daniel Mucatel School,2019,Large,1,331800010115.0,331800010115.0,331800010115
J.H.S. 167 Robert F. Wagner,M167,M167,J.H.S. 167 Robert F. Wagner,2019,Large,1,310200010167.0,310200010167.0,310200010167
Professor Juan Bosch Public School,M178,M178,Professor Juan Bosch Public School,2019,Large,1,310600010178.0,310600010178.0,310600010178
P.S. 77 Lower Lab School,M077,M077,P.S. 77 Lower Lab School,2019,Large,1,310200010077.0,310200010077.0,310200010077
High School for Health Professions and Human Servi,M420,M420,High School for Health Professions and Human Servi,2019,Large,1,310200011420.0,310200011420.0,310200011420
Brooklyn Theatre Arts High School,K567,K567,Brooklyn Theatre Arts High School,2019,Large,1,331800011567.0,331800011567.0,331800011567
