building_location,total_ycoordinate
Southeast corner of Park Avenue and East 71st Street,219844.0
Full blockfront on west side of Broadway between West 70th and 71st Streets,222650.0
Northwest corner of Third Avenue and East 96th Street,225537.0
Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,214729.0
North side of East 48th Street between Third and Lexington Avenues,214395.0
"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",210278.0
Southeast corner of Second Avenue and East 62nd Street,216970.0
Southwest corner of West 16th Street Fifth Avenue,207891.0
Northwest corner of First Avenue and East 83rd Street,221761.0
West side of Sixth Avenue between West 47th and 48th Streets,215679.0
South side of East 39th Street between Second and Third Avenues,211868.0
South side of East 42nd Street between Second and Third Avenues,212562.0
Southeast corner of East 24th Street and Third Avenue,208569.0
West side of Broadway between West 50th and 51st Streets,216933.0
"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",218665.0
Northwest corner of Third Avenue and East 84th Street,222681.0
Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,212982.0
South side of East 47th Street between Second and Third Avenues,213715.0
