title,total_date_created
Gill and Bloom Plaques,
Samuel J. Tilden,1926.0
Father Capodanno Memorial,1976.0
Athena,1998.0
Carmine Liotti and Lloyd Ikefugi,1962.0
Inside Out,38266.0
Wave Hill Landmarks Plaque,1963.0
Design Team Project,37886.0
The Army: Genius of Patriotism Urging American Soldiers On To Victory,11400.0
Lower East Side War Memorial,1953.0
Discus Thrower,1926.0
Knights of Pythias Memorial,9805.0
Diagonal Sonata,38133.0
Job,1967.0
The Isaiah Wall,1948.0
Timecast,38228.0
City Employees War Memorial,9630.0
Pete McArdle,1986.0
Clinton War Memorial,1927.0
Blockhouse,1905.0
Mathematical Star,38247.0
General Josiah Porter,1902.0
Wild Geese,174240.0
Joseph H. Lyons Plaque,1938.0
Boar,1972.0
Theodore Roosevelt Tablet,1919.0
Carroll Park Memorial,1920.0
Netherland Monument,1926.0
Eagles and Prey,9250.0
Balto,1925.0
McNally Plaza Memorial,1921.0
Tomorrow's Wind,37810.0
Alamo,1967.0
Little Dances,37924.0
A Bird Named Goldilocks,1995.0
Rockaway Veterans Memorial,1927.0
Greenpoint World War II Memorial,1954.0
Dancing Bear,58110.0
