staten_island,health,brooklyn,published,address2,aging,domestic_violence
Y,N,Y,Published,"Level B, Suite 40",N,N
N,Y,Y,Published,,N,N
Y,Y,Y,Published,,N,N
N,N,Y,Published,,Y,N
N,N,Y,Published,,N,N
N,N,N,Published,suite 5b,N,Y
N,N,N,Published,Second Floor,N,N
N,N,N,Published,5th Floor,N,Y
N,N,N,Published,5th Floor,N,N
N,N,N,Published,5th Floor,N,N
