dsny_zone,unique_count,total,t1_address,t4_address,t4_bin,t7_bin,additional_info,location_point
QE,1,42.0,"126-06 15th Avenue, College Point, NY, USA","126-06 15th Avenue, College Point, NY, USA",4437977.0,4437977.0,,"{'type': 'Point', 'coordinates': [-73.8418590002936, 40.7848559999077]}"
SI,1,33.0,"155 Norway Avenue, Staten Island, NY, USA","155 Norway Avenue, Staten Island, NY, USA",5109514.0,5109514.0,,"{'type': 'Point', 'coordinates': [-74.0785929995683, 40.5944700002935]}"
SI,1,22.0,"17 Brook Street, Staten Island, NY 10301, USA","17 Brook Street, Staten Island, NY 10301, USA",5000385.0,5000385.0,,"{'type': 'Point', 'coordinates': [-74.0812089996966, 40.6374059999901]}"
SI,1,22.0,"2720 Veterans Road West, Staten Island, NY 10309, USA","2720 Veterans Road West, Staten Island, NY 10309, USA",5170012.0,5170012.0,,"{'type': 'Point', 'coordinates': [-74.2283630003532, 40.5307299998928]}"
BX,1,15.0,"626 Pelham Parkway South, The Bronx, NY, USA","626 Pelham Parkway South, The Bronx, NY, USA",2049390.0,2049390.0,,"{'type': 'Point', 'coordinates': [-73.8683240003533, 40.856453000209]}"
BX,1,15.0,"726 E 213th St, Bronx, NY 10467, USA","726 E 213th St, Bronx, NY 10467, USA",2057701.0,2057701.0,,"{'type': 'Point', 'coordinates': [-73.8640740004157, 40.8787359998697]}"
BX,1,15.0,"495 East 180th Street, Bronx, NY, USA","495 East 180th Street, Bronx, NY, USA",2011507.0,2011507.0,,"{'type': 'Point', 'coordinates': [-73.8948660003666, 40.8514990001819]}"
BX,1,15.0,"609 E 182nd St, Bronx, NY 10457, USA","609 E 182nd St, Bronx, NY 10457, USA",2012068.0,2012068.0,,"{'type': 'Point', 'coordinates': [-73.8894899997646, 40.8521080003871]}"
BX,1,15.0,"2196a White Plains Rd, The Bronx, NY 10462, USA","2196a White Plains Rd, The Bronx, NY 10462, USA",2049397.0,2049397.0,,"{'type': 'Point', 'coordinates': [-73.8674030001493, 40.856463999817]}"
BX,1,15.0,"950 Allerton Avenue, The Bronx, NY, USA","950 Allerton Avenue, The Bronx, NY, USA",2051712.0,2051712.0,,"{'type': 'Point', 'coordinates': [-73.8590669997432, 40.8652749996448]}"
BKN,1,14.0,"672 Driggs Avenue, Brooklyn, NY, USA","672 Driggs Avenue, Brooklyn, NY, USA",3062466.0,3062466.0,,"{'type': 'Point', 'coordinates': [-73.9594710001875, 40.7144430002475]}"
BX,1,14.0,"295 Saint Ann's Avenue, The Bronx, NY, USA","295 Saint Ann's Avenue, The Bronx, NY, USA",2000081.0,2000081.0,,"{'type': 'Point', 'coordinates': [-73.917014000097, 40.8085410003701]}"
