dbn,school_name,principal,school_type,total_engagement_score
24Q600,Queens Vocational and Technical High School,Denise Vittor,High School,6.3
31R003,P.S. 003 The Margaret Gioiosa School,Donna Gioello,Elementary School,7.6
05M133,P.S. 133 Fred R Moore,Pamela Craig,Elementary School,7.2
12X267,Bronx Latin,Leticia Pineiro,Middle/ High School,6.7
02M580,Richard R. Green High School of Teaching,David Raubvogel,High School,6.5
16K455,Boys and Girls High School,Spencer Holder,High School,6.9
05M161,P.S. 161 Pedro Albizu Campos,Barbara D. Freeman,Elementary School,7.8
03M243,M.S. 243 Center School,Elaine Schwartz,Middle School,8.6
04M037,River East Elementary,Alison Mckenzie,Elementary School,7.7
11X544,High School for Contemporary Arts,Francisco Sanchez,High School,7.4
12X682,Fannie Lou Hamer Freedom High School,Nancy Mann,High School,7.3
28Q690,High School for Law Enforcement and Public Safety,Diahann E. Malcolm,High School,6.4
10X660,Grace Dodge Career and Technical Education High School,Roberto Hernandez,YABC,6.4
28Q687,Queens High School for the Sciences at York College,Jie Zhang,High School,7.1
06M210,P.S./I.S. 210 - 21st Century Academy for Community Leadership,Evelyn Linares,Elementary/ Middle School,8.1
08X305,Pablo Neruda Academy for Architecture and World Studies,Ivan Cohen,High School,6.0
29Q492,"Mathematics, Science Research and Technology Magnet High School",Andrea G. Holt,High School,6.1
05M046,P.S. 046 Arthur Tappan,George Young,Elementary School,7.9
16K534,Upper School @ P.S. 25,William Cooper,Middle School,6.5
22K014,J.H.S. 014 Shell Bank,Anne Tully,Middle School,7.2
03M044,J.H.S. M044 William J. O'Shea,Liza Ortiz,Middle School,6.6
07X223,M.S. 223 The Laboratory School of Finance and Technology,Ramon Gonzalez,Middle School,7.5
31R072,I.S. 072 Rocco Laurie,Peter Macellari,Middle School,6.9
20K505,Franklin Delano Roosevelt High School,Geraldine Maione,High School,6.6
03M299,"High School for Arts, Imagination and Inquiry",Stephen Noonan,High School,6.0
32K384,P.S. /I.S. 384 Frances E. Carter,Brunhilda Perez-Ortiz,Elementary/ Middle School,7.4
08X366,Urban Assembly Academy of Civic Engagement,Cameron Berube,Middle School,7.5
04M224,M.S. 224 Manhattan East School for Arts & Academics,Liliana Sarro,Middle School,7.4
10X390,M.S. 390,Robert Mercedes,Middle School,7.1
02M425,Leadership and Public Service High School,Lawrence Pendergast,High School,6.6
22K207,P.S. 207 Elizabeth G. Leary,Mary Bosco,Elementary/ Middle School,7.8
21K411,Abraham Lincoln YABC,Ari Hoogenboom,YABC,7.2
84M707,John V. Lindsay Wildcat Academy Charter School,Ron Tabano & Marc Donald,Transfer School,7.7
06M457,George Washington Educational Campus YABC,Nicholas Politis,High School,7.8
06M457,George Washington Educational Campus YABC,Nicholas Politis,YABC,7.8
01M448,University Neighborhood High School,Robert Miller,High School,6.1
19K583,Multicultural High School,Altagracia Liciaga,High School,6.1
14K632,Frances Perkins Academy,Javier Guzman,High School,6.1
31R445,Port Richmond High School,Timothy M. Gannon,High School,6.6
09X329,DreamYard Preparatory School,Rod Bowen,High School,6.4
02M416,Eleanor Roosevelt High School,Dimitri Saliani,High School,7.2
04M825,Isaac Newton Middle School for Math & Science,Lisa Nelson,Middle School,7.7
23K643,Brooklyn Democracy Academy,Thomas Mckenna,Transfer School,7.6
10X696,High School of American Studies at Lehman College,Alessandro Weiss,High School,7.9
04M101,P.S. 101 Andrew Draper,Alexander Castillo,Middle School,6.8
07X379,Jill Chaifetz Transfer High School,Anne Fennelly,Transfer School,6.5
17K539,High School for Service & Learning at Erasmus,Leonard Kassan,High School,7.4
21K098,I.S. 98 Bay Academy,Mrs. Marian Nagler,Middle School,7.1
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Brady Smith,High School,7.3
10X660,Grace Dodge Career and Technical Education High School,Roberto Hernandez,High School,6.4
01M137,P.S. 137 John L. Bernstein,Melissa Rodriguez,Elementary School,7.6
02M051,P.S. 051 Elias Howe,Nancy Sing Bock,Elementary School,8.5
