contract_id,site_name,total_site_budget
5676,Therapeutic services - 48 Precinct,
6798,Bameso USA,
4740,Mc Kee High School,
7164,Bronx,
2980,All City Leadership Secondary School,
6928,Project Hospitality Drop-in,
1970,Urban Justice Center - HQ,1585113.06
4740,PAL Webster Teen Center,
5262,Brooklyn Justice Initiatives,
3258,MONTEFIORE MEDICAL CENTER_Bronx,
1961,"BronxWorks, Inc.",
1637,301 Henry Street Youth Center,
6602,Arab American Family Support Center,
431,Bangladeshi American Community Development and Yotuh Services,
7487,Bronx Family Justice Center,
5248,Queens - LIC,
3929,Works Plus North,129400.0
4368,NYC Business Solutions Bronx Center,
7493,Medgar Evers College,
2302,Achievement First Brownsville Charter School,
8812,East New York,
6648,Bronx Charter School for Children,
1969,The Legal Aid Society,
159,"Biobus, Inc",
7809,Center for Employment Opportunities,
4197,NYC office,
5644,Therapeutic services - 101 Precinct,
5622,Therapeutic services - 79 Precinct,
8685,Harlem,
4740,IS 218 Beacon,
8325,Arts Therapy - Bright Harp,
2605,Academy of Arts and Letters,
2337,AAFE FLUSHING,
4740,PAL Harlem Teen Center,
4856,Manhattan,
5622,Thurgood Marshall Academy for Learning and Social Change,
4023,Brooklyn office,
7464,"Bridge The Gap Youth, Inc.",
7303,Asian Americans For Equality,
8328,46 Precinct (Bronx),
4740,Petrides High School,
