bin__,total_est_fee,job_status,owner_s__phone__,job_status_descrp,latest_action_date
1016123,100.0,R,2125030909,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00
1089782,397.5,D,2124218100,APPLICATION PROCESSED - ENTIRE          ,07/28/2017 00:00:00
3327490,100.0,R,9142888100,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/26/2017 00:00:00
3424339,100.0,P,2126499400,PLAN EXAM - APPROVED                    ,08/01/2017 00:00:00
3424727,100.0,D,7183299537,APPLICATION PROCESSED - ENTIRE          ,09/20/2017 00:00:00
3424727,100.0,D,7183299537,APPLICATION PROCESSED - ENTIRE          ,09/20/2017 00:00:00
4077915,160.6,R,7189077555,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
1015266,150.3,R,2039472825,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00
1015266,150.3,R,2039472825,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00
3088276,120.0,R,6306238437,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00
3088276,120.0,R,6306238437,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00
3088276,120.0,R,6306238437,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/14/2017 00:00:00
3088276,120.0,R,6306238437,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/14/2017 00:00:00
3088276,120.0,R,6306238437,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/11/2017 00:00:00
4184263,150.3,R,5163435050,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/16/2017 00:00:00
1030741,120.0,R,2128770028,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/12/2017 00:00:00
1030741,120.0,R,2128770028,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/12/2017 00:00:00
1035335,100.0,R,2126970696,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00
1057837,100.0,R,2128698580,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00
1057837,100.0,D,2128698580,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00
1088841,140.0,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1088841,140.0,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1088841,140.0,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
1088841,140.0,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00
1088841,140.0,R,2122576600,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00
4208831,100.0,R,2124881645,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00
4208831,100.0,R,2124881645,PLAN EXAM - DISAPPROVED                 ,10/04/2017 00:00:00
4208831,100.0,R,2124881645,PLAN EXAM - DISAPPROVED                 ,10/04/2017 00:00:00
4208831,100.0,R,2124881645,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00
4208831,100.0,R,2124881645,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00
4433427,100.0,P,7182254740,PLAN EXAM - APPROVED                    ,09/15/2017 00:00:00
4223565,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4223565,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4223565,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4223565,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4223565,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00
4449970,181.2,R,9174462632,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/06/2017 00:00:00
1013686,479.9,P,7184853000,PLAN EXAM - APPROVED                    ,09/20/2017 00:00:00
1013686,479.9,P,7184853000,PLAN EXAM - APPROVED                    ,09/20/2017 00:00:00
4111794,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4111794,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4111794,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4111794,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4111794,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00
5162340,170.9,R,7189831100,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
5162340,170.9,R,7189831100,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
3078952,201.8,P,9176998693,PLAN EXAM - APPROVED                    ,09/28/2017 00:00:00
4169382,120.0,J,2123769300,PLAN EXAM - APPROVED                    ,10/03/2017 00:00:00
4169382,120.0,J,2123769300,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00
4437222,100.0,R,5165265955,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00
4437222,100.0,R,5165265955,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00
4437222,100.0,R,5165265955,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00
1035053,100.0,P,6469653616,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
1035053,100.0,P,6469653616,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
1035053,100.0,P,6469653616,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
1035053,100.0,P,6469653616,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
1035053,100.0,P,6469653616,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
1087745,160.6,D,6467346681,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
1088870,100.0,R,2124881645,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00
1088870,100.0,R,2124881645,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00
1088870,100.0,R,2124881645,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00
1088870,100.0,R,2124881645,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00
1088870,100.0,R,2124881645,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00
3128805,100.0,R,7184754736,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
3128805,100.0,R,7184754736,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
3128805,100.0,R,7184754736,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
3128805,100.0,R,7184754736,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
3128805,100.0,R,7184754736,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
4114132,160.6,R,6462440901,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00
4238738,150.3,R,5164292244,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00
4238738,150.3,D,5164292244,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00
1007605,100.0,R,2122161796,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00
1007605,100.0,R,2122161796,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00
2057273,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
2057273,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
2057273,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
2057273,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
2057273,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4146186,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4146186,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4146186,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4146186,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4146186,100.0,D,5163265353,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
4440113,100.0,R,7182246300,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/03/2017 00:00:00
