incident_address,latitude,longitude,total,count,average
168-01 UNION TURNPIKE,40.723345,-73.799873,2744720880.0,2640,1039667.0
5-47 50 AVENUE,40.743072,-73.954735,1913134080.0,1920,996424.0
71-01 PARSONS BOULEVARD,40.729931,-73.810428,653094540.0,630,1036658.0
100 MESEROLE AVENUE,40.726699,-73.95318,398912800.0,400,997282.0
275 GLENMORE AVENUE,40.672731,-73.90056,24284280.0,24,1011845.0
1 BOWLING GREEN,40.704036,-74.013749,3922320.0,4,980580.0
514 79 STREET,40.626176,-74.023535,3910992.0,4,977748.0
2860 KINGSBRIDGE TERRACE,40.874268,-73.90236,3033531.0,3,1011177.0
140-17 84 DRIVE,40.710028,-73.816631,2070036.0,2,1035018.0
34-25 109 STREET,40.755645,-73.85905,2046318.0,2,1023159.0
83-72 VIETOR AVENUE,40.744092,-73.880338,2034110.0,2,1017055.0
23-15 39 AVENUE,40.755517,-73.937722,2002798.0,2,1001399.0
807 44 STREET,40.644453,-73.999831,1968514.0,2,984257.0
500 WEST 30 STREET,40.751985,-74.001704,1967858.0,2,983929.0
149 GELSTON AVENUE,40.617562,-74.028117,1952890.0,2,976445.0
