fullpermitno,fullpermitno_1,loadweight,truckmake,totalgrossweight,overallwidth,total_axle2weight
C2DA-202263-19861,C2DA-202263-19861,158399,Liebherr,158400,9.1,26400.0
Q5KC-2021929-27557,Q5KC-2021929-27557,24940,INTERNATIONAL,53080,8.07,19480.0
E6PC-2023410-14796,E6PC-2023410-14796,20000,PETERBUILT,50000,8.06,7200.0
J3SK-2023929-30747,J3SK-2023929-30747,95880,KENWORTH,164380,10.0,13810.0
Z6EV-202247-11952,Z6EV-202247-11952,39110,FREIGHTLINER,78520,12.02,16630.0
PADY-202214-88,PADY-202214-88,25000,FREIGHTLINER,55000,8.07,15000.0
DTYG-202347-14628,DTYG-202347-14628,7000,Kenworth,35000,8.06,4600.0
YI5V-20231117-35022,YI5V-20231117-35022,38300,MACK,74500,11.1,15625.0
L9H2-2022930-36228,L9H2-2022930-36228,64000,KENWORTH,117950,11.06,14850.0
ZKSE-2022323-9676,ZKSE-2022323-9676,25000,Freightliner,46500,8.0,12000.0
D47Q-2023320-11995,D47Q-2023320-11995,24940,INTERNATIONAL,53080,8.07,19480.0
I55I-202182-20226,I55I-202182-20226,14275,Dodge,24350,8.06,10250.0
AZUT-2021915-25576,AZUT-2021915-25576,50000,KEN,60000,8.0,12000.0
SW1M-2023316-11502,SW1M-2023316-11502,30000,PETRBUILT,58000,8.06,6000.0
FZZ3-2023315-11314,FZZ3-2023315-11314,40000,PETERBILT,78000,8.06,16500.0
MGO1-20221012-37888,MGO1-20221012-37888,54000,Freightliner,70000,12.07,6444.0
WIU1-2022128-45817,WIU1-2022128-45817,22300,STERLING,63300,10.06,10000.0
E56Q-2023126-36397,E56Q-2023126-36397,12000,KENWORTH,35000,8.06,6500.0
DPAP-2021122-34871,DPAP-2021122-34871,49000,PETERBILT,56834,8.06,11620.0
FYZP-2021917-26079,FYZP-2021917-26079,22500,Mack,49100,8.06,13300.0
EED7-2022321-9153,EED7-2022321-9153,20000,WESTERN STAR,40000,8.06,7000.0
PN4J-2023922-30114,PN4J-2023922-30114,64000,PETERBUILT,117950,11.06,14850.0
MVY4-20221021-39416,MVY4-20221021-39416,6000,GMC,55000,8.0,16000.0
IUB4-2021816-22014,IUB4-2021816-22014,109250,FREIGHTLINER,161660,12.0,18332.0
GRF3-2022511-16870,GRF3-2022511-16870,64000,KENWORTH,110800,11.02,19600.0
GIMG-2022711-24778,GIMG-2022711-24778,14000,KENWORTH,47000,8.06,10500.0
WN4W-2023511-19012,WN4W-2023511-19012,47000,International,65100,8.05,14000.0
LJEN-202352-18003,LJEN-202352-18003,54925,KENWORTH,98566,9.08,17312.0
TEN7-202351-17825,TEN7-202351-17825,2000,freightliner,49000,8.06,9250.0
H2XS-2023428-17638,H2XS-2023428-17638,79000,KW,119000,9.11,17666.0
YY6Z-2023124-3254,YY6Z-2023124-3254,60000,KENWORTH,75000,8.06,15000.0
C6BC-20221130-44313,C6BC-20221130-44313,10000,FRTL,32000,8.06,9000.0
UAQ4-2023119-2323,UAQ4-2023119-2323,39000,KENWORTH,79000,9.06,16750.0
SRUX-2022104-36582,SRUX-2022104-36582,12500,FREIGHTLINER,49000,10.0,7400.0
KH1Q-20211116-33290,KH1Q-20211116-33290,20000,PETERBILT,45000,8.06,8000.0
I1CU-202323-5111,I1CU-202323-5111,21000,FREIGHTLINER,41000,8.06,10000.0
NDC9-20221214-46660,NDC9-20221214-46660,85973,MACK,151400,13.08,19800.0
AEG7-2022929-35916,AEG7-2022929-35916,156663,LIEBHERR,156664,9.1,17798.0
ZK8W-2022627-23142,ZK8W-2022627-23142,20000,PETERBILT,42000,8.06,8000.0
VTMI-2023518-19927,VTMI-2023518-19927,158399,LIEBHERR,158400,9.1,26400.0
M7M8-2022419-13696,M7M8-2022419-13696,15240,Ram,34900,8.0,13660.0
C54X-2022117-41529,C54X-2022117-41529,5500,Lone Star,27500,8.05,17500.0
D82U-2022322-9444,D82U-2022322-9444,16600,Ford,44197,8.06,10076.0
TG9X-202331-9129,TG9X-202331-9129,18250,KENWORTH,36500,8.06,6125.0
FMUU-2022110-642,FMUU-2022110-642,35000,PETE,67000,8.06,17500.0
KEUA-2023913-29281,KEUA-2023913-29281,64000,PETERBUILT,110800,11.02,19600.0
UYFE-2021107-28563,UYFE-2021107-28563,20000,KW,40000,8.06,5600.0
TB62-2022324-9936,TB62-2022324-9936,10500,FORD,41950,10.07,11950.0
QZLL-202255-16199,QZLL-202255-16199,20000,FREIGHTLINER,33000,8.06,5250.0
KO4Z-2021720-19005,KO4Z-2021720-19005,30000,FREIGHTLINER,57000,8.06,8000.0
