doitt_id,provider,t3_doitt_id,type,location,t5_location,ntacode,remarks
1201,SPECTRUM,1201,Limited Free,North West side of Park,North West side of Park,QN54,3 free 10 min sessions
820,SPECTRUM,820,Limited Free,Park Area at W63rd & Columbus,Park Area at W63rd & Columbus,MN14,3 free 10 min sessions
895,ALTICEUSA,895,Limited Free,Skate Rental Area,Skate Rental Area,BK99,3 free 10 min sessions
1112,SPECTRUM,1112,Limited Free,Beach 108 - Comfort Station and Beach,Beach 108 - Comfort Station and Beach,QN10,3 free 10 min sessions
1236,ALTICEUSA,1236,Limited Free,FRNT OF BASKET BALL COURT N/O E 170TH ST,FRNT OF BASKET BALL COURT N/O E 170TH ST,BX99,3 free 10 min sessions
206,SPECTRUM,206,Limited Free,Along Boardwalk and Beach,Along Boardwalk and Beach,SI36,3 free 10 min sessions
206,SPECTRUM,206,Limited Free,Along Boardwalk and Beach,Along Boardwalk and Beach,SI36,3 free 10 min sessions
206,SPECTRUM,206,Limited Free,Along Boardwalk and Beach,Along Boardwalk and Beach,SI36,3 free 10 min sessions
