createdon,permitseriesshortdesc,applicationtypeshortdesc,createdon_1,total_zones
2025-07-09 08:27:43,STREET OPENING PERMIT,Amend and Reissue,2025-07-09 08:27:43,126.0
2025-07-11 09:58:39,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-11 09:58:39,
2025-07-11 09:18:27,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-11 09:18:27,
2025-07-10 13:55:24,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-10 13:55:24,
2025-07-10 15:09:18,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-10 15:09:18,
2025-07-15 14:48:06,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-15 14:48:06,
2025-07-10 08:52:47,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-10 08:52:47,
2025-07-11 08:31:25,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 08:31:25,
2025-07-10 09:12:25,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-10 09:12:25,
2025-07-14 16:33:00,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-14 16:33:00,
2025-07-12 08:16:12,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-12 08:16:12,
2025-07-11 10:06:27,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-11 10:06:27,
2025-07-09 08:26:57,STREET OPENING PERMIT,Amend and Reissue,2025-07-09 08:26:57,504.0
2025-07-09 08:26:08,STREET OPENING PERMIT,Amend and Reissue,2025-07-09 08:26:08,252.0
2025-07-11 08:24:25,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 08:24:25,
2025-07-11 10:06:13,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 10:06:13,
2025-07-11 15:13:40,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-11 15:13:40,
2025-07-11 17:12:37,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 17:12:37,
2025-07-14 11:40:25,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-14 11:40:25,
2025-07-09 09:16:26,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-09 09:16:26,
2025-07-14 14:24:47,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-14 14:24:47,
2025-07-11 10:46:15,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 10:46:15,
2025-07-14 10:46:39,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-14 10:46:39,
2025-07-10 07:11:35,MANHOLE EMBARGO PERMIT,New,2025-07-10 07:11:35,
2025-07-18 07:34:44,MANHOLE EMBARGO PERMIT,New,2025-07-18 07:34:44,
2025-07-16 14:59:53,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-16 14:59:53,
2025-07-09 08:26:30,STREET OPENING PERMIT,Amend and Reissue,2025-07-09 08:26:30,378.0
2025-07-16 14:59:56,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-16 14:59:56,
2025-07-12 10:21:12,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-12 10:21:12,
2025-07-10 18:12:12,BUILDING OPERATION PERMIT,Renew,2025-07-10 18:12:12,
2025-07-10 13:03:20,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-10 13:03:20,
2025-07-16 08:00:56,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-16 08:00:56,
2021-05-26 10:09:11,STREET OPENING PERMIT,Renew,2021-05-26 10:09:11,1.0
2025-07-15 21:04:49,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-15 21:04:49,
2025-07-16 14:59:58,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-16 14:59:58,
2025-07-11 09:27:57,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-11 09:27:57,
2025-07-14 09:10:43,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-14 09:10:43,
2025-07-15 14:48:07,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-15 14:48:07,
2025-07-10 19:11:11,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-10 19:11:11,
2025-07-10 10:33:05,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-10 10:33:05,
2025-07-11 10:06:29,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-11 10:06:29,
2025-07-14 07:19:26,MANHOLE EMBARGO PERMIT,New,2025-07-14 07:19:26,
2025-07-11 10:16:13,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-11 10:16:13,
2025-07-14 00:33:16,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-14 00:33:16,
2025-07-16 06:57:39,MANHOLE EMBARGO PERMIT,New,2025-07-16 06:57:39,
2025-07-12 11:39:14,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-12 11:39:14,
2025-07-11 12:44:48,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,2025-07-11 12:44:48,
2025-07-15 09:27:43,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-15 09:27:43,
2025-07-15 14:48:08,DOT IN-HOUSE PAVING AND MILLING,New,2025-07-15 14:48:08,
2025-07-10 07:50:22,COMMERCIAL REFUSE CONTAINER PERMIT,New,2025-07-10 07:50:22,
