legalname,centername,bin,programtype,inspectiondate,totaleducationalworkers,averagepublichealthhazardiolationrate,rank,dense_rank
Kochavim Ktanim Child Care Inc,Kochavim Ktanim Child Care Inc,4192996,PRESCHOOL,2022-02-16,2,6.1285,1,1
"CHABAD OF GRAMERCY PARK, INC.",PS OF THE ARTS,1019603,PRESCHOOL,2021-10-14,4,6.1285,1,2
UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,CHILDREN'S CORNER,3084621,PRESCHOOL,2022-06-02,4,6.1285,1,2
"CHABAD OF GRAMERCY PARK, INC.",PS OF THE ARTS,1019603,PRESCHOOL,2021-10-14,4,6.1285,1,2
"CHABAD OF GRAMERCY PARK, INC.",PS OF THE ARTS,1019603,PRESCHOOL,2021-10-14,4,6.1285,1,2
"CHABAD OF GRAMERCY PARK, INC.",PS OF THE ARTS,1019603,PRESCHOOL,2021-10-14,4,6.1285,1,2
PERRY KIDS INC.,PERRY KIDS INC.,1012047,PRESCHOOL,2021-11-16,5,6.1285,1,3
PERRY KIDS INC.,PERRY KIDS INC.,1012047,PRESCHOOL,2021-11-16,5,6.1285,1,3
UNITED LUBAVITCHER YESIVOTH,UNITED LUBAVITCHER PRESCHOOL,3170485,PRESCHOOL,2021-12-14,6,23.3017,1,4
UNITED LUBAVITCHER YESIVOTH,UNITED LUBAVITCHER PRESCHOOL,3170485,PRESCHOOL,2021-12-14,6,23.3017,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,2126993,PRESCHOOL,2022-11-01,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
"SY SEIT, LLC","SY SEIT, LLC",4119270,PRESCHOOL,2021-11-30,6,6.1285,1,4
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,2126993,PRESCHOOL,2022-11-01,6,6.1285,1,4
