respondent_address_house,total_penalty_imposed,decision_location_borough,compliance_status
178,25.0,,Penalty Due
1,28800.0,,Penalty Due
1127,100.0,,Penalty Due
22-10,75.0,,Penalty Due
1460,4000.0,,All Terms Met
64-40,50.0,,Penalty Due
79-09,2000.0,,Penalty Due
520,1000.0,,All Terms Met
