manhattan_condominium_property_condo_section,manhattan_condominium_property_address,manhattan_condominium_property_boro_block_lot,latitude,longitude,bin,manhattan_condominium_property_total_units,manhattan_condominium_property_full_market_value,manhattan_condominium_property_market_value_per_sqft,rank,dense_rank
660-R1,715 9 AVENUE,1-01058-7501,40.762673,-73.989553,1026606.0,16,906000,116.0,1,1
148-R1,381 2 AVENUE,1-00903-7502,40.737327,-73.981326,1019731.0,329,52300000,163.0,1,1
1537-R1,203 EAST 16 STREET,1-00897-7501,40.734525,-73.985971,1019536.0,32,8570000,168.0,1,2
1438-R1,142 HENRY STREET,1-00273-7501,40.713339,-73.990546,1087057.0,13,2109998,108.0,1,1
1291-R1,148 MADISON STREET,1-00274-7502,40.712411,-73.992991,1084603.0,80,9740000,222.0,1,2
513-R1,120 WEST 58 STREET,1-01010-7502,40.765342,-73.977542,1084293.0,33,4580001,140.0,1,1
2011-R1,306 WEST 48 STREET,1-01038-7501,40.761262,-73.987572,1087980.0,122,26600017,211.0,1,2
1311-R2,80 COLUMBUS CIRCLE,1-01049-7501,40.768406,-73.982076,1026318.0,65,65199999,299.0,1,3
1559-R1,1031 6 AVENUE,1-00814-7501,40.752654,-73.985707,1015272.0,89,22100002,227.0,1,1
323-R1,320 EAST 54 STREET,1-01346-7501,40.757083,-73.966013,1039848.0,90,9220004,142.0,1,1
563-R1,225 EAST 57 STREET,1-01331-7502,40.759926,-73.966737,1076272.0,260,44000000,144.0,1,2
1828-R1,211 EAST 46 STREET,1-01320-7506,40.753118,-73.972085,1037599.0,261,41499997,200.0,1,3
61-R1,309 EAST 49 STREET,1-01342-7501,40.75405,-73.968483,1039489.0,85,25800003,216.0,1,4
620-R1,236 EAST 47 STREET,1-01320-7505,40.753551,-73.971226,1037604.0,173,37200007,226.0,1,5
1632-R1,330 EAST 57 STREET,1-01349-7502,40.758819,-73.964156,1087647.0,14,11300002,273.0,1,6
1165-R1,845 UNITED NATIONS PLAZA,1-01340-7501,40.751983,-73.967538,1038909.0,370,252999996,306.0,1,7
687-R1,1356 1 AVENUE,1-01467-7501,40.768187,-73.955707,1045862.0,28,3260004,165.0,1,1
805-R1,20 EAST 68 STREET,1-01382-7501,40.769465,-73.967894,1041237.0,84,16100000,167.0,1,2
1077-R1,145 EAST 76 STREET,1-01411-7501,40.772899,-73.960033,1043173.0,20,15699998,228.0,1,3
77-R1,5 EAST 22 STREET,1-00851-7501,40.740426,-73.988976,1016304.0,423,78400071,206.0,1,1
1709-R1,650 6 AVENUE,1-00821-7503,40.740855,-73.994277,1015487.0,67,20100007,212.0,1,2
580-R2,312 EAST 23 STREET,1-00928-7502,40.737612,-73.980319,1084795.0,36,11000000,168.0,1,1
580-R2,312 EAST 23 STREET,1-00928-7502,40.737612,-73.980319,1084795.0,36,8240000,168.0,2,1
1815-R1,340 EAST 23 STREET,1-00928-7503,40.737368,-73.979782,1020579.0,207,51599981,221.0,1,2
