fact_column,total_dimension1,average_dimension2
970,46.0,
588,39.0,
269,33.0,2024.0
158,2.0,
261,2.0,
16,74.0,2025.0
67,34.0,2024.0
2715,46.0,
107,74.0,2023.0
62-26,31.0,
39-57,26.0,2022.0
13,50.0,2023.0
447,10.0,2023.0
313,5.0,
202,11.0,
42,2.0,2023.0
756,84.0,
407,42.0,
106,64.0,2022.0
181,34.0,2024.0
12,3.0,
1008,16.0,
836,124.0,2024.0
17-33,19.0,
109-67,28.0,
405,10.0,2022.0
2060,18.0,
34-20,25.0,
1582,37.0,2023.0
7917,38.0,
240,3.0,2022.0
45,4.0,
534,2.0,
1993,15.0,2006.0
2222,46.0,
232,39.0,2023.0
37,3.0,2021.0
1676,44.0,2023.0
600,36.0,2025.0
203,9.0,
465,50.0,2025.0
1270,17.0,
561,33.0,2023.0
312,9.0,
178,36.0,2025.0
45-63,19.0,2022.0
118-24,27.0,
3101,45.0,
