bin,cycle,filing_type,owner_state,current_status,total,count,average
4533965,8,Auto-Generated,,No Report Filed,112000.0,1,112000.0
1081701,8,Auto-Generated,,SWARMP,95400.0,2,47700.0
1053397,9,Auto-Generated,,SAFE,62500.0,1,62500.0
2013018,7,Auto-Generated,,SAFE,51500.0,1,51500.0
1087637,7,Auto-Generated,,SAFE,50500.0,1,50500.0
1043215,8,Auto-Generated,,SAFE,50000.0,1,50000.0
1043215,8,Auto-Generated,,SWARMP,45000.0,1,45000.0
1059716,8,Initial,NY,SAFE,39950.0,1,39950.0
3324228,8,Auto-Generated,,SWARMP,34750.0,1,34750.0
1015200,9,Auto-Generated,,SWARMP,33350.0,1,33350.0
1031763,8,Auto-Generated,,SWARMP,28000.0,1,28000.0
2057437,9,Auto-Generated,,SAFE,27000.0,1,27000.0
2051297,8,Auto-Generated,,SWARMP,26500.0,1,26500.0
1081126,8,Amended,NY,UNSAFE,26000.0,1,26000.0
2015403,9,Auto-Generated,,UNSAFE,24600.0,1,24600.0
3396505,9,Auto-Generated,,SWARMP,24000.0,1,24000.0
4301620,9,Auto-Generated,,UNSAFE,23000.0,1,23000.0
1090180,9,Auto-Generated,,SAFE,21000.0,1,21000.0
1087657,8,Auto-Generated,,SAFE,20750.0,1,20750.0
3342263,8,Auto-Generated,,SAFE,18000.0,1,18000.0
4536854,8,Auto-Generated,,SAFE,17000.0,1,17000.0
3001482,9,Auto-Generated,,SWARMP,17000.0,1,17000.0
2002852,9,Auto-Generated,,SAFE,16750.0,2,8375.0
2015481,8,Auto-Generated,,SAFE,16000.0,1,16000.0
2015481,8,Auto-Generated,,SWARMP,16000.0,1,16000.0
2114693,8,Auto-Generated,,SWARMP,14500.0,1,14500.0
1090668,9,Auto-Generated,,SAFE,13250.0,2,6625.0
1013553,9,Auto-Generated,,SAFE,12750.0,1,12750.0
2015581,9,Auto-Generated,,SAFE,12000.0,1,12000.0
3338423,8,Auto-Generated,,UNSAFE,12000.0,1,12000.0
1048574,8,Auto-Generated,,SWARMP,11250.0,1,11250.0
3154983,8,Auto-Generated,,SAFE,11000.0,1,11000.0
1024811,9,Auto-Generated,,SWARMP,10250.0,1,10250.0
3002548,8,Auto-Generated,,SWARMP,9250.0,1,9250.0
2084073,9,Auto-Generated,,SAFE,9000.0,1,9000.0
1087266,9,Auto-Generated,,SAFE,9000.0,1,9000.0
1033133,9,Auto-Generated,,UNSAFE,8000.0,1,8000.0
1088885,7,Initial,,SAFE,7500.0,2,3750.0
1016287,8,Auto-Generated,,SWARMP,7250.0,1,7250.0
1015200,9,Auto-Generated,,SAFE,6250.0,1,6250.0
1045287,9,Auto-Generated,,SAFE,6000.0,1,6000.0
1017588,8,Auto-Generated,,SAFE,5000.0,1,5000.0
3342263,8,Auto-Generated,,SWARMP,5000.0,1,5000.0
2003060,8,Auto-Generated,,SAFE,4650.0,1,4650.0
1023750,9,Auto-Generated,,UNSAFE,4000.0,1,4000.0
1079356,8,Auto-Generated,,SAFE,3000.0,1,3000.0
3396505,9,Auto-Generated,,SAFE,3000.0,1,3000.0
1090448,9,Auto-Generated,,SAFE,1000.0,1,1000.0
