queens_condominium_property_address,total_est_gross_income,queens_condominium_property_neighborhood,queens_condominium_property_year_built
36-20 168 STREET,1232500.0,FLUSHING-NORTH,1937
41-28 71 STREET,177548.0,ELMHURST,1988
27-16 41 AVENUE,648450.0,LONG ISLAND CITY,2005
133-36 41 ROAD,1373700.0,FLUSHING-NORTH,1987
42-15 81 STREET,2357640.0,ELMHURST,1989
175-32 56 AVENUE,702000.0,FLUSHING-NORTH,1982
41-14 68 STREET,273577.0,WOODSIDE,1986
144-77 ROOSEVELT AVENUE,1829232.0,FLUSHING-NORTH,1983
104-19 39 AVENUE,294000.0,CORONA,2005
78-10 153 AVENUE,759800.0,HOWARD BEACH,1977
85-15 MAIN STREET,3288946.0,BRIARWOOD,1966
94-31 60 AVENUE,4080186.0,ELMHURST,1961
135-08 82 AVENUE,285000.0,BRIARWOOD,1990
139-87 35 AVENUE,324896.0,FLUSHING-NORTH,1997
14-34 110 STREET,633885.0,COLLEGE POINT,2002
65-36 WETHEROLE STREET,928536.0,REGO PARK,1941
