r_blockfaceid,total_segment_length
1422606014.0,297.49178464
92266545.0,355.43412199
1822609252.0,269.29469156
2022609302.0,264.86551599
1422601663.0,780.00809207
2022609420.0,86.50823951
1722608273.0,258.90624242
92262521.0,259.56623983
1922609863.0,
112269088.0,462.36332543
82261445.0,490.08673088
1922610018.0,96.06855655
1622611241.0,248.67435892
1722610961.0,259.83557303
1822603801.0,261.15299215
1922613862.0,76.74447958
1922605741.0,779.86933228
1422606487.0,34.42910001
2022605715.0,284.8654269
1922608355.0,260.83407477
1222600984.0,507.75481608
52262165.0,218.26042447
82263144.0,260.06494519
82268138.0,922.56649996
1622603939.0,359.29545657
1722603339.0,250.59612914
92270685.0,774.7368635
2022600010.0,708.89171637
1622608656.0,131.31108
22262443.0,131.83249198
1722600695.0,271.34839942
102267257.0,143.60868412
2022600269.0,65.89434388
1422601643.0,268.26531241
82262590.0,410.35945032
112264593.0,295.49800879
1322607473.0,24.58180323
92269803.0,259.76170527
1922600603.0,83.57472558
1222606888.0,237.85460084
1722610779.0,790.467655
1822607339.0,854.89983204
1322607936.0,260.40253807
